BEAMS
HeaderRows:8,BinSize:0.3906250000000001,RunNumber:25524,Title:CoTa2O6 LF=4000G T=20.309(0.003)K,Lab:TRIUMF,Area:M20D,Temperature:20.309(0.003)K,Field:3982.2G,BeginTime:1601590254,EndTime:1601595881,ElapsedSecs:5627,Method:TD-,Apparatus:LAMPF,Insert:bfud.391,Sample:CoTa2O6,Orientation:N/A,Das:MIDAS,NumHists:4,NumBins:26368,Experimenters:BYU
Back,Forw,Down,Up
150,150,150,150
600,600,600,600
683,683,683,683
25600,25600,25600,25600
640,640,640,640
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,3,0,0
104,61,3,28
119,3,36,38
1,0,3,3
4,0,0,1
4,1,0,0
0,1,2,1
9,4,0,0
2,0,2,0
5,0,0,2
0,1,0,2
3,2,1,0
1,1,1,1
3,1,1,2
9,4,0,3
3,1,0,0
3,3,0,0
3,1,1,2
2,2,0,1
2,1,3,3
6,1,4,1
8,3,1,0
3,0,0,1
10,1,1,4
5,0,1,1
3,3,0,3
3,1,1,1
7,0,1,0
5,3,1,1
7,1,3,0
4,0,0,0
2,3,0,3
3,3,0,0
6,1,0,4
6,1,1,0
9,1,1,2
1,0,0,3
4,2,0,0
0,4,0,1
3,2,0,1
5,3,0,1
2,2,2,0
2,3,0,3
1,1,2,0
3,1,3,1
4,1,2,1
3,2,0,1
2,0,2,2
6,4,3,1
5,1,0,0
6,0,0,0
6,1,0,1
8,0,1,0
5,0,0,1
4,4,1,2
9,3,0,1
3,3,1,2
1,1,1,1
4,3,2,1
3,2,1,1
3,0,1,0
3,3,1,0
6,2,1,0
5,4,0,1
4,0,0,0
2,4,1,1
2,1,0,1
5,1,1,1
3,4,1,0
7,1,0,2
2,1,1,1
3,2,0,1
4,4,0,1
9,3,4,1
2,0,2,0
5,1,2,1
2,0,0,0
3,3,0,2
6,0,1,2
3,2,1,2
3,0,1,1
5,3,1,2
3,1,0,2
2,0,1,1
4,1,0,0
3,4,0,3
2,2,0,3
1,3,1,0
4,0,2,2
6,0,1,0
4,1,1,3
2,2,0,3
4,2,4,0
4,1,1,0
6,3,0,2
6,6,0,4
5,1,1,1
4,0,1,0
4,3,2,1
6,4,2,3
3,2,0,0
3,1,3,2
3,2,2,1
2,2,0,0
4,1,3,0
8,1,1,1
3,0,0,0
3,1,1,0
9,1,0,0
4,0,1,1
2,1,0,1
3,0,3,0
6,0,0,1
3,1,1,2
3,0,0,1
3,3,2,3
4,1,1,0
3,0,1,2
5,2,2,1
5,0,1,2
4,0,1,0
6,0,1,0
4,1,1,0
3,1,1,1
7,2,2,0
1,0,0,0
0,3,1,1
4,0,0,3
1,1,2,1
4,2,0,1
7,0,4,1
3,2,2,0
3,2,2,0
5,0,2,2
3,3,0,1
6,1,0,1
3,1,2,1
6,2,1,0
4,2,0,4
4,1,2,0
3,0,0,0
3,2,0,0
5,0,0,0
4,1,2,1
2,3,0,1
4,3,0,3
1,2,0,2
5,1,2,2
6,2,0,0
1,2,0,0
3,0,0,1
6,0,1,0
3,4,0,2
3,0,0,0
3,0,1,0
3,1,2,1
3,0,1,2
6,2,0,1
3,2,0,2
2,1,1,1
5,2,0,1
4,0,1,0
4,1,1,4
4,2,1,3
3,3,1,1
6,0,1,1
0,1,1,0
4,3,3,1
2,1,0,0
4,2,2,1
3,1,0,1
7,2,2,0
6,2,1,0
3,1,0,1
2,1,1,0
5,4,2,0
4,1,1,0
1,0,1,2
2,3,0,2
4,2,1,4
4,1,0,0
2,1,2,1
1,0,2,0
3,0,2,0
2,2,0,2
3,0,0,2
3,1,2,1
2,3,0,1
3,1,1,0
3,1,2,0
7,5,0,0
2,4,0,1
6,2,1,3
2,2,0,1
3,1,0,2
4,0,0,2
0,1,1,1
5,3,1,2
5,0,0,2
2,0,0,1
8,0,1,2
1,1,0,0
2,2,0,0
5,4,0,2
1,1,1,1
5,5,0,1
6,2,4,0
6,2,1,1
1,3,0,0
2,1,0,0
4,0,0,0
5,2,0,1
1,0,1,0
8,0,0,1
2,2,1,1
1,1,1,2
2,0,0,3
4,2,1,1
3,4,0,1
3,1,1,2
6,0,1,1
2,1,0,1
2,0,0,1
4,3,1,0
3,0,2,0
2,1,1,3
7,0,2,2
4,3,1,0
2,4,2,1
6,4,1,0
1,2,1,1
2,3,1,0
3,2,0,2
3,0,3,3
5,0,2,1
1,1,1,2
1,4,2,2
5,2,3,1
4,3,0,0
1,5,0,2
1,3,0,2
1,2,2,1
4,1,0,0
5,0,1,3
3,0,1,3
2,2,1,3
7,4,1,2
3,2,2,0
3,2,0,1
4,1,1,3
6,1,1,2
6,3,0,1
3,3,2,1
1,2,1,2
8,2,2,1
5,4,1,0
5,2,1,1
2,0,0,3
1,1,0,1
5,1,0,2
3,2,1,4
5,3,0,0
3,3,1,0
4,1,1,1
2,2,1,0
4,1,0,1
3,1,0,0
2,2,1,0
2,2,0,0
3,1,0,3
3,5,0,0
3,3,0,2
2,0,1,2
5,0,1,3
5,2,0,1
3,1,0,0
2,3,3,3
1,1,1,0
3,0,1,0
6,1,1,0
4,2,2,1
3,5,0,1
5,1,1,2
1,0,0,2
6,0,1,2
3,1,0,3
2,3,1,2
4,4,1,1
4,0,1,2
0,3,1,1
2,2,2,1
4,2,2,3
4,3,0,0
2,0,1,1
1,1,1,2
4,2,0,1
3,1,0,0
2,4,1,1
1,1,2,0
5,1,3,1
5,0,2,0
3,0,1,1
4,3,1,0
7,3,0,1
5,0,0,3
3,2,0,4
1,2,2,1
3,0,0,1
1,1,1,2
2,1,0,3
6,1,0,1
4,0,1,3
2,2,1,5
6,3,2,2
4,1,2,0
3,1,0,0
3,2,0,0
2,0,0,2
6,4,1,1
1,1,3,2
5,0,4,2
3,4,0,2
5,1,0,3
2,4,0,0
4,1,3,0
6,0,0,1
4,2,2,1
7,1,2,3
5,0,2,1
3,2,3,2
2,2,0,1
1,3,0,0
2,2,0,3
5,0,0,0
4,0,1,3
5,1,0,1
2,0,0,0
4,1,0,4
6,2,0,2
3,1,2,1
6,3,0,2
3,4,1,3
6,0,3,1
4,2,1,1
2,0,0,0
3,3,2,2
3,1,0,1
4,0,1,1
5,2,1,2
8,2,0,2
1,2,1,1
4,1,1,2
3,4,1,1
3,0,1,0
1,1,2,0
2,0,0,0
6,1,0,0
2,0,2,0
3,2,0,0
2,2,3,1
6,2,0,0
3,1,1,0
5,0,1,4
1,0,1,0
1,1,0,1
3,0,0,0
8,2,0,1
9,1,0,1
1,0,0,1
4,0,0,2
6,4,0,0
1,1,0,3
4,1,0,3
5,0,0,4
2,2,2,0
6,0,0,2
3,1,0,2
4,1,0,0
4,2,0,3
4,1,0,1
0,2,1,0
4,4,1,0
2,1,0,1
4,2,0,1
3,2,1,0
7,1,2,1
3,2,1,3
2,1,1,2
7,1,1,0
3,3,0,1
1,2,1,2
9,1,0,2
5,2,1,3
0,2,0,3
5,3,0,1
2,1,1,2
2,0,0,1
4,3,0,1
0,1,0,1
3,1,0,3
3,2,4,1
1,1,0,3
1,1,0,3
3,3,2,0
5,4,1,0
1,2,0,1
1,2,1,2
6,0,0,0
5,2,1,2
4,3,1,0
4,2,1,0
5,2,2,1
4,1,0,2
1,0,0,1
4,1,2,1
4,0,2,0
4,1,3,1
3,1,1,2
3,3,0,4
7,0,1,1
5,0,1,1
5,3,2,2
4,4,0,1
10,2,1,1
7,2,2,2
3,1,0,0
2,0,1,3
4,4,1,4
6,1,0,5
1,1,1,1
3,0,0,1
6,1,1,0
4,0,2,2
4,2,0,1
1,0,0,1
2,1,2,0
5,0,0,1
5,1,0,2
7,1,1,2
3,2,0,1
6,4,2,0
6,2,1,0
3,0,0,1
6,1,1,2
3,0,0,0
4,3,0,2
7,2,0,1
4,1,1,3
1,0,1,0
3,0,0,1
2,3,0,0
5,2,0,1
5,0,0,2
3,4,1,3
3,1,1,2
3,1,0,0
6,4,3,0
7,2,1,0
2,0,1,2
5,0,0,0
4,4,0,2
2,1,0,4
2,1,0,2
2,0,0,2
3,1,2,2
3,2,4,0
4,1,3,1
5,0,0,4
1,1,2,2
4,5,0,0
5,1,0,1
3,2,0,1
5,6,0,4
3,3,0,1
2,1,2,0
1,2,1,1
2,3,0,0
8,2,1,3
4,0,0,3
3,3,0,1
8,0,0,2
2,0,2,1
3,1,0,1
2,0,1,2
3,3,0,2
4,1,1,2
3,0,0,0
1,4,1,1
2,2,2,1
10,0,1,4
7,0,1,0
1,0,1,1
2,1,0,2
3,0,1,2
6,1,2,0
5,0,0,0
4,0,0,0
8,1,2,1
5,0,1,3
1,1,0,0
4,1,2,1
2,0,0,0
3,1,2,1
2,2,0,1
5,1,1,2
7,0,0,1
2,1,0,0
3,0,0,0
5,1,0,2
1,1,0,2
3,0,0,2
6,1,2,1
4,0,1,1
6,0,0,1
4,2,1,1
6,0,0,2
5,0,1,1
3,2,0,1
2,2,2,1
6,2,2,1
6,5,3,1
11,7,6,4
8,10,8,0
11,10,7,3
15,14,15,4
15,15,17,6
25,35,36,2
30,54,46,14
57,76,66,18
66,111,83,38
113,161,117,58
136,261,190,72
193,374,280,114
299,546,451,157
412,732,631,224
544,1063,933,346
726,1432,1395,497
985,1818,2080,691
1086,2105,2927,827
1186,2152,3937,868
1208,1814,5042,809
1089,1461,5862,624
1034,972,5994,505
999,640,5278,468
895,479,3962,440
837,286,2714,386
780,258,1894,294
642,224,1539,248
571,170,1203,195
538,122,922,180
497,157,590,199
501,136,344,173
491,131,247,168
474,116,193,150
483,124,167,153
473,107,167,156
446,109,108,166
453,126,130,149
448,154,122,133
447,94,113,157
482,149,125,160
482,129,112,140
466,137,126,147
459,157,132,166
424,154,115,148
432,158,125,159
472,204,130,156
475,203,119,143
439,215,141,143
456,243,136,142
460,266,123,174
478,290,126,159
446,272,130,134
471,282,126,146
465,278,147,149
456,293,140,151
425,298,147,154
453,293,102,145
449,294,126,132
472,291,128,141
423,310,146,135
436,296,133,154
476,288,122,152
424,291,132,167
440,317,120,158
469,297,128,169
470,330,120,142
438,326,136,159
511,275,140,166
476,310,145,168
421,306,152,175
451,298,142,165
520,291,142,158
449,316,115,178
457,290,130,150
463,313,117,176
474,279,137,171
474,305,117,163
475,292,161,139
455,307,94,179
458,293,106,155
432,330,127,210
453,312,137,146
463,346,130,166
418,313,133,162
419,275,137,144
457,290,105,119
458,287,140,159
409,323,128,164
418,301,129,152
437,301,131,159
437,290,129,138
419,285,135,169
454,303,124,157
440,287,125,140
422,287,142,136
450,299,158,148
423,275,130,164
427,321,158,161
440,316,102,140
419,309,153,142
431,291,144,149
461,271,141,122
462,335,134,145
430,283,135,153
447,300,125,145
440,303,136,158
447,292,146,145
462,281,163,156
424,278,141,154
468,290,136,151
477,322,146,147
444,318,128,141
469,283,128,160
460,302,109,179
461,301,123,179
453,317,152,155
431,284,130,166
456,281,132,154
421,324,135,154
459,297,146,175
424,291,125,183
481,268,140,166
466,281,133,138
501,281,145,156
468,302,104,152
447,320,114,164
402,304,137,164
438,317,122,162
380,307,113,177
441,304,118,165
416,269,121,159
423,311,130,185
420,300,138,171
472,290,134,166
431,283,128,155
463,283,129,155
430,313,149,125
463,322,101,140
437,296,123,151
452,290,126,139
455,341,142,140
479,292,117,142
437,305,142,152
457,318,143,139
436,302,143,147
476,313,138,149
463,327,143,150
440,319,126,144
454,293,127,160
418,307,144,161
444,304,138,152
454,308,133,141
392,315,104,160
438,285,123,191
437,328,135,151
437,276,139,151
390,309,127,138
466,308,146,161
420,311,134,165
419,285,119,168
468,295,133,158
461,291,138,133
432,274,123,159
455,298,117,144
423,291,127,147
413,303,102,152
457,305,143,130
431,303,130,172
454,320,133,165
436,282,120,153
443,313,112,166
441,291,113,166
446,315,118,151
467,311,123,160
426,295,137,163
431,287,130,167
398,313,126,146
427,277,120,159
428,320,116,146
425,300,139,166
420,287,126,155
467,288,112,156
438,319,135,132
442,298,161,110
431,299,135,147
397,309,110,167
418,325,151,142
430,304,144,147
411,282,126,152
445,312,109,158
432,281,119,134
461,313,125,158
455,294,123,147
461,280,141,148
407,297,137,147
423,341,156,159
445,313,108,154
425,330,147,162
445,308,131,140
412,319,132,178
421,274,126,146
446,313,142,145
425,317,131,167
483,319,143,157
468,319,134,155
403,295,129,142
392,266,109,175
447,309,125,151
431,273,154,132
449,266,93,155
415,271,138,147
420,289,119,147
451,303,135,130
405,300,130,169
428,317,121,172
467,312,91,166
425,317,120,164
438,315,105,183
429,312,146,148
430,323,125,142
448,310,120,154
438,283,122,151
431,275,106,159
461,299,129,142
451,303,105,167
445,311,118,146
452,285,127,158
434,280,103,161
443,287,142,138
441,296,141,141
426,327,129,140
440,295,133,154
431,279,124,145
465,286,120,145
426,274,133,154
426,285,131,135
459,284,109,159
428,293,126,143
436,276,125,154
431,266,127,144
428,301,131,156
406,301,109,155
436,288,147,140
458,289,129,136
430,304,117,162
453,308,131,158
429,284,158,140
437,316,135,162
373,259,142,168
416,306,137,141
416,295,120,149
439,288,112,125
