BEAMS
HeaderRows:8,BinSize:0.3906250000000001,RunNumber:25463,Title:CoTa2O6 60K ZF,Lab:TRIUMF,Area:M20D,Temperature:59.34(0.24)K,Field:0.06G,BeginTime:1601423964,EndTime:1601425326,ElapsedSecs:1362,Method:TD-,Apparatus:LAMPF,Insert:bfud.391,Sample:CoTa2O6,Orientation:N/A,Das:MIDAS,NumHists:4,NumBins:26368,Experimenters:BYU, GDM
Back,Forw,Down,Up
150,150,150,150
600,600,600,600
683,683,683,683
25600,25600,25600,25600
640,640,640,640
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,12,0,0
25,22,3,17
14,0,10,2
1,2,1,0
1,0,0,0
1,0,1,0
1,0,0,0
1,1,0,0
0,1,0,0
1,0,1,0
0,1,0,0
0,1,1,1
0,0,0,0
0,1,2,0
1,1,0,0
0,0,0,0
1,0,1,0
2,1,0,1
0,0,2,1
0,0,0,1
1,0,0,0
1,0,0,0
1,1,0,0
0,0,1,1
1,1,0,0
0,2,0,0
1,2,1,1
0,0,0,0
1,2,0,0
2,2,0,0
0,2,0,0
1,2,0,1
1,1,0,0
0,0,0,0
0,0,0,0
0,1,0,1
0,0,0,0
1,3,0,1
0,0,1,0
0,1,0,1
1,0,0,0
3,2,0,2
0,0,0,1
0,2,0,0
0,0,1,0
1,0,1,0
1,1,1,0
0,0,0,1
1,0,0,1
2,0,0,1
0,1,0,0
0,1,0,0
0,0,0,1
0,0,1,1
1,2,1,0
1,1,1,0
1,1,1,2
1,2,0,0
0,0,0,0
1,1,1,0
4,2,0,0
0,0,0,0
0,2,0,1
0,0,0,0
0,1,0,0
2,0,0,1
1,0,1,0
2,1,2,0
2,0,0,1
2,0,0,0
0,1,0,1
0,0,0,0
2,1,1,1
1,1,0,2
4,2,0,2
1,1,1,0
0,1,0,0
3,1,1,0
1,0,0,0
1,1,2,1
0,0,1,0
1,0,0,1
0,1,1,0
0,0,0,0
3,1,0,0
1,1,0,0
2,0,0,0
0,1,1,1
2,0,0,0
3,1,0,0
0,0,0,2
3,0,0,0
3,1,0,0
0,0,1,1
2,2,0,0
0,0,0,1
0,1,0,1
1,0,0,0
1,0,0,0
0,1,0,0
2,1,0,0
2,1,0,3
2,0,0,0
0,1,0,0
2,1,0,0
2,1,0,1
1,0,0,1
2,0,0,2
2,0,1,0
0,1,0,0
1,1,1,0
1,0,0,0
1,0,0,0
0,3,0,1
0,0,1,1
2,0,1,0
2,1,0,0
0,0,0,0
1,0,1,0
2,1,1,2
2,0,0,0
0,0,0,0
0,2,0,0
0,1,1,0
1,0,0,1
0,0,1,0
3,0,2,0
2,0,0,0
1,0,0,0
0,1,0,0
2,0,0,1
1,0,0,0
2,0,0,0
2,2,0,0
1,1,0,0
0,0,0,0
1,4,1,2
0,0,0,0
2,0,0,2
0,0,0,0
2,0,0,0
0,0,0,0
3,2,0,1
2,0,0,2
0,1,0,0
0,1,0,0
0,1,0,1
3,0,1,1
0,2,1,0
0,3,0,0
0,1,0,0
1,0,0,1
1,0,0,0
0,0,0,1
1,1,0,0
0,0,0,3
2,0,1,0
2,1,0,0
0,0,1,0
0,0,1,0
1,0,0,0
1,0,0,1
1,0,0,0
1,1,0,0
1,2,1,1
5,1,0,1
2,2,0,0
1,1,0,0
1,0,1,0
1,1,0,0
1,0,0,0
1,1,0,1
0,0,0,0
0,0,0,1
0,2,0,1
2,0,0,0
1,0,0,0
0,0,2,0
0,0,0,1
2,0,0,0
0,0,0,0
1,1,0,0
1,0,0,0
0,0,0,0
4,0,0,0
2,0,1,0
0,2,0,0
1,0,0,2
0,0,0,0
1,1,0,0
0,0,0,0
0,0,0,1
0,1,0,2
0,0,0,1
0,1,0,0
2,1,2,0
1,1,1,1
1,1,0,1
1,1,0,1
1,0,0,0
1,1,0,0
0,1,0,0
1,0,0,1
0,1,2,1
1,1,0,0
1,1,0,0
1,1,0,3
2,1,0,0
1,1,1,3
3,0,0,1
1,1,0,0
0,1,0,0
1,0,0,1
2,1,0,0
0,1,0,0
0,0,1,0
1,0,0,0
2,0,0,2
1,2,0,0
2,0,0,0
1,3,1,1
1,1,0,1
1,0,0,0
0,2,0,0
0,1,0,0
1,0,1,0
0,0,0,1
0,1,1,1
1,3,0,1
0,1,0,0
1,0,0,1
0,3,0,0
0,0,0,0
1,0,0,1
1,1,0,1
1,1,0,0
0,1,1,0
2,0,0,0
0,0,0,1
1,1,0,0
1,1,0,0
1,0,0,0
1,1,0,0
0,0,0,0
1,0,0,0
2,0,1,2
0,0,2,1
1,2,0,0
1,3,0,0
0,0,1,0
3,0,1,0
1,0,0,1
0,0,2,0
1,0,1,0
0,0,0,0
0,2,0,0
1,1,0,0
1,1,0,0
0,1,0,0
0,0,0,0
2,1,1,0
0,3,0,0
1,0,0,0
0,0,0,0
0,0,1,0
0,0,0,0
1,1,0,0
0,0,0,0
0,0,0,0
0,1,0,0
1,2,0,2
1,1,1,0
1,0,1,0
0,1,0,0
1,0,0,1
4,1,1,1
0,0,0,1
1,0,0,0
0,2,0,0
0,0,0,0
1,0,0,0
0,3,1,0
2,1,1,1
0,0,0,0
0,0,0,0
1,2,0,0
2,2,0,1
1,1,0,0
0,0,0,0
2,3,1,0
0,1,0,1
3,1,0,0
1,2,1,0
4,0,0,0
2,1,0,1
1,1,0,1
0,1,0,1
0,0,1,1
0,0,0,1
0,0,0,2
0,1,1,0
1,0,0,1
0,0,0,0
1,0,0,1
0,1,0,0
0,0,0,0
0,0,0,2
1,2,0,0
2,1,0,0
3,0,0,0
0,0,0,0
1,4,0,0
1,0,0,0
3,0,0,0
1,0,3,0
4,0,0,0
1,0,1,0
0,0,0,0
0,0,0,0
1,1,0,1
2,1,0,1
0,0,0,0
0,0,1,0
0,0,0,0
1,0,0,0
1,2,0,0
1,0,0,0
0,0,0,0
2,1,0,2
0,1,2,0
1,1,1,0
1,1,0,0
1,0,0,0
0,0,0,0
2,0,0,0
2,0,1,2
0,0,0,0
0,0,0,1
0,0,1,0
3,0,0,1
3,2,0,0
2,1,1,0
0,0,1,1
2,2,0,0
0,0,0,1
0,0,1,0
1,1,0,1
1,0,0,1
1,1,0,0
0,0,0,0
1,1,0,0
2,1,0,0
0,0,0,0
0,0,1,2
0,2,0,0
1,0,0,1
0,1,0,0
1,2,0,1
1,0,0,0
4,1,0,1
0,0,0,0
0,0,0,0
0,1,0,0
0,1,0,0
2,0,0,0
1,0,1,0
1,4,0,1
0,0,0,0
0,0,0,1
1,0,0,0
0,3,0,0
0,0,0,0
3,1,0,0
1,0,2,0
0,1,0,0
3,0,0,0
0,0,0,0
0,1,0,2
2,4,0,0
1,0,0,0
3,0,1,0
0,0,1,0
3,1,0,1
0,2,0,0
0,2,0,0
1,2,0,0
0,0,0,0
1,1,0,1
1,1,0,0
0,1,0,0
1,1,2,2
0,0,0,0
0,0,1,0
2,0,0,0
1,0,1,0
2,1,0,0
0,1,2,1
1,0,0,0
1,2,0,2
0,3,1,1
1,0,0,0
0,1,0,1
1,1,1,0
0,2,0,0
2,1,0,1
0,1,1,1
0,1,0,0
0,1,0,0
0,1,0,0
2,0,0,0
1,2,1,0
2,1,0,0
2,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
1,0,0,2
0,0,1,1
1,1,0,0
0,1,0,0
1,0,0,0
1,0,0,0
0,1,0,0
3,1,0,2
0,1,0,0
2,1,0,1
0,0,0,1
0,0,1,0
1,1,0,0
1,2,0,0
1,1,0,0
0,0,0,0
0,1,1,0
3,0,0,1
1,0,0,0
1,0,0,0
0,0,1,0
1,1,0,1
0,1,0,1
3,0,0,1
0,0,1,0
1,0,0,2
1,1,1,2
1,1,0,1
1,2,0,1
0,0,0,0
2,2,1,1
1,2,0,0
1,0,1,0
2,2,0,2
1,0,0,0
2,1,0,2
1,1,0,0
2,0,2,0
0,3,0,1
4,0,1,0
2,0,0,0
1,1,2,1
1,1,1,0
0,0,0,0
1,2,1,0
0,0,0,0
2,1,1,0
0,0,0,0
1,1,0,0
3,2,0,1
0,1,1,0
1,0,1,0
3,0,0,1
2,1,0,1
1,0,0,0
0,1,0,0
1,1,0,0
0,1,2,0
0,1,1,1
1,1,0,1
0,1,0,0
2,0,0,1
0,0,1,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,1,0
1,0,1,0
1,0,1,0
1,0,0,1
1,0,0,0
2,0,0,1
1,0,0,1
1,0,0,1
2,0,0,0
1,1,0,0
2,1,0,0
1,0,0,0
1,0,0,0
3,0,0,1
0,0,0,0
1,1,0,2
1,2,0,0
1,0,0,0
1,0,1,0
0,1,0,0
0,0,0,2
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,1,1,0
3,0,1,0
0,0,0,1
1,0,0,0
1,0,0,0
1,0,0,1
0,2,0,0
1,1,1,0
0,1,0,1
3,0,0,1
1,0,0,1
1,1,0,1
1,0,1,1
0,0,0,0
1,1,0,1
3,2,0,2
6,0,1,0
3,1,2,2
5,2,1,0
5,4,1,3
13,5,1,1
15,6,8,1
24,8,5,6
39,17,17,4
52,16,15,16
96,33,26,24
138,63,33,56
196,85,69,69
271,128,97,123
392,169,152,144
475,196,227,157
580,175,316,193
587,200,408,170
590,160,421,165
586,150,397,182
611,148,350,158
612,129,285,183
530,118,268,147
513,131,226,172
534,126,213,187
533,143,214,141
537,107,192,151
500,137,183,165
507,127,175,155
506,123,197,138
523,127,189,159
505,132,171,144
491,115,168,146
545,132,165,153
530,112,169,177
504,116,167,142
506,128,166,151
481,117,179,165
521,150,151,173
488,150,184,149
492,136,186,147
475,158,181,154
509,156,168,162
490,190,175,172
483,204,170,162
500,224,150,138
533,265,170,171
519,274,167,146
460,261,178,167
519,274,159,174
512,323,168,175
513,316,191,153
506,322,148,172
485,353,184,152
501,337,174,164
539,329,181,157
504,307,197,139
522,375,184,173
457,317,164,161
502,351,174,131
480,319,202,189
455,353,174,152
488,316,178,171
496,347,170,176
518,344,186,167
504,345,175,148
518,321,188,156
521,333,203,166
482,325,201,171
483,331,146,186
498,356,158,157
469,346,174,194
489,303,224,168
473,364,181,158
482,336,181,184
477,316,160,169
527,340,169,175
483,320,179,159
490,315,177,162
461,331,171,146
495,343,171,158
468,358,188,154
479,344,171,172
493,330,178,191
498,337,187,151
460,319,174,152
447,326,195,163
484,342,178,155
460,415,180,159
479,327,201,148
490,329,170,166
477,347,200,167
478,337,152,170
456,328,166,152
515,349,180,183
481,365,165,144
516,334,174,165
493,339,185,153
491,318,174,165
462,335,204,152
469,364,159,132
486,362,176,161
418,325,175,167
489,363,158,167
477,312,162,156
533,322,179,180
468,313,192,163
461,351,184,168
467,323,168,158
476,307,176,154
477,323,180,161
473,328,185,160
501,341,178,137
449,365,167,170
444,357,168,167
469,333,175,146
491,357,182,164
498,330,157,150
507,355,165,143
481,329,184,147
453,356,163,147
510,343,178,178
507,360,191,159
467,292,183,141
490,336,172,153
452,321,160,161
483,340,168,164
511,320,177,183
472,348,179,155
485,328,196,149
493,306,180,159
508,371,182,161
491,317,181,166
477,329,170,170
459,346,179,144
476,313,186,163
447,343,161,158
403,345,174,164
467,312,169,171
483,327,183,152
469,332,166,166
518,358,158,180
492,344,170,176
510,364,210,155
476,339,175,155
511,335,171,161
483,330,162,166
501,371,181,167
528,341,156,142
482,325,181,158
477,338,154,140
475,310,157,170
493,326,175,167
482,326,151,158
465,321,188,146
489,334,180,162
420,361,178,144
468,330,188,183
442,309,215,132
474,333,176,162
507,337,169,159
456,332,162,154
486,313,184,160
475,318,161,165
471,310,178,156
475,317,176,161
473,345,182,169
459,332,184,171
409,337,179,157
474,328,190,154
496,318,170,146
500,349,185,180
499,361,176,169
465,314,157,183
443,338,148,169
462,327,182,144
486,321,177,150
500,347,163,158
456,314,194,175
465,342,189,155
456,327,188,161
465,309,167,161
482,335,176,174
486,371,168,190
488,368,179,154
462,339,169,163
466,337,198,168
489,339,162,156
475,344,171,169
460,331,183,140
465,330,184,151
480,330,161,164
497,329,163,160
452,353,143,166
484,311,156,162
463,359,175,142
466,350,159,156
473,308,189,152
486,326,132,160
452,377,170,142
457,326,181,157
493,340,179,150
447,302,168,179
456,353,163,172
477,331,177,165
443,318,176,171
490,361,194,153
515,320,192,159
496,302,186,158
476,336,203,160
445,318,188,137
470,302,156,156
460,344,171,158
438,315,190,159
457,302,211,176
488,326,189,139
460,331,139,147
494,309,178,164
479,341,179,170
447,354,164,174
476,326,180,175
498,322,163,160
468,341,197,170
472,324,187,166
481,326,187,180
481,301,181,150
454,333,151,160
493,349,175,148
460,336,184,153
484,297,188,173
452,310,176,176
466,295,157,153
503,316,157,148
482,349,197,144
487,337,180,174
469,302,178,157
471,310,176,139
498,314,171,172
413,347,163,151
482,319,175,174
476,359,185,155
456,314,173,159
463,308,175,146
494,324,158,180
492,332,171,151
490,335,204,153
464,332,148,172
421,302,152,150
488,326,157,168
515,326,155,144
464,316,142,161
467,355,175,161
459,311,172,144
502,323,157,167
487,342,166,177
