BEAMS
HeaderRows:8,BinSize:0.3906250000000001,RunNumber:25477,Title:CoTa2O6 ZF T=7.325(0.014)K,Lab:TRIUMF,Area:M20D,Temperature:7.325(0.014)K,Field:0.15G,BeginTime:1601454714,EndTime:1601457911,ElapsedSecs:3197,Method:TD-,Apparatus:LAMPF,Insert:bfud.391,Sample:CoTa2O6,Orientation:N/A,Das:MIDAS,NumHists:4,NumBins:26368,Experimenters:BYU
Back,Forw,Down,Up
150,150,150,150
600,600,600,600
683,683,683,683
25600,25600,25600,25600
640,640,640,640
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,20,0,0
87,52,4,32
28,2,17,21
2,3,0,1
2,0,0,1
0,1,0,2
1,2,0,0
5,1,0,2
2,4,0,1
2,0,1,1
1,2,0,1
3,2,1,1
5,0,0,2
1,3,2,0
2,2,0,0
1,3,1,0
4,5,0,1
1,4,0,1
2,3,0,2
3,2,0,0
1,1,1,2
4,0,0,2
1,5,3,0
3,1,1,1
2,0,1,0
2,0,0,1
2,2,0,0
0,2,0,0
2,0,0,5
0,0,1,1
1,2,0,0
0,0,1,0
4,3,1,2
1,1,0,0
0,0,0,0
3,2,1,2
4,0,0,3
5,0,0,1
3,5,0,0
0,0,1,1
3,1,0,0
3,0,1,0
2,1,1,2
2,2,0,2
1,1,0,1
3,2,0,0
4,3,1,0
3,3,0,0
2,3,2,0
3,2,0,0
2,0,0,0
0,1,0,1
3,3,2,1
2,4,1,2
1,3,0,1
1,3,0,1
0,1,2,0
3,3,2,0
4,1,0,0
3,0,0,1
0,1,2,1
2,3,1,0
4,1,1,1
5,2,0,0
1,2,1,0
4,1,2,0
3,0,0,0
1,2,0,3
1,1,1,1
1,2,0,1
0,1,0,1
1,0,0,1
3,1,3,0
0,3,0,1
2,1,2,0
1,0,1,0
1,1,0,0
7,2,2,1
2,3,1,2
1,1,0,1
3,1,0,1
0,0,0,2
1,2,0,0
2,1,0,2
1,2,1,0
1,1,1,1
4,2,1,2
1,2,2,0
0,0,0,2
2,3,1,1
0,1,0,1
2,1,1,2
0,2,0,1
1,2,1,1
0,2,1,0
4,0,0,2
4,2,0,1
3,2,2,3
1,1,3,1
3,3,1,0
3,1,0,0
3,0,1,0
2,1,0,0
3,1,0,1
4,2,2,0
5,3,1,0
0,0,0,1
2,5,0,1
2,0,1,2
2,4,1,0
1,3,0,2
3,2,1,1
3,1,0,2
2,0,1,2
4,0,0,0
3,2,0,0
0,2,0,1
1,1,1,3
5,2,0,0
3,1,0,0
3,0,0,0
1,0,2,1
1,1,0,0
3,1,1,1
0,1,1,4
2,2,1,0
2,0,1,2
2,1,2,0
1,1,0,1
2,3,0,0
2,1,0,1
4,3,1,0
4,0,0,0
4,6,0,0
1,1,0,0
2,3,1,1
2,1,0,2
1,2,1,0
2,5,1,3
4,0,0,1
0,5,0,1
3,2,0,0
1,0,0,1
0,0,0,1
1,1,0,1
1,2,0,0
3,1,0,1
1,1,0,0
0,1,0,0
1,1,0,0
2,2,0,0
2,2,0,1
2,3,0,1
1,3,0,1
5,3,2,0
2,1,0,1
0,0,1,1
3,1,1,2
3,1,0,1
2,5,0,0
1,3,2,1
2,3,2,1
3,2,0,0
2,0,1,1
3,6,0,1
0,1,0,0
0,3,2,0
5,2,0,0
0,0,0,2
2,2,0,2
1,2,0,0
4,5,0,1
0,0,1,1
2,1,1,1
2,3,1,1
1,2,0,0
2,2,1,0
4,2,4,0
1,1,1,1
2,2,0,0
1,1,0,0
1,1,1,1
3,1,0,0
1,0,1,0
1,0,1,0
1,3,0,1
3,1,1,1
1,1,0,3
3,2,1,2
0,3,1,0
0,1,0,3
3,3,0,0
2,2,2,1
4,0,1,2
2,3,0,3
1,2,2,2
3,0,1,0
3,1,0,0
5,2,0,0
5,2,1,2
0,4,0,1
5,4,0,1
2,3,1,3
3,3,2,0
3,1,1,1
0,3,0,0
0,2,0,0
0,2,0,0
2,1,0,1
3,0,4,1
1,4,0,0
0,1,2,0
2,1,3,1
3,1,0,0
3,0,2,0
2,1,0,2
3,2,1,1
0,1,2,1
0,1,0,2
2,1,1,0
2,1,0,1
2,2,0,0
2,1,0,1
4,1,1,1
0,0,0,1
2,0,0,1
2,4,0,0
1,2,0,1
5,4,0,0
3,2,0,2
5,1,1,2
1,2,1,0
4,4,1,0
3,2,4,2
3,2,0,0
1,3,0,0
4,2,0,0
5,1,0,0
0,2,0,3
2,2,0,0
2,3,0,3
2,2,1,1
2,0,0,2
1,1,0,2
0,4,0,1
0,2,0,1
6,0,0,0
1,2,0,2
1,2,1,2
2,2,0,1
3,1,0,0
1,0,0,1
0,1,0,2
1,1,0,1
4,4,0,0
4,1,1,2
2,1,0,0
3,0,3,0
0,1,1,0
1,1,1,1
2,0,0,0
4,2,0,1
2,4,0,1
2,2,0,0
2,0,1,1
5,4,0,0
2,2,1,1
2,2,0,0
1,3,1,2
2,3,1,0
3,1,0,1
2,3,0,1
4,3,2,1
3,0,1,1
3,1,0,0
0,4,0,0
1,0,0,3
0,6,1,0
4,1,0,1
3,1,1,2
3,1,1,0
2,1,1,0
3,0,1,1
1,2,1,1
3,2,0,1
4,2,0,0
2,2,0,2
5,1,1,3
1,0,2,0
2,0,0,1
6,1,0,1
8,1,0,2
3,0,1,0
1,1,1,2
4,2,1,2
1,1,0,1
2,2,1,1
1,4,0,1
3,1,1,0
2,5,1,1
4,0,0,2
2,1,1,0
5,1,1,1
1,0,1,0
1,1,1,0
2,0,0,0
2,1,0,1
2,1,0,1
4,5,0,0
1,3,0,1
1,1,3,2
4,3,2,1
1,2,0,1
1,2,1,2
4,2,0,0
5,1,1,1
2,1,3,0
3,2,1,1
2,2,1,1
2,0,0,1
2,1,0,0
3,0,0,1
3,2,0,1
2,3,0,1
1,4,3,2
0,1,1,0
1,2,0,0
2,0,1,2
1,2,0,2
2,4,1,2
1,0,0,2
2,2,0,2
3,3,0,0
1,1,0,1
2,1,0,3
2,0,0,0
1,1,1,0
5,2,2,2
3,1,2,0
1,1,2,1
0,1,1,1
2,1,1,0
2,0,1,1
1,1,0,0
4,3,1,0
2,0,0,1
3,2,1,1
1,4,0,2
3,1,2,0
2,2,1,1
3,3,1,0
3,2,0,0
2,0,2,1
5,3,1,1
3,2,0,1
1,3,2,1
3,1,2,0
2,2,0,1
2,1,0,1
1,1,0,1
0,1,0,3
6,1,0,1
2,1,0,1
1,1,1,1
0,0,0,0
3,4,0,1
1,2,0,1
1,3,1,0
0,2,1,2
1,2,0,0
0,2,0,0
2,2,1,0
4,1,1,1
3,2,2,0
5,2,1,1
0,1,0,1
1,6,2,2
2,2,0,2
1,2,0,1
2,5,1,2
3,0,0,1
0,1,0,2
3,1,2,0
3,1,1,0
5,1,0,0
0,4,1,1
2,4,0,1
1,4,0,1
2,3,2,0
0,1,1,0
2,0,1,0
5,2,0,2
4,2,0,2
0,0,2,0
2,4,2,1
2,3,1,0
1,0,0,0
0,1,0,0
1,0,0,0
2,2,1,0
2,0,0,2
1,2,0,0
2,3,1,1
1,3,0,1
3,2,0,1
5,1,1,1
2,1,1,0
2,0,0,3
1,3,1,1
2,1,1,0
3,2,1,1
4,3,1,2
3,3,0,0
2,2,1,0
2,0,0,1
3,0,1,1
2,0,0,2
7,2,0,1
4,1,1,0
4,3,0,3
3,3,0,1
1,0,0,1
3,1,0,3
0,3,0,0
4,2,0,0
2,1,2,0
6,0,1,2
1,2,0,0
3,1,1,2
1,1,0,0
0,1,0,0
2,2,2,2
3,1,0,0
2,0,0,0
0,2,0,1
1,2,1,0
1,2,0,1
4,1,0,1
2,2,2,0
2,0,0,1
2,0,0,1
2,2,1,1
1,1,0,2
4,1,0,0
3,0,2,0
0,0,0,1
4,3,2,1
5,1,0,0
1,4,0,2
1,0,0,1
1,1,0,0
3,0,0,1
0,2,1,1
3,4,2,1
3,1,0,1
1,1,0,0
6,1,0,3
0,0,2,0
0,3,0,1
1,2,0,0
1,3,1,0
2,0,0,2
3,0,0,0
2,0,0,0
2,3,0,2
2,1,1,0
2,2,1,2
0,1,1,0
0,2,0,2
0,1,0,4
1,2,0,0
2,1,0,1
2,1,0,0
2,3,3,3
3,3,0,0
2,4,2,0
1,1,1,0
1,1,0,1
4,1,0,0
1,1,0,1
0,1,1,2
0,0,0,0
0,1,1,0
5,0,0,1
2,0,1,0
5,1,0,0
1,1,0,1
4,0,1,2
3,0,0,0
0,0,0,0
1,0,2,1
4,1,0,2
2,1,4,2
0,0,0,0
3,0,1,1
2,1,1,2
1,2,1,1
0,1,0,0
0,2,0,1
2,0,1,0
2,2,1,0
5,1,1,0
1,1,0,1
2,0,0,1
1,0,2,0
2,1,0,0
1,1,1,0
1,1,0,1
3,1,1,1
5,0,2,1
2,0,0,0
3,0,0,0
0,2,2,1
1,0,0,3
1,3,1,1
2,1,1,1
0,0,0,0
1,0,0,0
1,0,0,0
4,2,0,0
4,3,2,1
9,2,0,1
7,1,2,3
8,6,1,1
6,4,3,1
14,6,2,2
24,16,6,3
25,12,7,7
38,14,16,14
56,37,16,10
85,46,36,25
135,59,45,39
182,125,71,57
332,144,120,120
474,244,179,149
642,323,286,262
887,439,425,354
1084,487,680,393
1305,551,911,458
1284,495,1147,416
1378,435,1204,387
1323,378,1138,414
1258,343,950,409
1317,327,788,376
1198,304,609,389
1192,285,610,372
1134,293,609,371
1115,318,504,327
1177,301,459,371
1154,295,427,404
1147,287,414,338
1172,330,361,387
1161,290,388,361
1034,278,354,378
1174,290,364,360
1130,290,400,355
1090,298,398,403
1118,271,357,356
1154,306,362,360
1099,309,371,366
1104,330,412,385
1090,350,374,327
1141,363,400,374
1124,331,384,319
1141,365,379,401
1127,433,375,311
1120,482,307,348
1096,479,355,360
1107,573,389,355
1103,670,327,376
1091,722,405,358
1051,766,371,364
1133,760,398,335
1100,746,421,393
1084,780,409,374
1167,782,374,374
1098,814,373,403
1131,754,354,387
1098,759,397,369
1109,775,402,346
1099,773,396,358
995,808,406,368
1180,779,425,400
1067,818,391,412
1147,781,421,376
1075,766,353,363
1033,823,417,339
1050,806,407,393
1079,861,390,361
1062,750,384,366
1125,811,380,383
1056,792,368,376
1044,832,372,377
1038,780,407,374
1044,825,375,396
1082,808,352,384
1013,815,379,397
1024,813,389,401
1047,837,404,398
1069,801,365,374
1024,804,390,341
1005,753,370,368
1020,806,418,374
1066,872,367,369
1042,873,371,356
1020,806,364,372
930,796,401,398
1051,828,367,366
1009,776,430,358
1027,854,385,372
994,843,404,348
1030,832,407,390
1004,781,388,356
1003,782,369,355
1026,874,425,374
1002,833,416,347
1002,860,377,353
1061,822,371,366
1041,864,400,360
978,929,410,367
1051,861,388,390
1017,857,382,363
1017,873,382,354
1008,790,428,368
982,848,406,365
986,816,394,376
975,848,357,396
945,807,375,391
1061,869,417,363
973,831,394,364
987,861,401,426
1024,892,367,382
987,810,385,359
1004,808,368,397
1009,916,406,390
951,885,378,364
953,820,394,382
1021,900,368,356
1002,839,363,363
982,848,367,380
1002,850,379,361
979,832,387,345
1004,884,338,358
1023,923,402,351
1002,827,375,398
1002,892,384,352
985,860,368,364
949,852,373,359
1035,846,357,402
1019,856,378,385
950,847,358,387
993,866,371,391
983,890,372,423
1004,863,382,378
1022,859,367,365
976,898,374,405
985,898,372,406
988,917,377,369
1014,933,388,405
991,863,401,373
995,888,390,377
917,868,350,379
1000,859,378,373
1022,847,392,374
908,901,368,382
970,904,382,373
963,860,392,391
979,888,396,374
900,849,366,362
924,881,350,347
933,839,366,374
916,896,352,398
939,863,373,344
977,859,366,381
997,866,378,396
998,863,358,357
933,902,357,366
962,838,351,395
984,863,387,397
940,875,370,398
976,894,376,355
949,872,423,369
943,904,358,382
970,872,371,397
942,846,418,360
941,902,366,370
981,885,380,373
987,863,413,381
990,900,386,369
986,872,383,380
910,931,348,349
947,953,363,367
966,865,372,341
998,860,362,353
1012,906,379,363
958,865,353,354
954,949,379,369
957,914,372,380
922,882,375,375
981,884,371,404
946,895,357,374
958,876,345,380
976,873,373,364
974,956,374,374
935,878,357,359
981,912,384,371
938,913,371,339
905,897,394,377
969,861,355,372
927,902,355,378
883,870,364,362
947,889,363,384
884,913,350,355
886,898,363,404
945,904,399,382
1005,868,395,408
917,910,393,389
945,901,385,346
982,922,383,370
921,862,390,373
962,931,335,383
1004,942,391,339
894,912,389,364
933,948,379,320
980,929,391,359
925,882,388,387
931,912,342,385
934,920,368,369
951,894,336,383
960,947,365,363
975,946,330,358
916,925,386,357
925,916,357,365
928,938,345,364
916,938,347,403
977,889,345,350
941,919,360,336
945,930,370,396
908,915,370,369
908,877,400,411
970,913,365,385
953,950,371,354
883,954,340,334
953,914,370,365
860,915,358,341
873,910,385,377
903,948,405,401
913,915,371,400
942,915,332,359
900,902,403,377
866,877,369,371
932,900,352,395
919,909,349,358
949,929,379,359
898,893,408,363
893,915,365,407
930,936,405,352
893,949,361,378
930,912,393,359
980,916,387,329
943,941,379,386
890,913,354,370
916,913,340,359
