BEAMS
HeaderRows:8,BinSize:0.3906250000000001,RunNumber:25485,Title:CoTa2O6 ZF T=17.993(0.014)K,Lab:TRIUMF,Area:M20D,Temperature:17.994(0.014)K,Field:0.157G,BeginTime:1601478223,EndTime:1601480839,ElapsedSecs:2616,Method:TD-,Apparatus:LAMPF,Insert:bfud.391,Sample:CoTa2O6,Orientation:N/A,Das:MIDAS,NumHists:4,NumBins:26368,Experimenters:BYU
Back,Forw,Down,Up
150,150,150,150
600,600,600,600
683,683,683,683
25600,25600,25600,25600
640,640,640,640
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,18,0,0
67,63,10,26
27,3,32,9
2,0,1,1
1,0,0,1
0,2,0,1
2,1,0,2
2,1,0,2
4,0,0,1
2,2,2,2
2,0,0,0
3,0,0,0
1,1,0,0
2,1,0,2
7,2,1,0
2,0,0,0
0,0,0,1
2,1,0,3
1,1,0,1
5,0,1,2
0,0,2,2
1,3,0,1
2,1,0,2
2,0,1,0
0,1,0,0
0,2,0,2
2,1,0,0
0,1,1,0
1,1,0,0
1,3,1,0
1,0,0,0
3,0,0,0
0,2,0,1
2,4,1,1
0,2,1,1
1,3,1,1
2,2,0,0
2,1,1,1
5,1,1,0
5,0,1,0
2,0,0,0
2,0,0,0
0,1,0,2
2,1,0,0
1,2,0,0
3,2,0,0
2,2,0,0
0,4,1,0
3,1,0,1
5,1,0,2
2,2,1,0
0,3,1,1
2,2,0,0
4,3,0,1
4,1,0,1
3,1,0,0
6,1,0,0
2,0,1,0
1,5,2,0
0,1,2,1
3,1,0,0
2,1,1,2
0,0,0,2
2,2,0,2
0,3,0,2
2,0,2,0
2,1,0,2
1,0,1,2
1,0,0,1
1,1,0,0
1,4,0,1
3,1,1,0
3,2,1,0
1,1,0,2
1,2,0,0
2,1,0,0
3,0,0,1
1,2,0,1
3,0,1,1
3,0,1,2
3,3,0,1
6,0,1,0
1,2,0,2
2,2,1,1
5,0,0,1
5,1,1,1
2,0,1,0
1,1,0,0
1,2,0,1
1,1,1,0
1,0,0,0
0,0,1,0
3,1,2,2
5,1,1,1
2,3,3,0
3,2,1,0
4,1,0,1
0,1,1,1
1,1,0,1
0,4,1,0
0,1,1,0
2,0,0,2
3,2,0,1
1,0,0,3
2,1,2,1
2,1,0,0
3,1,0,0
0,2,0,0
0,0,0,1
1,1,0,2
0,1,0,0
0,1,1,0
2,1,1,1
1,1,1,0
3,2,0,1
3,0,0,0
2,1,0,1
3,0,0,1
0,0,1,0
1,1,0,1
3,1,0,1
2,0,0,3
1,5,0,0
0,1,0,0
4,0,0,1
3,2,2,1
2,0,0,1
1,2,0,1
0,0,2,1
1,1,1,0
4,0,0,3
2,1,0,0
3,1,0,0
1,1,0,0
1,2,1,1
1,1,2,0
2,1,0,1
3,2,0,0
1,1,0,1
3,2,0,0
0,1,1,1
2,2,1,0
2,0,0,0
2,1,0,1
0,3,1,2
1,1,2,0
2,2,0,0
0,0,0,2
1,0,0,1
2,1,0,0
3,0,0,0
3,0,2,0
1,3,1,1
2,1,0,1
0,1,0,1
2,2,0,1
2,0,0,1
1,1,0,1
1,0,0,0
2,1,1,0
5,1,0,1
2,1,1,0
0,1,1,1
2,3,0,1
1,1,0,2
2,1,0,0
3,0,1,3
1,0,1,1
1,2,1,0
3,0,0,0
0,0,0,0
1,0,0,0
4,0,0,0
3,1,0,1
2,2,0,0
1,1,0,0
4,2,0,2
2,6,0,0
2,0,0,0
1,0,1,2
0,1,0,1
2,0,0,0
4,0,2,0
5,0,1,2
3,0,0,0
2,0,1,3
2,3,0,1
1,3,1,0
2,0,1,0
1,0,2,2
2,2,0,0
3,1,1,0
0,0,1,0
1,1,0,1
2,1,0,1
2,1,0,0
3,1,2,0
5,0,0,0
0,1,0,0
3,1,1,0
3,1,0,0
1,0,0,0
1,1,1,0
4,1,0,0
1,3,2,1
4,2,1,1
1,2,1,0
3,2,1,0
1,2,0,0
4,0,0,0
2,2,0,0
3,2,1,1
3,1,1,0
3,1,0,1
1,1,0,2
1,4,1,0
1,0,1,1
7,1,3,0
1,0,0,1
3,2,0,0
2,3,1,1
0,2,1,3
3,2,0,0
4,1,2,0
3,0,1,0
0,1,2,2
5,0,1,0
1,0,1,0
4,2,1,1
2,0,0,0
1,0,1,0
2,1,1,0
3,2,1,1
1,3,0,0
0,2,1,0
1,0,2,0
0,0,1,0
1,0,2,3
3,2,0,3
0,0,0,1
2,1,1,0
0,3,1,0
3,1,2,0
2,1,0,1
1,1,0,4
0,1,0,1
1,2,2,0
1,4,0,0
4,3,1,0
1,2,0,0
2,2,0,0
4,0,0,0
1,2,0,3
1,0,1,2
1,3,1,1
2,0,0,2
0,1,1,0
3,4,0,0
4,3,2,0
0,0,2,0
0,2,0,1
3,1,0,1
3,0,1,0
1,3,2,1
1,2,1,0
4,0,0,1
2,3,1,1
3,2,0,0
2,0,0,0
1,2,1,1
2,1,0,3
3,1,1,0
1,0,0,1
3,2,0,1
1,2,1,2
3,2,0,0
0,0,1,0
0,1,0,0
1,1,0,0
1,1,0,1
2,0,0,1
3,2,0,0
0,4,1,2
0,2,0,0
2,3,0,1
2,1,1,0
2,1,0,1
4,0,1,1
0,3,2,1
0,1,0,0
2,0,2,1
3,3,1,0
2,3,0,3
3,2,0,1
5,2,3,1
4,2,2,0
3,1,0,0
0,0,1,1
0,1,0,0
4,1,0,2
1,1,0,1
3,0,0,0
2,1,0,1
2,1,0,1
2,1,0,0
1,0,1,0
3,3,2,0
1,0,2,0
2,1,0,0
3,0,0,0
0,3,0,0
1,2,1,1
3,1,0,1
1,0,0,0
0,0,1,1
1,0,0,0
0,0,0,1
0,1,3,0
2,1,2,0
1,0,0,0
5,0,0,0
4,0,0,1
1,3,0,1
0,1,0,2
2,0,1,0
0,2,1,1
6,1,0,0
3,3,1,0
2,0,1,0
1,1,1,0
2,1,0,0
2,2,0,1
2,1,0,1
3,1,0,1
2,1,1,0
3,0,1,0
0,1,1,3
5,2,0,1
1,0,0,1
0,0,1,0
1,4,0,1
1,1,0,0
4,3,0,1
3,2,1,3
0,0,2,0
2,1,2,2
2,1,0,1
0,2,0,1
3,0,0,0
2,1,0,0
3,1,0,1
0,0,0,0
4,2,0,1
3,3,1,0
0,2,0,2
2,2,0,0
0,2,1,1
4,3,1,1
2,0,0,0
2,2,2,0
0,2,0,2
0,4,1,0
1,2,0,1
1,3,1,0
1,0,2,2
2,1,0,2
1,1,0,0
0,2,1,2
3,3,0,1
2,2,0,0
1,2,1,2
1,1,2,1
1,1,0,1
3,3,0,0
3,1,0,1
2,0,0,1
2,0,0,0
1,2,1,0
2,1,1,0
0,1,0,1
1,2,0,0
1,1,0,0
0,2,0,0
1,2,0,0
3,1,1,1
1,1,0,0
1,2,0,1
1,1,0,0
2,1,1,0
1,4,0,0
0,0,0,2
3,0,0,1
0,1,0,2
3,1,1,0
0,2,1,2
1,1,0,0
2,1,3,0
0,1,2,1
2,0,1,0
3,0,2,2
2,3,0,0
0,1,2,1
1,0,0,2
1,1,1,2
4,2,1,1
0,2,0,0
5,1,1,2
0,1,0,1
1,4,1,2
1,0,0,0
1,0,0,0
2,1,1,1
1,1,1,1
1,4,0,0
3,0,0,2
4,0,0,1
2,1,3,1
2,1,0,1
1,3,1,1
1,1,0,2
2,1,0,0
1,3,1,3
1,4,1,1
1,2,0,2
4,1,1,0
0,1,0,0
3,0,2,0
0,1,0,0
1,1,0,0
3,1,0,2
2,3,1,0
1,1,1,3
1,2,0,2
1,1,1,1
1,0,0,1
3,1,0,0
3,1,0,1
2,2,2,1
2,1,1,0
1,0,0,3
2,2,0,0
5,1,0,0
0,2,0,2
2,0,1,1
0,1,1,2
3,1,1,1
0,3,0,0
1,2,0,0
3,2,0,2
3,0,0,1
1,0,0,0
1,2,0,0
1,1,1,0
2,2,0,1
5,1,0,1
3,2,1,0
1,3,0,0
2,0,0,2
1,0,0,1
2,1,1,1
1,0,0,1
1,2,0,0
2,3,0,1
2,2,0,0
3,1,0,1
2,1,2,0
2,1,0,1
1,3,0,1
0,4,0,0
0,2,0,0
3,0,0,0
0,0,0,2
2,2,0,1
3,2,0,2
1,3,0,0
2,0,0,0
3,2,0,0
2,2,1,0
2,2,0,0
1,0,1,1
0,4,0,0
0,3,1,0
2,1,0,0
2,0,0,1
3,0,1,2
2,2,0,1
2,0,0,1
3,0,0,1
1,0,0,0
3,2,0,0
2,1,1,0
2,2,1,0
2,0,1,2
1,1,1,1
8,0,0,0
0,0,0,1
1,0,0,1
4,1,0,1
1,0,1,0
1,0,0,0
0,1,0,0
1,1,0,0
2,0,0,3
1,1,0,1
2,1,2,0
3,1,0,0
1,1,0,1
1,0,0,1
7,1,0,1
2,1,0,0
3,1,0,1
0,2,1,0
1,1,0,0
3,0,1,0
2,2,0,0
1,0,0,1
3,0,1,1
1,0,1,0
1,0,1,0
4,2,1,0
4,1,0,1
6,1,0,1
5,0,2,2
8,3,4,0
4,0,2,0
8,9,5,1
14,7,3,1
22,9,7,4
31,18,4,7
43,29,15,9
72,35,18,31
123,66,33,28
166,82,56,59
267,129,114,95
416,206,166,137
579,285,250,218
786,382,393,289
959,453,546,334
1090,407,721,376
1167,366,895,355
1158,342,981,341
1178,294,926,317
1102,249,742,312
1091,261,629,315
1050,238,541,300
912,233,505,296
958,236,476,289
972,228,426,290
989,256,333,318
940,239,347,293
908,217,305,306
965,261,368,329
928,230,323,316
978,253,335,338
965,216,331,301
951,234,332,314
947,245,332,299
980,243,348,296
916,235,320,300
971,270,325,314
928,229,323,285
890,283,325,279
950,269,293,320
978,307,323,298
946,337,321,275
980,312,297,320
949,391,312,345
958,424,306,275
975,502,313,305
1027,523,293,288
965,614,332,310
966,596,317,322
975,595,331,286
948,644,353,314
929,598,354,291
1032,632,288,331
937,609,314,308
978,653,335,316
960,671,346,275
898,679,317,316
949,670,348,309
956,597,308,320
986,643,324,303
925,676,336,312
951,633,340,317
957,644,321,314
930,658,378,309
926,621,347,301
938,656,330,324
946,636,330,345
935,644,344,313
938,687,327,301
972,634,307,323
1000,637,350,305
923,635,337,322
960,685,355,290
910,636,317,324
934,620,350,321
884,603,329,314
987,630,331,301
919,620,336,287
893,672,296,282
866,610,363,328
899,607,331,335
878,659,366,314
922,645,338,289
929,625,318,293
869,643,340,353
887,653,313,348
858,594,307,335
923,635,321,275
877,607,324,326
870,617,343,286
969,665,343,328
870,638,350,320
868,618,352,323
860,671,333,314
897,614,330,319
856,669,333,335
863,599,307,321
931,613,327,316
932,640,308,298
920,644,372,297
895,607,343,288
901,684,347,339
896,619,336,273
914,609,348,305
949,658,335,302
892,630,370,336
878,687,346,318
920,616,320,275
922,651,299,332
935,634,305,284
912,660,332,294
889,630,349,321
877,625,355,298
926,642,310,294
919,634,327,307
980,627,344,274
892,676,308,312
923,665,328,310
845,629,322,316
918,693,355,304
899,660,303,343
892,644,340,303
957,635,338,299
871,643,308,304
944,615,347,279
925,696,357,306
908,645,323,307
837,656,328,304
877,623,324,312
866,629,294,308
897,629,294,321
888,676,335,332
873,674,311,327
873,690,348,319
903,585,314,294
842,610,299,314
901,650,323,328
909,664,322,335
947,643,281,312
904,645,306,318
932,648,321,334
895,662,329,286
879,672,317,285
891,659,341,318
859,636,326,349
899,623,317,330
917,633,361,311
906,640,347,286
914,619,323,313
927,654,333,320
930,607,360,322
890,637,359,298
908,606,331,296
830,629,293,309
877,648,330,306
879,670,298,320
911,605,321,315
958,663,308,337
914,609,286,325
899,680,316,336
888,620,313,304
883,626,297,299
876,636,348,324
909,613,318,339
884,650,322,338
969,656,334,309
869,650,343,320
957,656,338,331
887,641,307,342
880,670,302,290
900,641,303,302
895,625,317,331
892,610,322,327
902,649,310,288
870,643,370,311
928,682,283,292
895,671,315,322
855,649,316,312
891,669,310,303
862,653,297,328
907,678,324,328
869,651,356,280
925,657,324,321
942,641,331,297
899,617,333,301
926,620,322,283
864,671,339,290
868,577,331,302
935,617,318,366
836,661,316,316
897,629,339,272
911,685,349,275
933,699,277,316
854,646,323,317
883,684,360,321
914,648,333,323
882,642,319,320
855,675,347,316
897,656,339,313
899,643,320,305
896,618,315,325
885,660,295,304
868,661,322,302
868,665,319,274
909,672,368,286
928,694,292,314
913,665,340,311
856,637,327,307
916,639,321,317
908,640,317,305
858,649,318,310
861,616,335,303
852,667,339,332
849,632,339,317
861,641,314,302
922,630,309,289
897,643,308,310
924,630,323,307
874,622,294,304
920,614,330,313
884,619,347,297
878,622,327,314
882,633,311,307
850,637,340,317
924,653,345,324
868,630,345,320
869,651,340,269
912,639,304,301
873,645,281,292
832,667,356,312
913,690,314,336
877,650,335,294
841,688,325,312
870,620,316,284
850,606,331,302
924,671,311,316
847,650,328,300
870,676,329,291
842,613,322,266
908,659,301,286
887,627,342,280
941,636,312,292
852,604,308,320
883,665,320,310
847,631,344,305
843,648,320,305
851,669,343,340
840,643,338,311
851,651,303,283
893,636,306,302
866,644,303,312
875,652,326,300
