BEAMS
HeaderRows:8,BinSize:0.3906250000000001,RunNumber:25496,Title:CoTa2O6 ZF T=45K,Lab:TRIUMF,Area:M20D,Temperature:45.20(0.11)K,Field:0.120G,BeginTime:1601509444,EndTime:1601512211,ElapsedSecs:2767,Method:TD-,Apparatus:LAMPF,Insert:bfud.391,Sample:CoTa2O6,Orientation:N/A,Das:MIDAS,NumHists:4,NumBins:26368,Experimenters:BYU
Back,Forw,Down,Up
150,150,150,150
600,600,600,600
683,683,683,683
25600,25600,25600,25600
640,640,640,640
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2,20,0,0
79,42,3,32
21,0,19,12
1,1,3,2
0,1,0,0
0,1,0,0
1,1,0,0
0,2,0,1
0,0,0,1
2,5,0,0
4,2,0,0
3,2,0,1
0,1,2,0
1,0,1,0
2,1,1,0
3,1,0,0
5,1,0,0
1,2,0,0
2,1,3,0
3,2,2,2
4,3,2,1
3,0,3,0
1,1,1,0
3,0,0,0
5,1,0,0
2,1,0,0
1,3,1,0
1,0,2,2
2,1,1,4
1,1,0,0
1,0,3,0
1,1,0,0
4,2,1,0
1,1,1,0
1,1,0,0
3,0,1,0
2,0,3,0
5,0,1,2
3,3,0,1
1,1,0,0
6,1,0,0
0,3,1,1
1,2,1,0
0,5,0,2
1,1,0,0
0,2,0,0
3,3,0,2
1,4,0,1
3,4,1,0
1,0,1,1
0,0,0,2
3,3,0,1
0,1,0,1
2,6,0,1
2,1,0,3
2,1,0,1
1,1,2,0
0,1,0,0
2,3,0,1
1,2,0,1
1,2,0,2
1,4,0,0
1,0,1,1
2,2,2,1
0,3,1,0
6,1,1,2
3,0,0,0
1,2,0,0
0,0,1,1
1,1,3,0
2,3,1,1
2,1,1,0
6,1,1,0
1,1,2,1
2,0,0,2
1,1,0,0
0,1,1,0
0,1,0,3
0,1,1,0
1,1,2,2
4,1,2,1
1,1,1,1
1,0,0,1
4,1,1,2
0,2,1,0
2,0,0,3
5,1,0,1
4,1,0,1
1,0,0,3
1,1,1,2
3,0,0,0
4,0,0,4
1,0,0,2
3,3,1,0
1,1,0,1
3,4,2,0
2,1,0,0
2,3,1,1
3,1,0,0
2,2,0,1
2,2,2,2
0,0,0,0
3,1,1,1
1,4,0,1
3,0,1,2
2,0,0,0
4,3,1,1
0,0,0,0
1,3,0,1
3,0,2,0
4,0,1,1
2,0,0,0
3,0,2,1
2,4,0,0
2,0,0,1
0,1,0,0
4,2,0,1
1,1,0,0
1,0,0,1
0,2,1,1
2,3,1,1
0,1,1,3
0,1,0,2
1,0,1,0
2,3,0,0
1,2,2,0
2,1,1,0
1,2,0,1
1,1,1,0
0,0,0,1
1,1,0,0
1,1,2,0
2,1,2,0
1,2,1,0
1,1,0,0
4,0,1,1
2,1,0,1
4,0,0,1
2,0,0,0
3,0,1,1
3,2,0,1
4,2,0,1
2,0,2,1
2,1,1,1
3,2,0,1
1,3,0,1
3,2,0,0
2,1,1,1
1,1,0,0
2,2,1,1
1,0,0,0
5,0,1,0
0,0,1,0
1,2,1,2
0,1,0,3
1,2,1,2
4,2,1,0
2,0,0,0
4,3,1,1
3,0,0,0
2,3,1,0
5,1,2,3
3,1,0,0
4,3,1,0
1,0,1,1
2,1,1,0
5,1,0,0
1,1,0,1
3,0,0,0
0,1,1,0
3,2,0,1
3,1,0,1
3,2,2,0
1,1,0,2
1,3,0,0
2,2,0,0
1,1,0,0
2,3,0,0
4,1,1,2
3,1,0,2
1,0,0,0
4,1,2,0
3,0,3,1
1,3,0,1
0,3,1,1
1,1,1,2
0,0,2,1
4,3,0,0
3,5,0,1
4,2,0,0
2,0,2,1
2,0,1,0
2,0,0,3
3,3,2,0
1,0,1,0
2,1,0,0
2,3,1,1
0,0,1,0
1,3,1,2
3,1,0,0
1,0,0,0
0,3,1,1
2,0,0,0
1,3,0,1
0,4,0,1
0,1,2,0
1,3,0,1
1,2,1,2
2,0,0,0
0,0,0,0
1,1,0,0
2,1,2,0
2,1,0,0
3,1,0,0
1,1,1,0
0,1,0,0
5,1,0,0
3,0,2,2
0,0,0,1
3,1,0,1
1,2,0,0
3,3,1,1
3,2,0,0
3,1,1,0
2,0,3,1
1,5,0,0
2,1,1,0
1,2,1,2
3,2,0,0
3,0,0,0
1,2,0,0
2,1,0,1
2,2,1,2
3,1,0,0
0,0,1,3
3,0,0,1
3,0,0,0
3,2,0,1
3,3,0,0
2,2,1,1
2,0,0,2
0,1,1,1
3,0,2,1
2,3,1,1
2,1,0,0
1,1,1,1
5,1,2,2
6,5,0,0
2,4,0,2
2,0,0,1
1,1,0,1
2,3,0,0
4,1,0,2
0,0,0,0
1,1,2,0
2,0,0,1
2,0,0,0
1,0,0,1
1,2,0,2
1,1,0,0
1,2,0,0
1,0,0,2
2,0,0,1
0,1,1,3
0,2,0,2
0,0,0,1
2,0,1,0
2,1,1,1
1,2,0,1
1,0,0,0
4,0,1,1
1,0,1,0
1,2,2,1
4,3,1,2
2,2,0,0
4,4,0,0
2,0,1,1
2,1,0,2
2,0,1,0
1,2,0,1
2,1,1,3
1,0,0,1
3,2,0,2
1,3,0,1
0,2,0,0
5,2,0,0
2,2,1,2
2,1,0,0
0,0,0,0
4,1,0,0
1,1,0,1
4,3,0,0
2,1,0,1
1,2,0,1
5,1,1,1
1,2,0,0
4,0,1,0
1,4,1,2
1,0,0,1
0,3,1,0
3,2,0,1
3,2,0,1
3,1,0,0
0,0,0,0
2,3,0,0
3,4,2,0
1,1,0,0
0,1,0,0
1,2,0,0
0,1,0,0
2,1,1,1
0,2,2,1
4,1,0,2
0,2,1,1
1,2,0,0
1,2,1,0
0,2,3,3
1,1,0,0
1,1,2,1
6,1,1,2
1,1,1,0
6,1,2,1
3,1,0,0
3,3,0,0
2,3,1,0
1,0,0,1
3,1,0,0
2,2,0,0
2,0,0,1
0,1,1,1
3,1,1,1
1,2,0,0
3,1,0,2
3,2,1,0
0,0,1,2
2,2,0,0
2,3,0,1
2,1,0,0
3,4,1,1
2,2,1,0
1,2,0,0
1,1,1,1
3,0,2,1
2,0,0,1
4,1,0,1
4,0,0,0
2,0,0,1
3,2,0,2
0,1,0,1
3,3,1,1
1,1,0,0
1,0,1,0
5,0,1,1
1,0,1,0
1,3,0,0
0,2,1,1
0,4,0,0
1,1,0,0
0,0,0,0
2,1,1,1
2,2,0,0
0,1,0,0
5,1,0,4
1,0,2,0
1,2,0,1
3,5,1,0
1,1,0,1
4,0,0,2
2,2,0,0
0,1,0,0
0,1,1,0
4,0,0,0
2,0,2,2
0,2,0,0
4,0,2,0
4,1,0,0
1,0,0,0
1,1,0,0
2,1,1,2
2,2,1,0
2,2,1,1
0,0,0,1
1,2,1,1
1,3,1,1
1,4,1,1
3,2,1,1
2,2,1,0
2,1,0,0
2,3,2,0
2,2,0,1
1,1,1,1
0,1,0,0
4,2,1,3
2,0,1,1
2,0,1,1
1,2,0,2
6,1,2,0
1,0,0,1
1,1,1,1
3,0,1,0
2,2,1,0
4,1,0,0
6,1,1,1
0,0,1,2
0,1,1,2
5,1,2,3
2,1,2,1
2,3,1,0
0,4,0,0
1,0,2,0
0,3,0,1
1,3,0,1
3,0,2,0
3,5,1,0
1,2,0,1
4,1,0,0
3,2,0,1
2,2,2,0
1,3,1,3
2,2,0,1
3,0,0,0
3,1,0,1
2,2,0,1
0,0,0,0
0,0,1,0
7,2,0,1
2,3,0,2
1,0,1,2
3,4,0,2
1,1,0,0
2,2,1,1
2,0,0,1
0,0,0,0
0,1,0,2
2,1,0,2
3,1,0,0
0,1,0,2
1,1,0,2
1,1,0,2
4,1,1,2
1,1,0,0
2,0,0,0
1,1,1,1
2,1,1,0
3,0,0,3
0,0,0,1
2,1,1,2
1,0,1,0
4,3,0,1
4,3,1,1
2,1,2,1
2,1,0,1
2,3,3,0
1,0,0,0
2,0,0,0
4,0,0,0
0,2,1,1
2,3,0,0
4,2,0,1
1,2,1,0
0,0,0,1
0,2,0,0
2,0,0,0
0,0,1,1
1,1,1,4
2,2,0,0
1,2,1,2
1,2,0,1
2,0,0,1
1,4,0,0
3,2,0,1
2,1,1,0
0,0,0,3
4,0,0,0
1,1,1,1
1,0,1,0
1,1,0,1
1,2,0,0
7,0,0,0
0,4,0,1
3,3,0,0
2,0,1,0
1,0,0,0
4,0,0,1
3,0,1,1
2,0,1,0
1,0,0,0
2,1,0,0
2,0,0,1
3,1,0,0
1,0,0,4
2,1,0,1
3,0,0,1
1,0,0,0
3,1,0,0
3,1,0,0
1,1,0,1
3,1,0,1
4,1,1,0
1,0,0,0
2,0,0,1
2,0,1,0
1,0,0,0
2,1,1,0
0,0,0,2
3,1,0,0
3,1,1,1
2,0,0,0
2,0,0,1
2,2,0,1
1,0,0,1
0,0,1,2
2,1,0,1
2,0,0,0
0,0,0,0
0,1,0,0
4,1,0,0
1,0,0,1
1,0,0,2
6,1,1,2
3,1,0,0
7,0,1,3
3,2,1,1
10,6,0,0
8,2,3,6
18,6,1,3
17,8,4,5
23,13,5,4
31,19,10,9
44,21,13,15
77,36,19,21
122,47,31,30
167,82,65,50
281,128,98,75
376,185,148,123
616,287,251,193
820,384,354,280
938,460,544,359
1050,445,659,365
1153,402,861,334
1134,377,1004,371
1141,333,962,338
1167,316,751,316
1082,263,682,289
1100,267,523,321
1021,250,537,306
1038,248,518,311
1043,255,438,309
1008,255,387,293
999,264,361,320
974,246,361,315
980,239,343,332
975,244,345,335
983,242,339,327
990,241,316,314
987,246,315,316
979,269,344,296
988,240,320,271
965,276,329,352
1010,269,319,311
958,274,345,289
1041,291,309,314
964,287,328,304
1009,294,342,276
982,323,337,313
936,335,325,327
996,399,322,298
964,458,349,310
1040,540,302,312
1011,560,344,323
955,585,364,319
1014,595,322,314
1066,631,347,324
1007,647,349,308
1005,640,347,359
928,662,341,322
1034,638,377,337
1005,668,377,324
1011,673,313,352
1006,689,350,281
981,688,339,298
914,652,341,343
978,651,336,326
1009,628,353,367
973,677,377,350
1009,701,348,296
972,656,362,338
971,656,331,326
1001,663,337,320
981,648,343,354
970,637,351,313
968,690,361,324
989,670,348,335
989,677,367,307
983,663,375,327
917,630,351,337
1013,625,352,296
984,620,368,337
1010,661,326,332
976,637,343,299
930,648,369,329
1012,682,326,319
916,674,319,308
922,656,359,290
943,672,337,337
927,657,361,309
981,646,339,337
985,677,346,283
957,663,331,340
906,691,352,341
965,647,335,316
991,656,376,331
907,651,319,301
962,644,285,323
904,668,380,333
988,615,344,315
893,652,337,316
893,673,325,333
944,671,330,307
958,701,341,289
956,660,355,353
945,660,349,309
906,671,360,318
904,678,362,332
942,665,358,316
980,657,341,339
924,659,357,326
948,627,328,316
956,682,358,277
986,630,346,339
969,638,370,321
884,652,339,331
959,631,359,291
927,672,339,320
953,687,371,306
932,677,322,334
921,659,346,274
947,674,330,334
974,630,345,335
975,687,321,322
979,740,373,327
1000,625,343,311
915,682,349,342
966,621,377,335
1015,594,331,345
942,609,316,316
960,663,357,339
882,667,338,310
889,672,316,338
949,617,356,335
936,647,359,322
937,615,346,315
969,641,314,321
852,673,347,305
942,655,326,352
964,639,343,279
904,628,336,312
950,651,343,327
942,639,340,317
943,655,326,333
906,641,325,322
970,652,373,333
931,635,333,305
934,697,365,342
905,621,348,335
937,647,319,310
954,650,377,305
982,672,332,327
924,657,348,301
914,671,319,307
941,667,333,321
935,623,355,337
887,607,351,303
954,633,337,351
948,656,359,333
967,665,323,349
949,631,333,342
966,658,347,324
952,636,321,327
926,654,358,334
912,627,339,321
920,621,363,302
906,661,357,338
1027,684,327,309
974,621,338,320
939,661,309,320
937,706,321,308
901,619,330,322
895,622,348,343
913,666,347,330
955,653,317,290
953,649,348,326
877,649,324,345
893,627,365,344
955,640,334,341
928,689,321,288
881,637,322,317
923,629,348,320
955,625,338,313
923,672,345,334
906,699,319,296
983,676,380,343
993,603,341,305
909,624,325,321
942,639,320,338
880,696,350,305
972,652,324,327
918,622,315,283
976,670,322,318
924,672,376,332
835,646,327,333
935,634,337,325
919,663,352,344
966,667,358,330
936,621,354,278
941,630,334,319
916,644,338,308
956,677,363,310
930,642,371,358
925,698,337,305
853,647,325,315
907,686,330,290
963,648,307,318
932,652,345,357
927,659,327,340
954,659,311,354
959,642,348,339
904,617,339,280
929,642,291,350
897,661,313,307
889,636,334,303
988,679,337,276
924,672,333,324
928,669,324,309
950,678,368,323
924,680,315,307
854,660,326,325
930,627,329,306
902,654,330,301
962,668,339,299
906,669,305,315
978,664,352,326
932,629,322,312
952,652,311,328
938,641,356,317
950,648,332,310
981,659,323,342
951,653,345,346
944,675,349,328
988,657,332,283
966,658,349,304
968,658,310,287
986,633,364,313
937,676,357,310
938,691,309,322
906,629,330,338
973,648,324,317
937,633,333,314
951,641,317,323
863,647,312,301
936,653,324,357
916,624,368,319
915,645,312,333
917,634,328,277
885,666,332,298
883,616,359,322
890,687,328,295
892,630,336,313
874,600,338,324
953,649,320,301
939,698,339,333
910,638,375,316
975,643,333,297
