BEAMS
HeaderRows:8,BinSize:0.3906250000000001,RunNumber:25537,Title:CoTa2O6 FC LF=4000G T=17.556(0.004)K,Lab:TRIUMF,Area:M20D,Temperature:17.556(0.004)K,Field:3982.7G,BeginTime:1601635111,EndTime:1601638127,ElapsedSecs:3016,Method:TD-,Apparatus:LAMPF,Insert:bfud.391,Sample:CoTa2O6,Orientation:N/A,Das:MIDAS,NumHists:4,NumBins:26368,Experimenters:BYU
Back,Forw,Down,Up
150,150,150,150
600,600,600,600
683,683,683,683
25600,25600,25600,25600
640,640,640,640
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,26,0,0
207,112,14,71
86,7,45,31
3,2,1,1
1,3,1,0
7,1,0,2
7,3,3,3
4,4,0,1
7,4,2,3
10,0,0,2
6,3,1,3
5,5,0,1
8,4,1,1
8,0,2,4
4,3,0,2
5,4,1,2
5,2,3,1
4,3,0,0
7,0,2,2
7,1,2,2
5,2,0,1
7,1,2,2
6,1,1,4
4,3,2,2
5,3,1,2
3,5,2,1
2,1,1,4
3,3,0,1
4,4,1,1
5,3,1,1
5,2,2,0
7,1,2,4
5,3,1,3
4,2,2,3
2,4,3,0
6,1,2,1
6,6,0,0
8,6,1,2
3,3,2,1
5,3,3,0
7,6,0,6
2,2,1,0
12,4,1,1
5,5,2,1
5,2,1,1
8,8,0,2
4,3,1,2
9,2,0,1
9,3,1,3
4,3,4,0
2,6,1,0
4,2,1,1
4,1,3,0
3,1,1,1
3,3,0,2
5,2,3,2
3,4,2,0
5,1,3,4
6,2,0,1
4,2,1,0
4,3,1,0
7,4,0,1
5,1,1,2
5,2,1,4
8,0,2,1
6,3,3,1
3,6,3,2
8,4,1,1
3,1,0,1
5,1,2,3
4,5,1,3
6,5,0,1
8,2,3,3
10,4,4,2
5,2,4,0
7,1,2,2
1,5,3,1
7,2,1,0
5,3,3,1
6,2,2,1
0,3,3,3
7,1,1,1
6,5,2,4
3,0,0,3
6,1,2,0
2,3,1,0
3,3,1,1
3,4,1,4
9,1,1,2
5,4,2,3
3,3,0,1
8,3,1,1
5,4,0,5
6,1,1,1
4,3,2,2
5,1,1,3
5,2,1,3
8,1,2,1
7,3,1,1
5,7,1,2
4,0,1,2
3,3,0,3
7,2,1,0
3,1,0,0
4,5,2,3
6,3,1,1
3,2,1,0
6,2,1,2
6,5,2,4
3,7,1,1
8,0,1,0
4,3,1,1
7,3,0,1
7,2,0,1
7,9,3,0
9,6,0,2
5,3,1,1
8,3,2,2
4,3,3,1
5,1,2,1
4,3,1,4
3,5,1,0
5,6,0,3
8,5,0,3
3,1,1,0
4,2,1,1
8,2,1,2
8,5,3,2
2,4,1,1
3,6,2,2
8,5,2,3
8,1,3,4
5,2,3,3
5,3,1,0
1,5,2,1
2,2,3,0
3,3,0,1
8,3,1,0
3,3,1,1
5,2,1,1
4,0,2,3
2,2,2,3
6,2,1,1
7,4,2,2
5,2,0,1
6,4,0,2
3,3,0,3
6,1,0,1
7,1,1,2
4,2,0,1
5,4,4,3
7,1,1,0
2,3,1,2
9,1,1,0
8,3,1,4
7,0,0,3
8,7,3,6
2,5,1,0
7,2,1,2
5,2,1,0
5,4,0,1
8,2,1,3
10,2,1,2
8,3,1,1
8,6,1,2
6,3,0,2
7,4,0,0
4,1,3,1
3,5,2,1
7,3,1,1
9,0,1,2
7,2,1,3
6,1,1,1
4,3,1,0
6,3,0,1
8,5,0,0
5,2,1,1
8,2,0,1
3,4,0,0
7,3,1,4
7,3,0,1
3,5,3,1
4,3,1,1
7,2,0,3
7,4,2,1
5,2,1,4
5,4,0,2
1,4,2,2
2,2,1,4
3,6,1,0
5,3,2,2
7,2,0,1
7,3,3,2
4,0,1,2
10,3,0,1
4,3,2,2
1,2,0,4
3,1,1,1
5,1,2,4
9,2,1,1
7,4,4,2
4,3,2,3
6,1,3,1
4,4,1,0
5,3,1,2
5,5,0,2
4,2,0,1
8,2,1,1
4,5,2,0
4,2,2,2
4,0,2,1
5,2,0,4
4,5,2,1
6,2,3,3
11,6,0,4
13,2,1,2
8,3,2,1
8,2,2,1
5,4,3,0
7,3,1,0
7,4,1,4
6,2,2,2
7,2,1,1
5,4,0,2
4,3,1,0
6,4,1,1
3,3,1,0
8,2,1,3
2,2,1,3
6,2,2,1
4,2,0,4
5,2,0,0
4,1,2,3
4,1,1,3
4,1,0,2
4,3,1,2
9,3,1,5
4,1,2,1
3,0,1,1
4,3,2,1
7,8,3,2
5,4,1,3
4,5,2,4
14,3,2,1
6,3,1,2
3,3,0,2
3,0,0,5
4,4,2,0
6,2,1,0
4,3,0,0
8,4,3,0
4,4,1,1
7,2,0,1
2,2,2,1
9,1,0,2
2,4,0,2
8,3,2,2
4,3,0,2
6,4,3,2
2,1,2,1
5,4,2,1
4,5,1,0
6,4,0,2
5,3,1,1
3,4,2,2
2,5,0,3
5,2,2,3
4,2,3,0
5,3,3,2
2,2,1,0
7,2,2,4
4,3,0,3
6,1,2,0
4,1,1,0
4,4,3,1
9,3,1,1
8,2,2,0
2,3,4,3
2,5,2,3
6,5,0,4
4,4,2,2
6,1,2,2
4,1,2,1
7,3,4,1
5,1,0,1
5,0,0,1
6,0,2,2
7,3,0,3
5,2,1,0
4,4,2,3
1,4,0,1
4,4,1,1
11,4,0,1
4,5,0,0
4,1,1,0
7,1,3,0
4,6,1,2
4,1,0,3
1,3,0,1
5,1,2,4
7,6,3,2
8,2,1,2
2,2,2,1
11,3,3,3
5,2,2,3
5,2,0,0
3,1,2,3
9,1,4,1
5,5,0,2
4,3,0,1
5,5,1,1
7,2,2,2
7,2,3,0
8,5,1,6
2,2,0,0
9,1,2,2
4,1,1,2
6,3,0,0
4,3,0,0
4,4,1,2
7,1,0,4
3,2,0,2
8,4,0,3
4,2,4,1
5,5,1,3
4,2,3,2
4,3,1,0
3,3,2,1
5,3,1,3
6,3,3,4
13,2,1,2
7,5,0,4
2,1,2,0
7,3,1,2
6,0,1,1
2,6,2,1
4,4,3,4
6,5,0,2
6,3,0,3
8,0,4,1
8,2,2,0
5,4,4,0
4,4,1,1
6,3,2,1
2,2,3,4
5,4,1,1
2,1,3,1
8,2,2,0
2,5,2,3
5,5,1,1
6,5,0,1
5,4,2,0
5,2,3,3
4,4,4,0
4,2,0,1
4,6,4,2
6,4,1,0
4,6,1,4
9,5,1,1
8,1,1,1
6,1,0,2
2,3,1,2
6,4,0,0
4,3,0,0
7,1,0,3
2,5,1,1
3,1,4,1
5,1,1,6
2,5,1,3
6,3,1,1
5,3,0,0
1,2,3,2
9,3,2,0
11,4,2,1
6,4,1,1
4,1,2,1
9,0,1,1
5,2,1,0
5,3,2,1
3,2,1,4
8,1,1,0
5,6,3,1
7,4,1,0
7,2,0,0
5,4,0,3
8,5,2,0
6,4,0,1
6,4,1,2
7,1,2,3
11,5,0,5
6,5,1,1
4,6,2,0
6,1,1,2
4,1,2,1
6,3,2,1
5,1,2,2
3,6,1,0
6,0,1,1
4,1,4,3
3,2,1,1
6,2,1,2
6,5,3,0
7,2,2,4
7,6,2,3
3,3,2,1
6,7,1,2
4,3,1,1
10,2,1,6
5,3,0,2
5,2,1,2
11,3,1,3
4,3,0,4
4,3,1,1
5,1,2,3
7,1,1,1
10,7,2,2
1,2,1,0
9,5,4,2
2,2,2,1
7,7,1,0
8,2,2,1
4,2,1,2
6,5,0,1
8,1,1,0
6,5,1,1
4,2,0,3
9,2,0,1
5,2,3,4
7,3,1,3
8,6,0,3
3,3,1,2
7,2,4,0
6,1,0,1
6,5,2,1
9,5,0,5
5,5,1,2
5,3,4,1
4,1,3,3
12,3,0,2
7,3,0,0
7,3,0,1
4,2,1,2
2,3,2,3
2,3,0,0
5,3,0,1
3,2,3,1
2,1,0,3
6,1,1,0
2,1,1,2
8,4,0,0
11,2,1,1
4,1,2,1
6,0,2,0
2,1,0,3
7,3,1,4
5,2,1,4
10,0,0,0
6,2,3,0
6,0,1,1
9,0,1,0
3,3,1,3
7,0,1,0
5,2,0,0
7,3,2,1
3,3,1,1
4,2,0,0
5,0,1,2
6,4,2,3
4,3,2,3
1,1,1,0
7,0,2,1
3,2,1,0
3,2,3,1
3,2,1,2
4,3,1,1
6,5,4,0
4,2,4,1
5,2,3,1
7,1,1,0
5,3,0,2
4,0,2,1
4,3,0,1
3,0,0,3
7,2,0,4
1,1,3,2
4,2,0,1
2,2,1,2
5,2,1,2
9,0,3,1
3,2,3,2
3,0,1,1
2,1,1,1
6,1,2,3
3,2,1,2
6,1,1,1
7,1,0,1
6,0,2,1
4,4,0,0
6,0,1,0
3,2,1,1
7,2,1,4
8,1,0,1
4,2,1,1
4,3,2,1
1,1,3,2
5,2,3,1
2,2,2,2
6,2,0,2
3,0,1,1
7,2,1,1
2,1,0,3
4,1,1,3
4,4,1,3
8,2,4,0
4,0,1,2
6,1,0,1
3,0,2,2
6,1,0,1
7,2,2,1
5,1,1,4
5,3,0,1
6,2,2,6
12,3,1,2
12,0,1,1
13,6,4,0
13,7,2,3
22,4,6,8
26,6,2,14
25,12,7,9
40,22,7,23
51,33,11,40
71,39,20,51
108,46,27,67
170,89,38,99
232,120,56,168
333,171,80,235
504,211,123,332
670,345,171,414
866,392,251,500
1120,472,374,561
1199,397,507,549
1244,354,617,450
1240,307,617,371
1194,278,621,382
1147,241,548,377
1064,247,465,339
1079,259,342,337
1016,251,376,334
983,226,321,340
993,257,266,303
979,225,320,328
1005,241,260,332
997,208,254,310
984,245,238,319
947,253,254,305
975,254,239,318
913,252,265,285
981,240,249,322
915,267,250,256
997,265,270,283
963,259,242,290
965,269,271,279
954,314,255,284
952,310,260,271
891,333,254,282
973,356,278,279
882,352,249,281
967,426,274,286
888,505,279,261
964,546,260,292
916,564,272,299
951,635,278,306
948,530,295,252
918,591,333,291
930,578,307,288
930,594,268,287
929,636,328,264
981,635,285,280
912,638,292,303
966,591,283,320
962,596,299,273
979,595,287,291
951,623,299,297
911,619,277,308
889,630,273,291
972,598,293,301
948,633,272,294
888,595,301,313
943,644,276,315
956,651,291,322
935,598,263,320
905,587,302,325
949,616,251,309
982,611,269,321
898,573,239,315
961,590,271,330
906,652,276,330
920,660,269,307
947,630,275,299
952,653,257,259
945,624,269,286
939,587,311,296
917,596,274,308
915,585,267,295
876,582,273,330
915,613,264,312
935,598,258,291
948,597,283,283
906,621,270,330
886,602,288,270
989,679,288,302
871,601,282,294
886,620,278,258
943,631,268,281
921,653,285,288
956,580,269,299
882,625,262,301
849,608,260,268
866,657,284,244
874,591,304,269
904,613,297,304
919,661,274,272
889,656,277,270
915,644,287,297
927,596,296,300
924,646,286,309
873,654,302,291
908,591,282,306
899,629,307,304
933,643,299,328
932,592,275,283
926,567,284,288
966,623,327,325
941,572,276,296
907,617,280,302
952,633,236,298
925,605,272,290
882,637,286,280
960,631,275,334
902,613,256,326
907,586,272,327
925,594,269,308
853,631,277,310
943,605,247,299
925,660,268,323
900,607,250,304
855,646,273,297
910,616,262,276
877,611,257,301
922,651,231,320
878,604,275,313
986,623,244,265
954,594,293,304
935,647,244,324
881,649,260,278
883,601,286,300
898,640,240,308
880,599,268,287
875,673,267,305
940,617,290,273
956,587,302,279
912,605,286,285
921,639,312,266
855,614,282,301
941,614,321,280
989,593,293,292
914,620,256,285
896,630,299,267
929,620,306,287
897,633,312,295
893,684,330,270
869,651,276,282
892,609,248,277
857,613,283,305
844,588,307,286
892,619,307,270
893,639,269,320
919,640,288,317
841,560,277,264
917,656,259,275
946,660,313,300
898,610,298,295
885,598,296,303
924,612,239,299
919,604,281,293
913,621,274,284
939,617,288,300
899,639,287,294
907,630,253,282
857,594,264,329
854,615,287,302
935,574,267,360
894,648,260,308
943,614,239,317
903,619,260,347
914,561,278,310
882,587,274,299
901,611,261,302
901,629,269,303
896,625,264,288
825,609,261,287
910,605,260,300
864,595,245,278
934,617,260,306
928,591,283,308
866,668,275,261
855,630,298,284
888,608,259,281
876,608,283,254
848,648,270,285
887,596,262,281
882,624,306,246
895,661,263,259
902,606,286,261
855,628,288,278
850,678,268,277
919,648,283,280
879,619,311,248
885,608,276,280
876,600,289,258
957,621,266,290
829,601,294,270
883,628,284,290
910,613,304,286
883,610,275,305
846,636,266,296
952,628,267,303
925,614,272,298
889,602,304,334
892,619,289,294
848,625,279,303
867,592,311,310
907,628,265,310
871,584,250,337
829,618,227,284
874,547,275,325
864,635,278,309
877,624,253,290
839,588,282,306
919,638,271,303
910,556,242,310
908,604,241,297
921,623,255,309
838,572,252,270
905,595,262,303
910,667,246,298
886,608,262,259
869,608,258,280
873,639,252,310
909,617,262,294
852,589,270,294
840,633,247,279
869,661,277,282
889,545,275,275
906,579,255,293
886,612,291,257
922,578,290,279
925,623,273,270
906,597,243,274
929,576,291,275
836,631,321,283
864,643,275,257
907,638,292,299
924,599,305,270
921,652,304,263
843,589,283,258
899,601,298,282
872,602,281,266
897,619,267,274
827,625,295,305
916,613,272,292
864,627,292,260
874,639,302,265
876,638,284,256
