BEAMS
HeaderRows:8,BinSize:0.3906250000000001,RunNumber:25545,Title:CoTa2O6 FC LF=4000G T=70K,Lab:TRIUMF,Area:M20D,Temperature:69.92(0.47)K,Field:3982.4G,BeginTime:1601661550,EndTime:1601664041,ElapsedSecs:2491,Method:TD-,Apparatus:LAMPF,Insert:bfud.391,Sample:CoTa2O6,Orientation:N/A,Das:MIDAS,NumHists:4,NumBins:26368,Experimenters:BYU
Back,Forw,Down,Up
150,150,150,150
600,600,600,600
683,683,683,683
25600,25600,25600,25600
640,640,640,640
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,30,0,1
206,86,5,46
61,3,45,17
2,3,1,1
4,1,0,2
0,2,1,1
6,1,0,1
3,7,2,1
5,1,1,1
2,3,2,0
7,3,0,0
0,1,0,2
8,5,1,1
11,0,2,0
4,1,0,3
5,1,0,2
1,2,0,0
3,2,0,3
9,0,0,2
8,2,0,0
1,3,2,2
2,6,1,2
3,2,0,1
3,0,1,1
5,3,2,0
8,5,2,1
7,2,1,0
0,3,0,0
5,1,1,1
4,3,2,1
5,2,1,4
10,2,3,1
4,2,0,3
2,3,0,0
7,3,1,0
6,1,1,1
7,6,3,2
6,4,3,1
8,0,1,0
7,1,0,0
0,2,1,0
7,2,1,1
4,5,0,2
8,2,1,2
5,2,1,0
6,3,2,4
6,2,0,3
1,1,0,0
4,5,0,2
3,4,2,0
4,2,2,1
6,1,0,0
2,4,1,3
2,1,3,0
5,3,1,1
3,2,1,0
4,7,1,2
1,2,1,0
8,4,1,1
1,3,0,0
4,1,0,2
3,0,0,1
4,4,0,4
4,2,0,1
4,2,4,3
2,0,1,1
8,2,2,1
4,0,1,1
8,1,1,0
6,1,1,2
3,4,2,1
5,2,0,1
3,0,0,1
3,5,0,0
8,2,1,0
3,2,1,2
4,5,0,0
2,4,1,0
6,1,1,2
2,2,0,3
3,3,1,1
1,3,2,2
2,2,1,1
3,0,0,4
9,3,1,2
5,2,1,1
4,2,2,0
5,4,6,0
3,0,0,0
5,5,1,2
3,3,0,2
5,5,1,0
8,3,1,1
4,1,2,2
2,2,2,2
3,2,2,0
1,2,2,2
5,2,2,1
4,2,0,0
4,2,2,1
1,1,0,3
3,3,2,0
2,1,2,1
9,0,1,1
2,2,2,0
1,4,0,2
4,6,0,5
4,3,1,0
3,2,1,0
3,3,2,2
5,3,1,0
4,2,1,2
1,2,2,3
3,4,3,0
5,3,1,2
4,5,0,0
4,2,1,1
3,1,0,2
5,1,3,2
4,2,0,1
4,3,1,3
4,1,0,1
4,4,0,0
8,2,1,1
6,1,0,3
3,1,2,4
7,1,0,1
4,2,0,2
1,4,0,0
7,3,2,2
7,1,0,1
4,2,1,1
5,3,0,5
2,2,0,5
10,1,1,0
5,2,3,1
3,1,1,0
9,4,0,1
3,2,2,0
2,3,1,1
4,3,3,0
4,2,2,1
4,3,1,0
5,1,0,3
5,2,1,2
6,3,1,0
4,2,2,3
4,4,1,0
2,3,0,1
6,5,2,0
6,3,0,1
2,1,2,1
1,1,0,1
8,2,0,3
6,1,0,0
5,4,2,0
6,1,1,1
2,2,1,1
3,3,1,3
5,3,0,0
5,3,1,1
3,1,1,1
4,0,2,0
2,1,1,1
3,5,1,1
2,2,0,0
2,1,0,0
4,4,3,0
3,1,0,2
3,1,3,0
5,5,2,1
4,1,2,1
4,0,2,0
4,3,1,2
4,2,1,2
6,1,0,0
3,3,0,0
2,0,0,3
2,4,1,1
8,2,0,3
1,4,0,4
2,3,2,0
3,1,1,0
4,5,1,5
4,0,1,0
4,3,0,1
5,2,0,2
4,2,1,1
6,1,0,4
3,4,1,0
6,3,1,3
5,6,2,2
6,1,1,2
2,2,0,0
5,0,1,1
4,2,0,0
3,3,2,3
5,3,3,0
3,3,3,1
1,4,1,0
2,3,1,1
5,2,0,3
2,2,0,3
4,0,2,2
5,5,2,1
4,2,1,2
3,3,1,1
4,2,1,1
3,3,1,2
2,0,1,0
2,3,1,2
5,0,2,1
4,3,0,2
7,1,0,0
3,3,1,3
3,1,0,0
7,2,1,5
3,1,0,0
4,5,0,1
5,1,1,1
3,2,0,1
2,4,2,0
3,1,1,3
4,0,1,0
3,8,1,4
8,5,0,1
4,2,0,1
3,3,1,0
4,4,2,1
2,3,2,3
3,3,1,0
5,3,1,1
5,1,1,2
4,2,0,4
2,2,1,1
7,0,1,1
4,3,1,3
7,0,0,1
4,2,0,0
5,0,2,1
4,1,0,1
1,5,1,2
7,4,0,2
2,0,1,2
3,1,1,2
4,2,2,2
3,1,0,2
5,4,1,1
2,0,0,0
3,3,2,0
4,2,1,0
7,1,0,5
5,0,1,4
3,2,1,2
6,5,1,0
1,2,1,1
3,0,1,1
3,3,4,1
7,2,0,2
6,4,1,2
7,1,0,0
8,3,0,1
4,2,1,2
10,1,1,5
4,2,1,3
4,2,0,1
6,1,3,0
6,2,1,1
2,2,0,1
3,0,0,2
3,1,1,3
4,3,2,1
2,2,2,2
4,2,2,0
5,1,3,2
2,2,4,4
3,2,1,2
5,0,0,2
0,1,1,3
5,2,1,3
4,2,1,0
6,1,0,1
0,1,0,2
4,2,1,3
2,3,0,0
4,1,1,0
1,0,0,2
4,2,2,0
4,3,3,0
4,0,1,1
3,1,0,2
6,1,0,2
5,2,2,1
5,4,0,1
4,3,0,4
1,0,1,2
3,1,1,1
5,2,1,1
3,3,1,0
8,5,1,3
3,4,1,0
5,3,0,3
7,0,1,1
2,5,2,3
4,3,1,2
4,4,0,1
3,0,1,0
6,2,0,2
2,4,1,2
4,1,0,0
4,1,1,0
4,3,2,2
4,2,4,2
6,3,2,1
4,2,1,3
2,4,4,1
6,1,0,1
4,4,4,1
5,3,6,3
5,3,0,1
3,6,2,0
4,3,0,0
5,0,3,1
8,2,0,2
1,1,0,1
7,2,1,3
4,2,2,1
2,2,0,4
3,0,1,1
4,2,0,1
5,3,0,0
5,1,3,0
4,3,3,0
2,2,4,0
3,5,4,0
5,3,2,0
0,0,1,3
4,4,0,0
2,7,1,0
5,0,1,0
5,3,0,0
2,1,1,1
6,1,2,1
6,2,0,0
4,3,0,4
3,3,1,1
6,4,0,0
2,1,0,2
6,2,0,0
5,6,1,1
4,1,2,0
7,5,1,1
1,1,2,1
2,1,1,0
9,3,0,4
3,0,2,2
10,3,1,0
2,3,1,0
4,2,1,1
5,2,3,0
3,3,2,1
4,8,1,2
7,1,1,0
6,4,2,0
1,1,0,2
7,0,1,3
3,1,0,0
3,5,0,0
3,1,1,3
5,2,1,1
5,2,2,0
4,2,4,1
2,1,0,1
4,1,3,1
4,4,1,3
4,2,0,0
4,3,2,2
4,1,1,1
5,2,0,5
3,1,1,0
6,4,1,1
4,0,0,1
4,1,2,1
4,1,0,0
4,1,0,2
7,3,1,1
4,1,2,1
7,1,1,0
4,5,0,2
5,2,0,0
7,2,2,2
6,5,3,2
1,0,2,0
5,4,1,0
5,6,0,0
5,3,1,1
4,4,0,2
6,1,1,0
3,2,1,2
5,5,0,0
3,2,0,0
9,3,2,4
0,7,3,2
5,2,1,1
7,5,2,2
7,2,2,1
4,0,0,2
6,0,1,0
4,5,2,2
1,4,2,1
3,2,1,0
5,1,0,2
3,0,1,0
3,4,2,1
4,0,2,1
6,0,1,0
2,2,0,2
5,5,1,0
4,1,0,3
9,1,0,0
4,0,0,3
4,3,2,0
6,1,2,0
3,2,0,1
5,2,1,1
4,0,1,0
4,0,3,1
1,6,2,0
1,1,0,3
4,3,1,1
7,3,2,0
3,0,1,0
2,2,1,2
6,3,0,1
8,0,0,1
4,0,1,3
4,2,1,0
4,0,0,2
3,3,0,1
5,0,1,1
5,2,3,4
2,5,2,2
6,2,0,2
5,2,1,1
4,3,1,0
4,4,1,0
6,5,2,0
5,2,0,0
3,4,0,1
2,6,1,2
1,2,2,2
3,3,1,1
8,0,0,0
2,2,1,1
3,1,1,2
6,2,2,1
5,0,1,1
6,1,1,1
4,2,0,1
6,1,0,0
1,2,0,1
4,0,0,3
1,2,1,0
0,1,0,0
4,2,1,0
7,1,0,0
2,2,1,0
8,3,1,4
4,1,1,0
7,1,0,1
5,4,1,2
5,3,0,0
2,4,0,1
6,2,2,0
1,3,1,0
5,3,1,2
6,2,2,1
5,1,0,0
2,3,0,2
2,1,1,1
6,0,1,3
2,1,1,0
5,2,0,2
3,2,1,3
8,2,1,0
3,0,1,1
7,0,2,1
3,1,1,1
2,0,1,3
7,0,2,1
5,1,2,1
3,3,2,1
3,2,0,3
7,1,2,1
5,1,1,2
4,1,1,0
5,2,2,2
5,1,0,0
5,0,2,2
5,3,1,0
4,2,0,0
3,0,0,1
5,0,3,1
4,1,1,2
3,1,0,3
5,1,0,1
6,0,0,2
4,0,1,5
2,1,1,2
4,1,0,2
4,3,0,4
9,2,0,1
9,1,0,0
2,2,0,0
0,0,0,0
5,2,0,1
5,0,1,2
3,2,0,1
2,1,1,0
6,0,0,0
8,2,0,0
4,4,1,2
10,2,3,4
10,2,1,5
3,2,2,3
13,5,4,5
15,7,3,2
22,9,3,11
27,8,8,10
39,16,9,14
49,27,8,25
50,26,13,41
96,51,16,51
130,52,26,71
194,102,44,103
312,133,59,170
428,180,113,261
569,281,147,340
711,343,221,401
798,365,287,461
949,368,432,420
979,320,534,369
1021,281,534,324
1031,245,515,294
988,228,478,323
914,219,357,278
898,202,333,281
827,185,273,276
831,223,290,256
785,209,238,273
860,193,249,245
865,198,204,265
806,187,215,269
834,177,196,283
767,191,224,237
815,200,208,256
798,176,205,247
766,203,210,234
718,203,214,260
755,230,207,227
790,199,218,215
781,224,195,233
771,209,243,249
803,227,220,267
790,273,240,222
830,291,217,242
822,346,196,231
793,371,228,216
822,396,223,212
798,426,223,218
834,480,220,228
783,521,259,226
790,493,247,239
826,472,260,238
750,485,251,229
795,536,230,223
776,498,247,225
784,529,222,225
758,495,243,221
747,520,225,232
767,496,228,229
792,488,257,223
756,514,243,261
791,517,250,266
823,518,235,303
796,530,245,256
756,505,254,255
806,546,261,269
776,521,213,258
779,519,253,269
823,497,214,287
792,500,222,267
789,492,205,259
791,478,223,269
784,496,216,277
776,496,264,273
786,498,249,273
763,465,211,253
760,515,207,260
773,500,213,275
746,494,211,251
749,488,216,249
769,454,246,247
777,490,241,226
754,527,225,266
783,498,221,263
746,486,206,273
786,503,214,250
753,515,241,229
752,467,220,220
741,465,223,235
746,517,251,214
779,516,253,235
773,530,226,223
740,525,249,227
764,511,224,258
706,522,219,225
779,529,250,238
771,505,229,240
773,510,235,235
778,496,242,240
782,512,224,233
717,508,259,237
746,489,254,222
715,531,261,219
754,447,234,223
746,511,249,275
758,507,210,216
751,537,222,231
793,518,248,268
725,532,230,264
767,509,252,232
740,527,231,250
745,534,239,251
804,482,234,233
741,528,223,247
747,486,224,240
781,515,230,275
766,511,225,259
781,517,233,244
780,529,240,262
763,510,235,262
738,507,212,278
790,459,213,262
724,516,225,261
787,525,235,277
746,508,229,263
746,512,209,243
804,506,197,279
755,514,222,275
786,516,233,270
733,525,225,234
816,519,221,255
756,515,222,221
775,512,230,244
779,476,216,239
753,527,208,249
769,480,226,238
778,509,196,228
729,480,201,239
750,524,258,226
750,529,246,244
741,541,224,229
722,519,241,226
742,484,271,231
770,502,258,212
759,512,228,222
726,474,255,246
759,490,253,236
783,484,248,233
772,498,234,225
768,516,238,259
772,511,225,231
771,557,252,223
853,511,221,239
761,518,236,239
787,536,237,226
717,493,249,237
776,517,235,256
824,530,236,258
757,517,240,273
740,476,222,255
740,494,209,286
711,481,224,259
731,475,219,223
820,505,229,261
761,480,223,274
748,504,217,239
719,524,231,241
771,471,253,246
727,518,221,266
728,495,225,284
729,503,216,264
761,532,227,284
775,537,257,264
735,511,221,255
755,514,217,245
752,489,216,251
758,500,209,225
797,470,227,252
772,511,224,279
770,510,211,255
750,465,229,235
835,474,248,246
732,507,240,247
764,507,207,250
727,513,224,237
760,470,218,247
733,475,229,254
711,497,211,223
772,523,245,209
730,499,247,229
816,456,232,225
764,500,237,240
763,509,245,235
781,505,233,232
755,489,273,253
768,473,241,212
728,478,241,240
759,478,233,242
758,498,222,231
773,499,230,239
730,528,204,260
766,501,250,214
752,473,230,256
747,486,199,233
791,494,231,247
805,484,240,248
747,512,245,258
786,488,205,210
781,478,227,268
758,528,214,233
758,500,209,249
720,487,223,271
699,514,245,260
719,482,183,249
801,473,216,247
749,532,221,240
750,477,209,253
708,501,219,239
706,479,244,236
729,511,228,240
714,517,200,279
764,507,222,243
737,515,206,268
763,507,214,284
758,485,224,242
764,487,223,220
722,481,249,240
771,492,192,237
733,509,199,263
715,478,213,210
770,472,240,231
772,485,226,224
769,526,214,223
697,480,254,224
761,513,230,257
759,501,226,227
726,503,225,217
776,488,233,204
772,495,243,214
759,477,230,224
798,509,229,235
756,509,229,233
756,500,211,232
749,516,218,253
762,540,201,256
755,421,225,245
792,504,212,212
715,470,228,238
723,486,238,246
715,467,238,227
745,477,213,259
713,522,201,248
765,483,211,254
737,503,224,226
