BEAMS
HeaderRows:8,BinSize:0.3906250000000001,RunNumber:25549,Title:CoTa2O6 FC LF=4000G T=8.8K,Lab:TRIUMF,Area:M20D,Temperature:8.803(0.010)K,Field:3982.1G,BeginTime:1601676471,EndTime:1601679175,ElapsedSecs:2704,Method:TD-,Apparatus:LAMPF,Insert:bfud.391,Sample:CoTa2O6,Orientation:N/A,Das:MIDAS,NumHists:4,NumBins:26368,Experimenters:BYU
Back,Forw,Down,Up
150,150,150,150
600,600,600,600
683,683,683,683
25600,25600,25600,25600
640,640,640,640
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,44,0,0
235,115,11,63
65,4,59,24
3,0,3,1
3,1,2,1
2,3,3,3
4,4,3,1
11,3,1,1
7,2,1,1
9,1,1,2
7,9,2,2
9,6,4,1
8,2,0,0
8,2,2,4
6,4,2,1
4,2,0,4
6,3,1,0
2,1,2,1
10,1,1,3
5,2,6,3
3,1,1,2
2,2,0,0
8,5,2,1
6,3,0,2
4,5,1,1
7,2,2,0
6,3,0,0
5,3,2,2
4,3,0,2
5,2,2,1
5,2,1,3
4,5,2,2
4,2,0,2
5,2,0,1
1,2,1,1
1,1,0,2
3,2,1,3
2,4,2,0
4,1,2,3
4,1,1,1
6,0,2,0
4,3,2,2
5,2,1,3
4,7,2,2
1,0,3,0
5,1,1,2
3,4,2,2
9,1,0,1
5,4,0,2
6,1,4,2
5,2,1,3
10,4,1,1
4,1,4,1
4,4,1,2
2,4,1,2
4,5,2,1
5,1,1,0
5,4,1,3
5,3,5,2
8,4,1,2
3,9,1,0
5,1,1,2
6,2,2,1
5,2,1,4
5,2,2,0
9,3,0,2
6,6,1,2
5,3,3,2
5,4,2,1
8,5,1,1
5,5,2,3
4,0,1,2
5,2,0,0
0,2,0,2
3,4,0,1
3,1,2,0
6,2,0,0
4,4,1,2
3,1,0,1
6,3,1,1
3,0,2,1
5,2,1,2
2,5,2,1
6,2,0,2
6,4,0,1
2,3,1,0
5,3,1,2
8,2,1,3
5,3,1,0
2,6,0,2
6,3,0,1
5,2,0,1
6,3,2,1
7,6,2,0
0,3,1,3
5,0,0,0
5,4,1,1
7,1,0,3
8,0,2,0
1,3,0,3
7,5,0,1
7,3,0,3
5,4,1,4
2,3,1,4
2,0,2,1
4,3,2,1
9,3,3,1
1,5,2,0
7,4,1,1
9,3,0,3
7,5,2,0
9,3,0,3
4,2,2,1
4,4,0,1
6,4,2,1
4,3,4,0
9,5,0,0
2,2,2,2
4,4,1,0
5,2,0,1
4,4,0,2
1,6,0,2
3,4,0,3
8,2,3,0
2,3,3,2
5,3,3,2
3,3,0,2
7,4,2,2
7,7,1,1
2,2,1,1
6,6,1,2
7,0,1,1
11,1,1,1
10,4,0,2
8,3,2,2
4,1,1,1
6,7,0,2
3,6,0,0
5,3,0,2
1,1,0,5
6,1,0,4
2,4,2,3
6,4,1,2
10,2,2,3
6,2,0,0
9,6,2,2
3,5,1,2
8,2,2,0
3,2,2,5
8,3,0,0
5,4,1,1
7,4,1,1
6,3,2,1
3,5,3,1
4,4,0,1
8,3,1,2
7,2,4,4
7,6,0,2
10,3,0,3
8,4,0,2
8,2,3,4
8,2,0,2
4,2,1,1
8,0,1,1
7,2,2,3
9,5,0,1
6,3,0,0
6,3,2,3
3,4,2,1
4,0,1,0
4,4,2,0
5,3,2,1
3,3,0,3
5,0,1,4
2,2,0,2
3,5,1,1
7,2,1,2
8,2,1,3
6,3,0,1
2,3,2,0
9,2,1,3
5,2,3,0
6,2,0,2
6,3,0,0
7,2,1,4
4,0,0,2
6,3,2,1
7,3,1,1
5,5,1,2
1,1,1,5
6,3,1,0
4,3,2,0
5,3,1,4
5,3,1,0
4,2,2,2
8,1,1,1
6,1,0,1
9,3,0,1
3,4,1,3
10,2,2,5
4,1,3,1
5,4,1,1
10,5,0,1
8,5,1,1
7,3,0,0
3,2,0,3
7,3,2,0
7,2,1,2
2,1,0,1
3,2,1,2
4,3,4,2
9,5,1,3
2,4,1,3
5,0,2,1
8,5,1,0
6,3,1,1
3,4,1,0
3,3,1,2
4,2,2,1
5,5,2,3
6,4,3,3
4,4,0,6
5,0,0,1
4,2,2,0
5,1,2,0
8,2,3,2
2,2,0,3
5,5,0,1
2,1,3,3
2,3,3,0
2,3,1,0
3,4,0,3
7,5,1,1
4,4,1,4
4,3,1,2
5,5,3,1
6,3,0,1
7,3,1,3
5,3,2,1
6,4,0,2
4,0,0,1
6,3,2,2
4,3,5,2
2,3,0,3
7,5,0,1
4,2,2,0
1,6,2,3
8,4,3,2
3,2,3,3
8,3,0,1
2,5,0,1
4,3,1,1
9,5,5,2
7,2,0,3
3,5,0,1
10,1,1,1
4,1,0,2
8,2,2,2
4,7,1,1
9,2,2,2
8,1,1,2
4,3,1,1
6,1,1,0
9,4,0,0
2,3,1,2
7,2,0,3
5,4,3,0
6,3,0,0
6,1,1,0
5,0,2,4
5,4,2,2
2,6,1,3
8,2,1,0
6,1,2,1
7,1,1,2
2,0,0,3
7,1,1,0
5,4,0,0
5,2,1,2
5,2,1,4
6,2,1,5
2,8,0,2
5,2,1,0
3,1,4,4
6,2,5,4
8,3,0,0
2,0,1,6
7,2,1,2
4,3,2,2
4,4,0,0
7,4,0,1
7,6,2,0
5,2,2,3
4,2,2,2
1,4,0,0
3,6,1,2
8,3,0,2
11,5,2,1
5,2,2,0
8,2,4,2
6,2,3,1
5,3,1,2
3,3,0,2
7,2,1,0
6,4,0,2
9,2,1,0
3,1,2,3
3,1,0,0
7,1,2,1
3,3,3,4
6,2,2,2
1,0,0,0
4,2,1,2
4,5,3,1
2,6,1,3
2,1,1,2
5,1,3,2
3,4,1,1
8,4,1,0
6,1,0,3
5,4,1,0
4,3,1,2
4,4,1,6
8,4,0,2
7,1,1,2
2,4,0,0
8,1,2,0
4,0,4,1
8,6,2,1
5,2,0,2
8,1,0,1
3,2,0,2
4,3,1,4
8,5,5,0
7,0,0,2
3,2,1,0
5,5,0,1
3,3,1,4
8,5,1,1
12,2,0,1
4,3,2,2
1,5,1,1
6,5,1,0
4,0,1,2
3,2,0,0
7,2,0,0
7,5,1,2
2,1,0,0
3,4,0,2
8,2,1,2
1,3,1,3
5,3,0,3
0,1,0,0
2,0,2,1
6,0,0,0
5,4,2,0
7,3,0,1
10,5,5,1
7,2,1,2
1,1,0,2
3,2,2,3
8,3,5,4
5,5,0,1
8,1,1,1
3,3,1,0
7,2,0,3
4,4,3,4
6,3,1,0
7,3,2,5
6,4,2,2
3,3,1,1
7,1,1,1
3,4,1,0
6,2,1,1
6,6,0,0
2,5,0,1
6,1,1,3
4,1,2,3
7,2,0,2
9,2,3,0
6,3,0,1
4,6,1,0
5,2,0,2
6,4,1,2
2,4,3,3
5,4,2,0
8,2,1,4
4,3,3,2
5,4,0,1
7,1,2,1
7,4,2,3
4,3,0,1
3,3,0,2
5,2,0,0
2,2,1,1
2,2,0,2
7,1,1,4
8,0,1,3
8,4,1,5
6,5,2,0
7,3,1,1
5,3,1,2
7,5,0,4
8,2,0,2
7,3,1,4
8,2,2,1
7,4,3,1
5,2,1,1
7,1,3,1
4,2,1,0
7,3,0,2
7,4,1,3
6,3,0,2
9,4,1,3
5,3,1,3
10,4,5,5
2,2,0,1
3,3,1,2
6,2,1,2
5,2,2,1
6,2,3,1
7,0,1,1
3,0,2,2
6,3,1,3
4,1,1,1
3,1,0,1
2,3,1,2
4,7,0,3
3,0,2,0
4,2,0,1
6,0,1,2
3,3,2,1
2,1,1,1
4,4,1,0
5,5,1,0
5,3,4,0
6,6,0,1
4,2,0,2
5,3,1,1
4,5,1,2
6,2,1,1
3,2,0,1
5,3,0,2
4,2,2,1
4,2,2,1
7,2,1,2
10,2,2,3
7,3,1,1
3,5,0,1
6,2,2,1
3,2,1,2
3,1,1,0
3,2,5,2
9,3,4,1
6,2,1,1
2,2,1,0
9,1,3,2
4,2,4,2
3,2,1,2
4,4,2,5
4,2,2,1
6,3,2,0
8,6,1,1
4,1,1,0
8,2,1,2
9,1,1,2
8,3,1,1
2,1,2,2
2,5,2,4
4,6,1,3
2,1,3,5
4,3,1,1
4,5,3,4
6,1,4,3
2,3,3,0
3,2,0,0
6,2,2,1
4,4,1,5
6,3,0,0
11,3,1,1
1,2,0,4
3,2,1,3
2,2,3,1
3,4,0,3
4,1,1,0
2,0,2,0
3,0,1,2
4,3,0,2
5,0,0,2
7,0,1,1
8,2,4,1
5,1,2,2
5,2,0,1
3,1,3,1
8,1,2,2
5,3,1,1
4,1,2,1
5,5,1,1
8,2,1,1
10,4,0,1
4,0,6,0
3,0,2,2
7,3,1,2
4,2,2,1
2,0,0,2
10,3,2,2
4,3,1,3
8,0,2,2
4,0,0,1
4,6,2,1
5,0,2,0
9,2,3,2
7,0,0,4
7,2,1,0
6,1,3,3
7,5,2,3
6,1,0,2
7,1,0,1
5,1,0,0
4,4,1,2
7,4,0,0
11,2,0,3
6,3,0,2
5,4,3,5
5,4,4,3
9,7,0,4
13,9,3,6
23,5,2,6
28,12,2,18
35,14,7,23
55,27,8,44
82,32,13,29
108,54,19,63
141,81,25,100
251,111,59,154
318,154,82,214
459,209,96,321
598,320,176,394
756,357,239,467
930,396,308,506
1090,384,447,489
1157,367,522,405
1124,309,570,389
1095,248,547,341
977,251,519,319
982,230,385,352
950,218,331,311
929,227,275,284
921,201,290,290
934,218,247,279
889,205,230,281
844,203,218,288
856,234,207,281
876,222,242,273
865,233,224,269
868,228,214,290
886,201,206,261
859,222,241,272
873,224,228,248
849,259,236,263
863,231,230,280
859,234,209,251
891,250,222,249
880,269,213,264
825,265,249,246
820,334,253,232
777,396,243,294
887,450,262,264
832,487,260,242
813,507,259,242
849,527,245,259
825,496,239,228
786,524,270,270
834,564,269,254
817,529,284,268
835,513,267,255
844,549,252,272
864,533,251,276
901,498,287,313
894,559,246,281
844,545,270,275
830,597,250,261
859,576,251,313
831,614,248,293
776,538,239,271
861,559,270,281
853,546,244,264
893,578,268,269
822,571,265,264
824,582,224,297
871,587,244,304
841,564,264,239
829,557,244,293
809,586,225,267
789,560,209,316
845,529,240,288
860,547,222,273
802,576,248,295
846,525,244,298
864,572,233,270
843,597,250,311
828,561,229,275
818,565,254,297
768,603,256,289
788,548,241,248
779,582,245,253
790,544,226,281
791,620,256,263
806,562,240,244
757,595,240,269
757,562,238,255
804,600,262,284
781,572,227,243
811,575,226,260
801,573,242,264
808,546,262,239
832,591,276,245
832,610,287,268
853,581,253,274
833,560,277,254
798,557,293,216
759,598,284,244
845,576,263,277
796,566,253,241
837,572,260,242
825,558,256,226
865,574,254,246
839,588,247,245
796,608,277,251
775,566,241,287
788,591,275,270
809,572,248,245
826,573,250,244
819,599,241,262
793,588,245,249
844,535,242,282
817,559,241,268
782,585,222,284
765,593,247,287
832,610,235,256
773,556,236,284
763,543,225,270
913,578,247,294
759,555,246,267
787,549,239,284
841,546,230,292
775,594,239,270
794,599,270,269
806,595,269,294
821,546,250,272
768,573,209,278
741,580,283,258
840,605,226,278
815,578,261,269
800,588,228,275
793,576,244,263
820,551,216,252
812,572,277,236
811,614,258,246
797,595,217,262
810,591,242,255
747,626,228,274
793,554,283,256
809,567,239,248
763,572,262,261
874,552,251,244
862,597,266,279
807,589,296,287
742,575,253,252
810,577,255,251
823,570,252,263
737,591,247,243
810,610,257,251
789,593,271,244
796,592,237,283
802,608,244,273
785,562,254,261
724,601,260,289
811,587,260,270
784,560,242,264
792,587,238,247
801,601,265,255
764,618,266,256
786,638,256,265
784,569,234,286
813,587,229,278
750,600,250,281
809,574,244,273
764,579,264,276
774,631,244,270
796,555,246,243
772,583,261,269
806,614,240,238
791,574,238,294
802,584,218,281
820,589,245,276
805,582,233,267
788,593,243,290
748,544,255,260
740,586,241,260
788,566,257,252
777,602,242,232
712,597,239,269
795,586,248,253
824,565,245,248
702,603,240,258
771,611,225,250
744,554,268,253
824,545,255,273
801,587,238,266
812,561,261,238
786,573,224,261
744,599,239,272
745,580,263,257
775,576,284,268
822,531,272,238
809,609,251,234
771,602,243,233
755,543,255,269
776,593,273,274
779,591,242,262
782,578,222,258
748,585,246,257
750,600,266,261
809,576,273,272
776,605,242,281
791,595,256,282
742,568,240,253
807,627,241,280
764,610,248,265
788,566,226,278
816,579,235,260
787,596,243,259
800,585,236,260
781,572,224,263
759,608,231,254
773,574,231,270
740,572,223,258
771,604,234,257
792,605,231,297
694,578,227,300
756,612,233,293
805,574,243,266
834,631,240,259
738,560,233,298
779,597,257,258
746,561,232,249
791,598,253,245
728,592,267,251
749,548,253,257
806,582,242,255
795,582,249,254
764,616,250,280
795,605,249,230
796,557,233,278
772,597,221,272
716,578,283,253
749,599,262,245
773,623,241,259
685,586,255,259
750,614,256,282
799,569,265,245
754,615,229,274
811,582,261,262
763,607,264,246
692,613,266,286
767,596,239,260
752,604,280,253
766,582,238,255
784,604,235,259
755,622,235,271
732,593,273,275
786,599,228,291
796,636,239,250
798,599,240,270
723,590,266,239
