BEAMS
HeaderRows:8,BinSize:0.3906250000000001,RunNumber:25469,Title:CoTa2O6 2K wTF=30G,Lab:TRIUMF,Area:M20D,Temperature:1.947(0.012)K,Field:-0.32G,BeginTime:1601433214,EndTime:1601434513,ElapsedSecs:1299,Method:TD-,Apparatus:LAMPF,Insert:bfud.391,Sample:CoTa2O6,Orientation:N/A,Das:MIDAS,NumHists:4,NumBins:26368,Experimenters:BYU, GDM
Back,Forw,Down,Up
150,150,150,150
600,600,600,600
683,683,683,683
25600,25600,25600,25600
640,640,640,640
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,15,0,2
28,24,3,16
9,0,12,4
1,1,0,0
0,0,0,1
0,1,0,0
0,0,1,1
1,0,0,0
2,2,0,0
2,0,0,0
1,0,1,0
2,1,2,1
0,0,0,2
0,3,1,1
1,0,1,1
0,3,0,0
0,0,0,1
2,1,1,0
1,1,0,0
0,1,1,1
0,0,0,0
2,0,0,0
2,1,0,0
0,1,0,0
0,0,0,0
0,1,0,0
0,0,0,0
1,0,1,0
1,0,1,0
1,0,0,0
3,0,0,0
2,1,0,0
2,1,0,0
1,0,2,1
0,0,0,0
0,0,0,0
0,1,1,1
3,0,0,0
0,0,0,1
0,1,0,1
2,1,0,0
1,1,0,0
0,0,0,1
1,1,1,0
0,1,0,0
0,0,0,0
0,0,0,1
1,0,0,1
0,0,0,1
2,0,0,0
1,1,0,0
0,1,0,0
0,1,0,0
2,0,1,1
1,2,0,1
0,0,1,0
2,1,0,1
0,1,0,0
1,0,0,1
2,0,0,0
1,1,1,0
0,0,1,0
2,1,0,0
0,0,1,0
1,0,0,0
0,0,0,0
1,0,0,2
0,0,1,2
0,0,0,0
0,0,0,1
0,1,1,0
2,0,0,0
0,0,0,0
1,1,0,1
1,1,0,0
1,0,0,2
2,0,0,0
0,1,0,1
1,0,0,0
0,1,0,0
1,0,0,0
0,0,0,0
0,0,0,0
1,1,0,0
0,0,0,0
1,1,0,1
0,0,0,0
1,1,1,1
0,0,0,1
1,1,1,0
1,0,0,0
0,0,0,0
0,1,0,0
1,0,0,3
1,1,0,1
1,1,0,0
0,1,0,0
0,0,0,0
0,0,0,0
2,1,0,1
1,0,1,0
2,1,0,1
2,0,1,0
0,0,0,0
2,0,1,0
2,0,0,1
0,3,0,0
1,0,0,0
3,0,0,1
0,1,0,0
0,1,0,0
0,0,1,0
2,1,1,0
2,1,0,0
0,0,0,0
1,1,0,0
0,1,0,0
0,0,0,3
1,1,0,0
1,1,2,0
1,1,1,0
0,1,1,1
0,0,0,1
0,0,2,1
0,1,1,1
0,0,0,0
1,0,0,0
2,3,0,0
5,1,0,0
1,0,0,0
3,0,0,1
2,0,0,0
1,1,1,1
0,0,1,0
1,0,0,0
1,0,0,0
1,0,0,0
2,0,0,0
0,1,1,0
1,0,0,0
0,0,0,0
1,1,1,0
1,0,1,0
1,1,0,0
0,1,0,0
2,0,1,0
0,0,0,0
4,2,0,0
1,0,1,0
3,1,0,2
1,1,0,1
1,2,0,0
2,0,0,0
2,1,0,0
3,0,1,0
2,0,0,0
1,0,1,0
0,0,0,0
0,0,0,0
2,0,1,0
1,0,0,0
1,2,0,0
0,0,0,0
3,1,0,1
1,0,0,0
2,0,0,0
0,0,0,0
0,1,1,0
2,1,0,1
0,0,0,0
1,0,0,0
0,1,0,0
0,0,1,0
0,2,1,1
1,2,1,0
0,0,1,0
2,0,0,0
0,1,0,0
0,1,0,0
0,0,1,0
0,1,0,0
0,0,1,1
0,2,0,0
2,1,0,1
0,1,1,0
2,0,0,0
1,1,0,0
0,0,0,0
0,2,1,0
1,2,0,0
1,1,0,1
1,0,0,0
3,0,0,0
0,0,0,0
1,1,0,2
0,0,2,0
3,1,0,1
0,0,2,1
0,0,0,0
1,0,0,0
1,2,0,0
0,2,0,0
1,1,1,0
0,0,0,0
1,0,0,0
0,1,1,0
1,0,0,0
0,1,0,0
1,2,0,0
0,0,0,0
1,0,0,1
0,0,0,0
0,1,0,0
0,0,0,1
5,0,0,0
3,1,0,1
1,1,1,1
1,2,1,0
0,2,0,0
1,2,0,1
0,0,0,0
0,0,0,1
1,0,0,0
1,1,0,0
0,0,1,1
1,0,1,0
0,1,0,0
0,0,0,0
1,0,0,1
0,0,0,1
1,3,0,0
0,0,0,0
1,0,0,0
2,0,0,0
0,1,0,1
3,0,0,0
3,1,1,0
0,0,0,0
0,0,0,0
2,0,0,0
0,0,0,1
1,2,0,0
0,1,0,1
2,0,0,1
1,2,0,0
0,0,0,0
0,1,1,1
0,0,0,0
1,2,0,0
2,2,0,0
1,0,0,0
0,1,0,1
3,2,0,1
0,1,0,0
1,0,0,0
3,0,0,0
2,0,0,0
2,0,2,0
0,0,0,2
0,0,1,0
2,2,0,0
1,0,0,0
1,3,1,0
1,0,1,0
0,0,0,0
0,1,0,0
0,0,0,0
0,0,0,0
0,0,1,1
0,0,0,0
1,2,0,0
2,0,0,0
1,1,0,0
1,1,0,0
0,0,0,0
2,0,0,0
0,1,0,0
1,1,0,1
0,1,1,0
2,1,1,0
1,1,1,1
0,0,0,1
0,1,0,0
0,1,1,0
1,0,0,0
1,3,0,0
3,1,0,0
2,2,0,0
0,2,0,0
0,1,0,0
1,1,0,1
0,0,0,0
0,0,1,0
1,1,1,1
1,0,0,1
3,2,0,2
0,1,1,0
2,1,0,0
0,0,0,0
0,1,0,1
0,0,0,0
1,1,0,1
3,0,0,0
1,0,1,0
1,1,0,1
0,1,0,0
1,0,0,1
2,1,0,0
2,1,0,1
0,2,0,0
1,0,0,0
0,2,0,0
1,1,0,1
0,0,0,1
0,0,0,0
1,1,0,0
1,1,0,0
1,0,0,0
1,0,0,0
0,2,0,0
1,1,1,0
0,1,0,0
0,1,1,2
1,1,0,0
1,1,0,0
0,0,0,0
3,1,0,0
3,0,0,0
2,0,1,1
0,3,2,1
0,1,0,0
2,0,0,1
2,2,0,1
2,2,0,1
0,1,0,0
0,1,2,0
1,0,1,0
0,1,1,0
0,1,0,1
0,0,1,0
0,0,0,0
0,2,0,0
0,0,0,0
1,0,0,0
0,1,0,0
1,0,0,1
2,1,0,1
0,2,3,1
1,1,0,0
1,0,0,0
0,1,0,0
0,0,1,1
0,1,0,0
1,2,0,1
0,0,1,1
0,0,0,0
2,1,0,1
1,0,1,0
0,0,0,1
3,3,0,1
0,0,0,0
1,0,1,0
2,0,0,0
2,0,0,0
0,1,0,0
0,1,0,0
0,1,1,2
2,1,0,0
1,0,0,0
0,5,0,0
2,0,0,2
0,0,0,0
0,0,0,0
0,0,0,0
2,0,1,1
0,0,1,0
5,1,0,0
1,2,0,0
1,0,0,0
1,0,0,0
1,1,0,0
0,2,0,1
2,0,0,1
0,0,1,0
0,0,0,1
2,0,1,0
2,1,1,0
0,2,0,0
1,1,1,0
1,0,1,0
1,0,0,0
0,0,0,1
1,1,0,0
0,1,0,0
0,1,0,2
1,4,0,0
1,1,0,1
1,1,0,1
1,1,0,1
0,1,0,0
3,1,0,1
2,0,0,2
0,1,0,0
1,1,0,0
0,1,0,1
1,0,0,0
0,0,0,0
2,1,0,0
0,0,1,1
0,1,0,0
2,1,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2,0,0,0
1,1,0,0
1,1,1,0
1,0,0,0
1,1,0,0
1,0,0,0
1,0,1,0
0,0,0,0
1,1,0,0
0,0,0,1
0,0,0,0
0,0,0,0
1,1,1,0
0,1,0,0
0,1,0,0
2,1,0,0
0,1,2,1
1,2,0,0
0,0,1,0
0,0,0,1
1,0,0,0
0,0,2,0
0,3,1,1
2,0,0,0
1,0,1,1
2,0,0,0
1,1,0,0
0,0,1,0
0,1,0,0
0,0,0,0
2,0,1,1
1,0,0,2
2,2,0,0
0,0,0,1
1,1,0,0
1,0,1,0
1,2,0,0
2,0,0,2
2,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,0,1,0
1,0,1,0
2,1,0,0
0,2,0,2
2,0,0,0
0,1,1,0
3,2,0,0
2,3,0,0
1,0,0,0
1,1,0,0
1,1,0,1
0,0,0,0
1,1,0,1
0,0,1,0
1,4,0,0
0,0,0,0
1,2,1,0
3,1,0,1
0,2,0,1
2,2,0,1
0,1,0,0
1,0,1,1
1,0,0,0
0,0,0,0
1,0,0,1
1,0,0,1
2,0,0,2
1,0,1,0
3,1,2,0
0,0,1,0
0,0,1,0
0,0,0,1
2,0,1,0
0,0,0,0
0,0,0,1
0,1,0,1
0,1,0,0
1,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
3,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
1,1,0,0
1,1,0,0
0,0,0,0
1,0,0,0
1,0,0,0
0,2,0,0
0,1,1,0
0,0,1,0
2,0,0,0
3,0,0,2
1,1,0,1
0,1,1,0
3,1,0,1
0,0,0,0
2,0,1,0
1,0,0,0
1,0,0,0
3,0,0,1
2,1,0,2
2,3,1,2
0,0,0,0
6,3,1,0
4,1,2,3
11,4,2,0
16,4,3,10
21,14,5,8
33,22,18,14
38,38,23,15
79,43,27,28
132,70,52,36
162,120,98,62
285,153,141,111
362,186,182,156
476,214,297,166
545,232,376,181
519,223,449,227
535,167,532,169
567,151,492,154
519,109,381,160
547,146,329,177
512,123,255,160
524,131,260,169
486,108,247,155
476,123,197,160
451,147,167,166
463,124,156,134
494,134,167,170
447,125,147,150
462,104,172,163
495,112,138,153
489,103,157,169
502,107,146,166
468,104,154,139
501,107,150,153
501,123,155,139
449,117,118,167
419,119,136,144
514,131,138,166
451,139,172,150
440,153,152,159
461,169,153,164
488,185,171,174
439,183,148,148
473,233,145,174
415,301,171,164
421,273,143,189
450,274,151,160
505,332,156,165
495,346,160,173
443,282,150,171
449,347,146,148
489,361,150,145
452,339,149,161
426,349,181,144
498,329,188,183
444,370,166,161
459,349,154,149
463,317,173,161
481,340,168,146
458,367,163,168
463,390,147,174
434,345,161,170
433,375,160,158
432,317,169,190
454,368,176,174
443,387,166,179
446,351,162,162
461,366,161,160
446,374,178,173
383,372,157,163
409,368,164,167
457,405,138,154
422,355,159,140
400,370,157,155
429,368,139,152
430,355,148,175
394,374,148,178
404,394,174,161
419,386,152,150
393,369,153,162
392,378,160,162
411,379,160,156
366,408,171,133
393,366,150,179
373,370,149,151
400,381,169,184
388,433,147,174
413,360,178,170
409,400,151,164
385,385,146,176
410,394,144,121
426,378,156,169
389,409,134,168
388,406,142,152
410,391,139,138
400,408,158,165
416,411,167,167
398,403,152,166
403,373,141,157
415,412,145,156
388,385,130,144
388,415,159,164
397,388,142,179
417,387,147,169
384,402,165,176
355,390,169,173
382,384,175,147
433,412,155,157
344,391,158,149
368,404,167,165
401,378,168,161
406,406,173,149
379,380,186,149
388,387,174,147
405,396,153,171
411,366,160,150
416,379,161,157
427,373,174,173
371,402,162,174
353,367,181,145
434,427,147,164
439,378,155,178
389,398,169,162
392,394,160,169
384,391,146,158
376,398,174,164
366,394,139,162
357,371,147,165
393,417,163,143
379,429,153,162
369,380,166,169
384,385,154,174
392,396,176,149
398,382,158,168
374,395,147,167
398,425,146,145
403,397,140,168
403,416,137,190
376,390,186,171
379,440,156,164
364,395,143,147
359,387,170,156
392,429,150,170
377,391,161,155
385,383,162,154
387,384,179,162
391,366,143,145
378,433,138,142
345,359,160,156
374,379,150,165
380,380,153,174
373,352,148,158
395,381,166,175
363,396,155,159
398,403,132,165
392,402,174,159
384,375,141,158
375,379,177,161
377,420,168,145
367,395,165,166
378,388,145,137
360,352,152,157
357,389,169,176
378,398,157,135
388,374,181,170
384,385,181,126
378,401,159,158
367,395,155,184
358,408,174,173
417,402,151,157
413,397,152,146
403,425,147,190
393,412,153,148
412,396,161,148
390,397,163,158
376,428,170,164
365,428,147,148
389,417,156,148
391,414,164,172
376,397,146,168
414,391,149,179
395,396,145,167
363,413,149,155
381,393,138,142
380,377,153,176
378,364,154,160
383,392,169,147
369,411,153,158
397,369,165,165
376,403,147,167
385,396,182,146
377,399,154,196
403,386,184,164
365,394,147,155
371,404,156,151
362,390,157,171
410,387,160,152
414,398,155,153
363,385,157,173
380,386,145,160
366,402,173,146
386,379,175,161
346,395,163,155
353,402,158,156
428,380,149,140
371,378,146,152
409,379,151,139
413,403,158,172
382,380,159,150
372,367,146,158
409,392,146,159
389,405,144,143
363,402,148,149
387,404,147,156
383,391,159,166
344,403,167,165
368,391,158,152
354,399,150,179
360,406,160,171
346,393,155,147
387,396,158,146
391,407,168,150
352,423,160,154
388,435,141,155
381,408,142,173
349,398,157,172
357,408,166,156
368,415,158,156
417,431,153,183
399,405,157,150
374,401,162,161
377,407,176,164
390,407,166,156
408,392,148,147
370,432,155,157
381,427,166,143
379,420,148,169
353,397,172,171
373,435,160,138
363,396,155,150
376,372,135,153
364,384,146,153
377,440,166,169
387,387,160,148
353,409,144,143
400,399,162,169
374,398,149,137
363,399,153,163
359,397,160,157
362,396,140,150
387,439,167,171
351,402,164,146
381,398,160,155
