BEAMS
HeaderRows:8,BinSize:0.3906250000000001,RunNumber:25497,Title:CoTa2O6 wTF=30G T=45K,Lab:TRIUMF,Area:M20D,Temperature:45.310(0.025)K,Field:-0.324G,BeginTime:1601512305,EndTime:1601513721,ElapsedSecs:1416,Method:TD-,Apparatus:LAMPF,Insert:bfud.391,Sample:CoTa2O6,Orientation:N/A,Das:MIDAS,NumHists:4,NumBins:26368,Experimenters:BYU
Back,Forw,Down,Up
150,150,150,150
600,600,600,600
683,683,683,683
25600,25600,25600,25600
640,640,640,640
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,12,0,0
38,46,4,14
13,0,15,7
0,1,0,0
0,3,0,1
0,0,0,0
0,0,3,0
1,0,0,1
0,0,0,0
1,1,0,2
3,0,1,0
1,1,0,0
0,2,0,1
3,0,0,0
2,2,0,0
2,2,1,0
1,1,0,0
0,0,0,0
1,1,0,0
2,0,0,0
0,1,0,0
0,2,0,0
0,1,3,0
0,2,0,0
0,0,0,0
0,0,0,1
0,1,0,0
1,1,1,1
1,3,0,1
1,1,2,0
0,0,1,0
2,0,0,1
1,1,1,0
0,1,0,2
1,0,0,0
1,0,1,2
1,1,0,0
1,1,1,0
0,1,0,0
1,0,0,0
1,0,0,0
1,2,0,0
1,2,0,0
1,0,0,1
0,1,2,0
0,1,1,2
0,1,0,0
2,2,0,0
1,1,0,0
1,0,0,1
0,1,0,2
0,2,0,0
1,1,0,0
0,0,0,1
0,6,0,0
0,1,0,1
2,0,0,0
1,1,0,0
0,0,1,0
1,0,0,0
0,2,0,1
0,2,0,0
2,0,1,2
2,0,0,0
0,1,0,1
0,0,0,0
0,0,0,0
0,0,2,0
2,3,0,0
0,0,0,1
5,0,0,1
2,0,0,0
0,1,1,0
0,0,0,1
2,1,0,0
0,1,0,0
1,1,0,0
1,1,0,1
1,3,0,0
0,0,3,1
0,0,1,0
0,0,0,0
0,0,0,0
2,1,1,1
1,3,2,0
1,1,0,1
1,0,1,0
0,0,1,1
0,0,2,0
0,1,0,1
1,0,1,0
1,1,1,1
0,0,0,0
0,0,0,0
1,1,0,0
1,1,0,0
1,0,0,0
0,0,1,0
1,0,0,0
2,1,0,0
1,1,0,0
1,3,0,1
0,1,1,2
0,3,0,1
1,1,0,0
1,2,1,0
0,0,1,1
1,1,0,1
0,1,0,0
2,2,1,1
1,0,0,0
0,0,2,0
1,2,0,2
1,2,0,0
0,0,0,1
1,4,1,0
0,1,0,2
0,0,0,0
1,1,0,0
0,0,1,0
0,1,0,1
1,1,0,0
2,2,0,2
1,1,1,2
4,1,0,0
2,0,0,1
1,1,0,0
3,0,0,1
0,1,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,1,1,0
2,1,0,0
1,2,0,0
1,0,0,0
0,0,0,0
2,0,0,0
0,0,2,0
2,1,0,0
2,1,0,1
1,0,0,1
2,0,0,0
2,1,0,0
2,1,0,0
2,0,0,1
1,1,1,0
0,0,0,0
0,0,0,1
0,1,0,1
1,2,0,0
0,1,0,0
2,1,0,0
0,3,0,0
2,0,0,0
0,0,1,1
1,1,0,1
0,1,0,1
0,0,1,2
1,1,1,0
0,1,0,1
0,1,0,0
3,2,0,1
1,0,0,2
3,0,0,2
0,0,0,0
0,0,0,3
1,0,0,0
1,0,0,0
0,0,0,1
0,1,0,0
0,0,0,1
0,1,0,1
1,0,0,0
3,2,0,0
2,1,0,0
2,1,0,4
0,2,0,0
2,0,0,0
0,1,0,0
1,1,1,1
2,0,0,0
1,0,0,1
0,2,0,0
4,0,0,1
1,1,0,0
2,0,0,2
0,0,0,0
2,0,0,0
2,0,1,0
0,2,1,2
0,2,0,2
0,1,1,1
0,1,0,0
0,1,0,0
3,0,1,0
1,0,0,1
2,2,0,0
0,0,0,0
1,0,1,1
0,0,0,0
1,1,0,0
1,1,1,0
2,0,0,2
0,3,0,0
0,0,0,1
0,2,0,1
2,1,0,0
1,1,0,0
0,0,1,0
0,0,0,1
0,1,0,0
1,0,0,0
2,1,0,0
1,2,0,0
1,2,0,1
4,1,0,1
0,2,0,0
2,2,0,1
1,1,0,1
0,0,0,1
2,0,0,0
1,0,0,1
3,0,1,0
0,0,0,0
0,0,0,0
1,2,1,1
0,0,0,0
1,2,1,0
2,1,0,0
1,0,1,0
1,2,0,0
0,2,0,0
1,1,2,0
0,0,0,2
0,0,1,0
1,1,0,0
1,1,1,0
1,3,1,2
2,0,0,0
2,3,0,0
1,0,2,0
1,2,0,1
1,1,0,0
3,1,0,0
1,0,0,0
0,2,0,0
0,0,0,2
0,0,1,0
0,0,0,0
1,1,0,0
0,1,1,1
0,0,1,0
1,1,0,1
1,1,0,1
1,4,0,0
0,0,1,0
0,1,0,1
2,2,2,0
0,0,0,1
1,2,0,0
2,1,0,0
1,3,0,0
1,2,0,0
2,1,0,1
1,3,0,1
0,1,0,0
0,1,0,0
2,2,0,1
2,2,0,0
1,0,2,1
2,0,0,0
0,0,0,2
1,1,0,0
4,1,1,0
2,0,0,0
0,0,0,1
2,1,0,0
2,1,0,0
1,2,0,0
1,0,0,1
1,0,0,1
0,1,0,1
0,2,0,1
3,1,1,0
1,1,1,0
2,0,0,1
2,1,0,1
1,2,0,0
0,1,1,0
0,1,1,0
0,1,0,0
1,2,0,0
0,0,0,0
1,1,2,0
3,0,1,0
1,1,1,0
3,0,0,0
0,3,0,1
0,0,0,1
0,1,1,1
1,0,1,0
2,0,0,0
2,0,0,0
0,2,0,1
0,1,0,0
2,2,0,1
2,1,0,0
0,0,0,0
0,1,0,0
1,3,0,0
3,1,0,0
2,1,1,0
0,1,0,0
0,2,0,0
0,1,0,1
2,2,2,0
0,0,0,0
0,1,0,1
3,0,0,2
0,1,1,0
1,0,1,1
1,1,0,0
1,1,0,1
1,1,0,1
1,1,1,0
2,2,0,0
0,0,1,1
0,1,0,0
1,1,0,0
0,1,1,0
0,2,1,1
0,1,0,0
0,0,0,0
0,0,0,0
2,0,0,0
3,1,0,0
1,0,0,0
0,0,0,2
0,1,0,0
1,0,0,0
1,0,0,2
0,2,0,0
1,0,0,0
1,2,0,0
1,2,0,1
3,1,0,0
0,0,0,2
0,2,0,1
1,1,2,0
1,3,0,0
1,2,0,0
0,2,0,0
0,0,1,1
1,0,0,0
2,0,0,1
1,1,0,0
0,1,0,0
2,1,0,0
1,1,0,0
1,0,0,1
1,0,0,2
1,0,1,0
1,1,0,0
1,1,1,0
1,1,0,1
0,0,0,0
2,0,0,0
1,1,0,0
0,2,2,2
1,0,0,0
1,1,0,0
2,1,2,0
0,1,1,1
0,0,1,0
0,1,0,0
2,1,1,0
1,1,0,0
1,0,0,0
0,0,0,0
1,1,0,0
0,0,0,1
1,1,0,0
0,1,1,0
0,2,0,0
3,0,0,0
3,0,0,0
0,1,0,0
2,1,0,0
2,0,0,0
0,1,0,0
1,3,1,0
1,0,1,0
3,1,0,3
6,3,0,1
2,0,0,0
0,0,0,0
1,0,0,0
0,1,1,0
1,0,0,0
0,1,0,1
0,0,0,0
3,0,2,1
0,1,1,0
1,2,0,0
1,1,1,0
0,0,1,0
0,1,0,4
0,1,1,1
2,1,0,2
0,1,0,0
1,0,0,0
1,1,0,0
2,0,0,0
3,0,1,2
0,2,1,0
1,0,1,2
2,0,0,0
1,0,0,0
0,0,1,0
1,0,0,2
2,0,0,0
0,2,0,0
0,1,0,0
0,0,0,1
1,2,1,1
2,2,0,1
1,1,0,0
1,0,2,0
1,3,0,0
2,2,1,0
2,0,0,0
1,1,0,1
1,0,0,0
1,0,0,0
2,2,0,1
1,0,0,0
0,1,0,3
0,1,1,1
2,0,0,0
1,1,1,0
1,0,0,1
0,0,0,0
1,0,0,0
0,2,0,0
1,2,1,1
1,0,0,1
1,0,0,0
0,2,1,0
2,2,1,0
1,1,0,0
1,1,1,1
1,0,0,1
1,0,0,1
0,0,0,0
0,0,0,1
1,0,0,0
2,0,1,0
0,0,0,1
2,3,0,1
0,2,0,0
1,0,1,0
1,0,0,0
1,3,0,1
0,0,0,2
1,1,0,1
1,1,1,1
0,2,0,0
0,1,1,0
1,0,0,0
0,0,0,0
0,1,0,2
0,1,0,1
4,3,0,0
2,1,0,1
0,0,0,0
1,1,0,0
0,0,0,0
1,0,0,0
0,2,0,0
2,0,0,0
0,0,0,0
1,0,1,0
0,0,0,1
2,0,1,0
0,0,0,0
1,0,0,0
0,0,0,1
2,0,0,0
0,0,0,0
1,0,0,0
1,0,1,0
1,1,1,0
1,0,0,0
1,0,0,0
1,0,0,1
2,0,0,0
2,0,0,0
1,1,0,0
2,0,0,1
0,0,0,0
0,0,1,1
1,0,1,1
2,0,1,0
1,1,0,0
0,0,0,0
1,0,0,0
0,0,0,0
3,0,0,0
0,1,0,0
0,0,0,0
1,1,0,0
1,0,0,2
2,0,1,0
1,0,2,0
2,1,1,0
2,0,0,0
2,0,0,0
0,0,0,0
3,0,0,0
1,0,2,0
6,1,0,0
3,1,1,0
6,2,0,0
2,1,1,0
6,5,2,1
6,8,3,2
10,9,2,1
21,11,7,4
30,12,12,9
44,20,14,5
58,29,18,15
114,39,34,27
133,68,40,50
180,115,78,92
319,159,106,86
387,198,165,177
487,226,258,222
548,247,360,226
629,226,472,210
593,176,489,191
604,191,493,175
592,141,427,182
511,133,301,159
536,129,298,162
538,154,258,182
555,129,214,171
527,121,221,182
515,122,224,142
504,130,185,172
523,113,218,171
499,147,175,153
500,126,162,161
542,135,163,191
563,118,171,156
526,134,170,167
517,124,166,151
495,150,160,152
472,129,160,171
534,145,157,174
462,132,158,166
499,130,152,159
479,146,162,166
493,135,170,165
496,187,180,158
466,157,154,159
518,225,158,163
533,213,171,173
525,281,153,177
460,292,167,153
518,303,157,162
498,333,195,158
485,357,162,170
518,368,166,172
476,349,175,176
496,335,179,183
511,351,165,181
500,339,192,169
547,374,174,171
509,316,167,166
478,344,192,153
532,326,172,165
472,329,175,151
520,344,190,163
525,367,196,172
507,348,185,181
529,346,182,174
471,363,176,165
516,362,169,166
495,345,183,168
521,346,179,168
498,373,172,210
526,344,154,175
543,341,184,167
483,340,156,165
522,328,174,177
511,345,181,179
542,330,171,157
508,363,211,156
519,317,175,178
509,317,179,176
486,346,145,179
470,330,167,158
482,341,176,174
518,358,182,184
509,363,179,162
482,328,167,172
498,345,160,165
471,348,189,200
522,351,189,148
484,321,173,168
508,363,183,172
466,371,177,180
502,350,185,159
445,354,186,174
467,334,174,174
494,339,192,159
520,350,198,159
492,303,170,188
536,354,188,187
484,359,149,169
500,340,170,166
487,347,202,162
536,313,194,176
473,331,174,170
563,334,174,158
468,337,169,170
447,330,190,171
475,338,185,186
516,341,170,223
516,329,196,170
503,357,158,161
437,324,177,173
496,338,170,187
469,347,180,191
479,353,169,153
510,358,145,175
528,333,211,169
493,345,182,151
495,375,180,185
470,345,174,178
483,339,155,152
491,363,168,161
501,332,164,175
479,311,154,174
497,320,153,156
458,326,159,182
494,335,160,184
512,359,165,193
511,355,179,182
470,371,160,187
470,352,207,174
480,334,178,172
529,361,165,190
467,318,166,184
469,370,165,197
517,336,157,192
487,325,172,194
459,341,148,159
499,349,209,184
505,336,152,181
521,322,179,179
486,359,177,180
518,350,148,160
504,310,194,181
504,344,168,201
509,349,178,165
494,306,184,172
488,344,182,160
501,354,176,180
530,340,132,175
520,328,180,180
489,351,170,169
501,330,175,202
473,340,153,170
518,330,176,152
479,325,176,191
514,356,148,169
481,336,168,148
487,358,155,174
500,322,184,171
452,324,202,184
482,324,156,160
546,324,171,164
517,364,166,173
489,362,175,185
474,323,173,171
439,339,199,177
459,359,160,167
495,314,194,162
467,348,155,144
484,362,176,192
501,316,164,183
510,338,153,160
507,343,175,161
467,318,139,174
461,345,190,168
434,329,171,200
535,320,166,188
474,332,175,174
521,322,157,174
483,321,172,197
488,347,161,181
486,345,183,176
479,348,159,192
491,332,172,174
502,331,167,162
465,335,163,159
477,317,158,165
453,339,175,180
480,304,169,203
472,324,151,178
502,341,167,191
514,349,162,188
497,340,167,154
488,305,155,170
491,363,148,188
522,378,152,154
478,331,162,178
499,333,174,168
427,318,173,180
474,326,156,158
510,331,155,148
488,333,154,191
514,363,164,174
446,315,159,152
447,339,161,176
472,337,164,172
495,332,156,187
470,337,153,168
517,335,167,179
490,330,155,166
466,315,176,187
473,301,183,171
470,340,152,182
512,342,187,189
467,337,166,188
456,314,180,154
464,330,172,182
467,354,171,172
472,336,152,186
480,333,159,170
462,343,194,207
467,330,164,189
453,325,166,172
552,357,145,178
451,346,158,154
459,343,150,188
483,343,181,187
494,349,183,156
476,328,161,169
477,303,169,165
508,336,176,177
460,334,161,185
488,334,154,175
461,308,139,162
501,350,180,169
505,344,157,152
484,371,145,191
503,370,190,169
451,322,173,144
466,385,153,168
480,339,169,195
482,354,142,168
477,374,165,173
475,348,158,168
458,359,177,173
450,324,169,157
465,320,157,189
466,311,161,189
497,321,158,169
522,333,151,173
463,327,173,188
456,314,165,184
480,309,154,168
496,320,154,158
507,316,158,190
