BEAMS
HeaderRows:8,BinSize:0.3906250000000001,RunNumber:25468,Title:CoTa2O6 60K wTF=30G (for consistency),Lab:TRIUMF,Area:M20D,Temperature:59.269(0.002)K,Field:-0.324G,BeginTime:1601431312,EndTime:1601432193,ElapsedSecs:881,Method:TD-,Apparatus:LAMPF,Insert:bfud.391,Sample:CoTa2O6,Orientation:N/A,Das:MIDAS,NumHists:4,NumBins:26368,Experimenters:BYU, GDM
Back,Forw,Down,Up
150,150,150,150
600,600,600,600
683,683,683,683
25600,25600,25600,25600
640,640,640,640
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,6,0,0
19,15,0,9
11,0,12,6
0,1,0,0
0,0,0,0
1,0,0,0
0,1,0,1
0,1,0,0
0,0,0,0
0,1,0,0
0,0,0,0
0,2,0,0
0,1,1,0
1,0,0,0
1,1,0,0
2,1,0,0
1,0,0,1
0,0,0,1
0,0,0,0
0,0,0,0
0,1,0,2
2,0,0,0
0,0,0,0
1,1,1,1
1,0,0,1
0,1,1,0
1,0,0,0
0,0,0,0
0,0,1,1
0,1,0,0
0,0,0,0
0,0,0,1
0,0,0,1
0,0,0,0
1,0,1,0
1,1,0,0
0,0,0,0
1,1,0,0
1,0,0,0
0,1,1,0
1,0,0,0
1,0,0,0
1,1,0,0
0,0,0,0
1,0,0,0
1,1,0,0
0,1,0,0
0,0,0,2
0,1,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,1
1,0,0,0
1,0,0,0
0,0,0,0
0,1,0,1
2,0,0,0
1,0,0,0
0,0,0,0
0,0,0,1
0,0,0,0
2,0,0,0
1,1,0,0
0,0,0,0
1,1,0,0
1,0,0,0
0,2,0,0
0,0,0,1
1,1,0,0
0,0,1,0
0,0,0,0
0,1,0,0
0,0,0,0
2,0,0,0
0,0,0,1
2,2,0,1
2,2,0,0
0,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,3,0,1
0,1,0,0
1,0,0,0
2,1,0,0
0,1,0,0
0,1,0,0
3,2,0,0
0,1,1,0
3,0,0,0
0,0,0,0
0,1,0,0
1,0,0,0
0,1,0,0
0,0,0,0
0,0,1,0
1,0,0,1
1,0,0,0
2,0,0,2
0,0,0,0
0,1,0,1
0,0,0,1
0,0,0,0
0,3,0,0
2,0,0,0
0,0,0,1
1,4,0,0
0,1,0,1
0,0,0,1
1,0,0,0
2,0,0,0
2,0,0,0
0,1,1,1
0,0,0,0
0,1,0,1
0,0,0,0
0,0,0,0
3,1,1,1
0,1,0,0
0,2,0,0
2,0,0,0
1,0,0,0
0,0,0,0
1,0,0,0
2,0,0,0
0,0,0,0
0,1,0,0
2,1,1,2
0,0,0,0
0,0,0,0
1,1,0,0
0,1,0,1
0,0,1,0
0,0,0,0
1,1,0,0
0,1,0,0
2,1,0,0
1,0,0,1
1,1,0,0
1,1,0,0
1,0,0,0
1,1,0,0
1,0,0,0
0,0,0,0
0,0,0,0
4,1,0,0
0,1,0,0
1,0,0,0
0,1,0,0
0,0,0,0
0,0,0,0
1,1,0,0
1,0,0,1
0,0,0,0
1,0,0,0
1,0,0,0
0,0,0,0
0,2,0,0
0,0,1,0
0,0,0,1
1,1,1,1
1,0,0,0
1,0,0,0
0,0,0,0
0,1,0,0
1,1,0,0
0,1,0,0
1,0,1,0
0,0,0,0
1,1,0,0
1,0,0,0
0,1,0,1
1,0,1,0
0,3,0,0
0,0,0,0
0,1,0,1
0,1,0,0
1,0,0,0
2,0,0,0
0,1,0,1
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,1
2,1,1,0
1,0,0,0
2,0,0,0
1,0,0,1
0,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
0,3,0,2
0,2,0,0
0,0,0,0
0,0,0,0
1,0,1,0
1,1,0,0
1,1,0,0
0,0,0,0
1,1,0,0
0,0,0,0
1,1,1,0
0,1,1,2
0,0,0,0
0,0,0,0
0,1,0,0
1,0,0,0
0,1,0,0
1,2,0,1
0,0,0,1
0,1,0,0
1,0,0,0
1,0,0,0
2,0,1,0
0,0,0,0
0,1,0,0
0,0,0,0
1,1,0,0
0,0,0,0
0,1,0,0
1,1,0,1
0,0,0,0
1,0,0,1
2,0,0,1
1,3,0,0
1,0,0,1
0,1,0,0
0,0,0,0
1,2,0,0
0,0,0,0
0,0,0,0
1,0,0,0
2,1,0,1
0,0,0,0
2,0,0,1
0,0,0,0
1,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
0,1,0,0
1,0,0,0
0,1,0,0
0,1,0,0
0,1,1,0
0,1,1,0
0,0,1,0
0,0,0,0
2,1,1,0
0,2,0,0
1,2,0,0
1,0,0,0
2,2,1,1
0,0,0,0
0,1,1,0
0,0,0,0
1,0,0,0
0,1,0,1
1,1,1,0
1,1,0,0
0,1,1,0
0,0,0,1
0,2,1,0
1,0,0,0
1,2,0,1
1,1,0,0
1,0,1,0
0,1,0,0
2,0,0,0
0,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
1,1,1,0
0,0,0,0
1,0,0,2
0,1,0,0
1,0,0,1
1,1,0,0
0,0,0,1
1,1,0,1
1,0,0,0
0,0,0,0
0,0,0,0
0,0,1,1
1,0,1,0
2,1,0,0
0,0,0,0
2,1,0,1
0,1,0,0
0,1,1,0
0,1,1,0
0,0,0,0
0,0,0,0
0,2,0,0
0,1,0,1
2,0,0,0
1,1,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,1,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,1,0,0
1,0,0,0
0,1,1,0
0,0,1,1
1,0,0,0
0,0,0,3
0,0,0,0
0,0,0,1
0,0,0,0
1,0,0,0
1,0,0,0
0,1,0,0
0,2,2,0
0,1,0,0
0,1,0,1
0,1,0,0
1,0,0,0
0,0,1,0
1,0,0,0
2,0,0,0
1,0,0,0
1,0,1,0
0,1,0,0
1,1,0,0
0,1,0,0
1,0,0,2
0,0,0,1
0,0,0,0
2,0,0,0
2,0,0,0
0,1,0,0
0,2,0,0
0,1,0,0
0,0,0,0
0,0,0,0
0,1,0,0
1,0,0,1
1,0,0,0
1,0,0,2
0,1,1,0
0,1,0,2
1,0,0,1
0,0,0,0
0,1,0,0
1,1,0,2
2,0,0,0
1,0,1,1
1,0,1,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
0,0,0,1
0,0,0,0
1,0,0,0
1,0,0,0
2,1,0,0
0,0,0,0
1,0,0,1
0,0,1,0
3,0,0,0
0,0,0,0
2,0,0,0
0,1,0,0
1,0,0,0
0,0,0,0
0,0,0,0
2,0,0,0
1,1,0,1
1,0,0,0
0,1,1,1
0,0,0,0
0,0,0,1
0,0,0,0
2,0,1,0
1,1,0,0
1,0,0,0
0,0,0,0
0,1,0,0
1,0,0,1
0,1,0,0
0,0,0,1
1,0,0,0
0,1,0,0
1,0,0,2
1,2,0,0
1,0,0,0
1,2,0,0
0,2,1,0
0,2,0,0
1,0,0,0
2,1,0,0
0,0,1,0
1,0,0,0
0,1,0,0
0,0,0,0
2,0,0,0
1,0,0,0
1,1,0,0
0,0,0,1
1,1,0,0
1,0,0,0
0,0,0,1
0,0,0,1
1,0,0,0
0,2,0,1
1,0,0,0
1,0,0,0
0,1,0,0
0,0,2,0
0,1,0,1
0,0,0,0
2,1,1,1
0,1,0,1
0,2,0,0
0,0,0,0
1,1,0,0
0,0,0,0
1,2,0,0
0,1,0,1
0,0,0,0
0,0,0,1
2,0,0,0
0,0,0,0
0,1,0,0
1,0,1,1
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,1
0,0,0,0
0,1,0,1
0,0,0,0
0,1,0,1
0,0,0,0
0,0,0,0
0,1,0,0
0,0,1,0
1,0,0,0
0,0,0,0
1,1,0,1
0,1,0,0
0,0,0,0
1,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,1
0,0,2,0
0,0,0,0
2,0,0,0
0,2,0,0
0,1,0,0
0,0,1,1
1,0,0,0
1,0,0,0
1,0,0,0
1,3,0,0
0,0,0,0
0,3,0,0
1,0,0,0
0,0,0,1
1,0,0,0
0,2,1,0
0,0,0,1
0,0,0,0
0,1,1,0
0,1,0,0
0,0,0,0
0,2,0,0
0,0,0,0
0,0,0,0
2,0,0,0
0,0,1,1
0,0,0,1
1,0,1,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,0
0,0,1,0
0,0,0,1
0,0,1,0
0,0,0,0
1,0,0,0
1,0,0,0
0,1,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,1,1
0,0,0,0
2,0,0,0
1,0,0,0
0,0,1,1
1,0,0,0
0,0,0,0
1,1,0,0
1,0,0,0
1,0,0,0
0,1,0,0
1,0,0,0
0,0,0,0
2,0,0,2
0,0,0,0
1,2,0,0
0,0,0,0
0,0,0,0
1,1,0,0
1,0,0,1
1,0,0,0
2,2,1,1
2,2,1,0
1,1,1,0
0,0,2,1
1,1,0,1
5,2,3,1
6,3,0,3
6,5,2,2
14,5,3,2
19,6,1,2
19,8,7,8
43,21,10,9
53,26,24,19
77,57,33,29
128,66,69,57
188,105,87,77
254,117,125,85
285,145,190,131
367,158,243,126
368,141,337,135
408,113,302,118
403,116,329,107
406,81,246,116
373,87,215,107
369,77,182,96
348,90,200,97
359,82,175,104
322,76,137,104
305,85,128,117
321,72,140,98
317,91,104,119
335,89,122,112
307,81,103,89
312,66,109,97
293,88,89,95
347,81,114,114
323,89,116,91
320,96,96,119
353,91,105,94
311,94,103,95
330,93,99,119
314,90,109,99
338,102,119,111
342,77,111,107
337,112,107,86
328,122,96,110
299,118,96,100
328,150,84,88
324,154,117,111
342,203,113,105
319,185,139,121
356,191,101,102
301,229,121,117
329,191,111,116
323,232,116,106
319,201,94,104
304,216,114,134
341,233,99,117
338,224,87,97
306,191,110,106
348,227,109,107
309,211,98,119
316,227,120,121
351,235,101,112
324,219,123,117
322,219,111,118
356,245,124,103
297,233,99,100
363,216,107,99
345,234,117,109
358,207,102,100
310,195,127,132
343,205,119,114
302,189,108,108
304,193,113,123
288,202,109,106
312,214,104,97
324,199,100,113
311,196,115,112
306,210,118,115
286,202,124,108
311,210,113,102
296,215,111,113
317,192,126,110
310,198,109,122
270,214,127,93
298,202,128,105
318,234,105,121
288,227,102,134
305,221,115,109
302,229,102,114
326,233,137,117
275,188,115,119
281,208,89,116
317,221,99,130
299,219,118,119
305,249,104,119
304,207,127,107
301,201,119,110
310,196,119,103
305,218,100,111
283,218,99,110
282,205,109,112
316,217,117,84
316,239,104,95
338,239,99,125
355,247,120,103
323,202,95,93
334,181,125,115
335,216,105,110
309,210,106,109
329,221,129,137
278,214,142,106
326,241,113,115
313,219,89,107
312,222,108,117
305,242,105,120
329,243,114,99
311,233,112,98
323,219,114,108
301,241,111,101
323,233,126,104
303,223,120,105
316,219,96,107
283,216,104,118
314,207,110,104
326,237,114,95
318,205,114,109
307,230,97,99
322,215,99,127
312,227,111,110
295,229,110,118
339,209,113,77
309,218,90,111
326,242,118,97
326,216,102,106
304,211,104,151
318,196,97,117
307,176,123,116
298,206,112,100
303,216,104,112
290,211,107,110
301,226,96,107
302,192,104,100
298,204,99,107
321,205,98,93
303,233,99,116
326,239,93,98
315,203,102,101
313,193,117,103
296,195,114,88
334,219,120,101
307,222,96,108
304,208,92,104
318,220,106,120
297,214,90,110
336,182,122,94
302,204,107,115
315,209,115,122
316,199,121,104
297,216,111,102
285,210,107,109
291,199,108,96
320,200,112,105
329,203,110,110
319,230,91,104
289,216,108,115
311,215,96,118
320,222,88,90
341,236,103,122
323,208,130,114
335,216,102,116
322,223,118,122
348,189,115,98
314,224,105,116
315,222,121,123
346,230,94,119
312,215,115,116
319,201,101,123
339,227,98,108
287,190,110,134
293,203,103,105
324,222,126,100
294,207,120,108
292,223,109,81
281,226,119,99
315,243,114,101
299,223,105,121
301,225,118,108
301,201,107,116
327,189,103,115
302,221,103,118
321,217,111,99
312,213,116,93
339,192,104,108
307,215,107,114
302,197,112,105
287,214,100,107
301,208,109,115
319,222,113,97
353,217,102,111
370,223,110,113
290,226,113,112
333,182,106,107
282,189,104,102
326,182,94,107
312,210,101,115
301,236,127,100
318,232,98,107
307,200,99,130
326,218,93,104
286,207,95,113
328,217,108,87
269,213,124,111
320,214,111,107
335,225,86,98
305,210,104,116
279,219,114,119
326,206,97,126
310,217,108,118
308,227,101,132
317,234,119,111
304,218,87,121
301,228,84,112
297,232,101,120
316,219,102,107
320,222,102,117
326,209,106,121
295,206,109,124
316,226,100,113
334,210,102,99
300,200,98,110
277,220,115,115
316,203,105,117
319,221,93,104
306,211,113,108
297,254,115,127
323,208,100,90
289,217,117,130
338,194,73,103
299,215,111,98
294,216,105,131
280,179,124,104
285,238,100,114
303,221,86,107
296,209,113,108
326,179,111,94
313,215,97,110
300,197,100,110
304,229,97,112
308,193,113,85
308,194,99,90
303,193,111,97
296,230,89,107
316,202,125,95
296,188,101,112
