BEAMS
HeaderRows:8,BinSize:0.3906250000000001,RunNumber:25478,Title:CoTa2O6 wTF=30 T=7.321(0.014)K,Lab:TRIUMF,Area:M20D,Temperature:7.321(0.014)K,Field:-0.263G,BeginTime:1601457970,EndTime:1601459216,ElapsedSecs:1246,Method:TD-,Apparatus:LAMPF,Insert:bfud.391,Sample:CoTa2O6,Orientation:N/A,Das:MIDAS,NumHists:4,NumBins:26368,Experimenters:BYU
Back,Forw,Down,Up
150,150,150,150
600,600,600,600
683,683,683,683
25600,25600,25600,25600
640,640,640,640
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,6,0,0
31,22,1,7
13,1,6,4
1,2,0,1
1,0,0,1
0,3,0,1
1,0,0,0
1,0,0,0
0,0,1,0
1,0,0,1
2,0,0,0
0,1,0,1
1,0,0,0
0,0,1,2
0,0,0,0
0,1,0,0
0,0,0,1
0,0,1,0
0,2,0,2
1,1,0,0
2,0,1,0
0,1,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
1,1,0,0
2,0,0,0
2,1,0,0
0,0,0,0
0,1,0,0
0,0,0,0
1,0,0,1
0,0,0,1
4,0,0,0
0,1,1,1
1,0,0,2
2,0,1,0
0,0,0,0
0,0,0,0
1,1,0,1
2,0,0,0
1,0,1,1
1,0,0,0
0,1,0,0
0,0,0,0
3,2,0,0
0,1,0,0
0,0,0,1
0,0,0,2
2,0,0,0
2,1,0,0
0,0,0,0
2,0,0,0
0,0,0,1
1,0,0,0
0,0,2,0
1,1,0,1
2,1,0,0
1,0,0,1
0,1,0,0
1,0,0,0
1,0,0,0
2,0,0,0
2,2,1,0
0,1,0,0
2,0,0,0
0,2,0,0
0,3,0,0
0,1,1,0
2,0,2,0
0,1,0,0
0,2,1,1
0,1,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
0,0,0,0
0,0,0,0
1,0,0,0
1,1,0,0
0,1,0,0
2,0,0,0
1,1,1,0
1,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
2,1,0,0
1,0,0,0
0,1,0,2
1,1,0,0
1,1,1,0
2,0,1,0
2,0,0,0
1,1,0,1
1,1,0,0
2,1,0,1
0,2,0,0
1,1,0,0
1,0,0,2
1,1,1,0
1,0,0,1
0,0,0,0
1,0,0,0
0,2,1,0
2,1,0,0
0,0,0,0
0,0,0,0
0,1,1,0
0,0,0,0
1,1,1,0
0,1,0,0
0,1,0,0
4,2,1,1
0,0,0,1
1,0,0,0
3,0,1,0
0,0,0,2
0,1,0,1
0,2,0,0
1,0,1,0
2,0,0,0
1,2,0,2
0,0,0,0
0,1,0,0
0,0,0,0
0,1,0,0
2,0,0,0
0,0,0,0
2,3,0,0
2,1,0,0
1,1,0,1
0,0,0,0
0,0,0,1
1,1,0,1
1,0,1,0
0,0,1,0
2,1,0,0
1,3,0,0
1,1,0,1
1,1,0,0
1,1,0,0
0,0,0,0
0,0,0,1
1,2,0,1
2,0,1,0
0,1,0,0
1,1,0,2
1,1,2,0
1,0,0,0
0,0,1,1
1,0,0,0
1,1,0,0
0,1,0,0
0,1,1,1
1,1,1,0
1,2,0,0
0,1,0,0
0,2,0,0
1,0,0,1
1,0,0,0
1,3,0,0
0,0,0,0
1,3,1,0
1,0,0,0
1,0,1,0
1,0,0,0
3,1,0,0
0,0,0,0
0,1,0,0
0,0,0,0
0,1,1,1
2,0,0,1
0,1,0,0
0,1,0,1
1,0,0,0
1,1,0,0
0,3,1,0
0,0,0,0
0,0,0,0
1,0,2,0
0,0,0,1
1,0,0,0
2,0,0,1
0,0,0,1
0,0,1,0
0,0,0,1
1,0,0,0
2,0,0,0
0,1,0,0
0,0,2,1
0,1,0,0
0,0,1,3
1,0,0,0
0,0,0,1
2,0,0,1
0,1,1,0
2,1,0,0
0,2,0,0
2,0,0,0
0,1,2,0
1,0,0,0
0,0,0,0
2,3,0,0
0,1,1,0
0,1,0,0
0,0,0,1
1,0,0,0
1,0,0,0
0,1,0,0
0,0,0,0
3,1,0,1
0,0,1,0
2,0,1,1
0,0,0,2
0,0,0,0
0,2,0,0
1,0,0,1
2,0,0,1
0,1,0,0
0,1,0,0
1,1,0,0
0,1,0,0
1,0,1,0
1,1,0,0
1,0,0,0
0,0,3,1
1,1,0,1
3,1,1,0
1,0,0,0
0,0,0,0
1,0,0,1
1,0,0,1
1,2,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,1,0,0
0,0,0,1
1,0,0,1
0,0,0,0
2,0,0,0
1,1,0,0
0,0,0,2
0,0,0,0
1,0,0,0
0,0,0,0
0,1,0,0
0,1,0,0
1,0,1,0
3,1,0,0
1,0,1,1
0,1,0,0
1,1,0,0
0,2,0,0
1,0,0,0
0,0,0,0
0,0,0,0
2,0,0,1
0,0,0,0
0,0,0,1
0,2,0,0
0,0,0,1
0,1,0,0
0,0,1,0
1,0,0,1
1,2,0,0
0,1,0,0
0,0,1,1
0,1,0,0
1,1,0,1
0,0,1,0
0,1,0,0
0,2,0,0
0,1,0,0
1,0,1,2
3,0,0,0
2,0,0,0
1,1,0,0
0,0,0,0
0,2,0,0
1,0,0,0
1,0,0,0
0,0,0,0
1,0,0,0
2,0,0,0
1,1,0,0
0,0,0,0
1,1,0,0
1,0,1,0
1,0,1,0
0,0,0,0
1,0,0,0
1,0,0,0
0,2,1,0
0,2,0,0
1,1,1,0
1,0,0,0
1,0,0,1
0,0,0,0
0,0,2,0
0,0,0,0
0,1,0,0
1,1,0,1
0,0,0,1
0,0,0,2
1,2,1,0
1,1,0,0
1,2,0,0
0,0,0,0
0,0,0,1
1,0,0,0
0,0,0,0
1,2,1,0
0,1,1,1
2,0,0,1
0,2,0,1
1,1,0,0
0,0,0,1
1,0,0,1
1,0,0,0
2,0,0,0
1,0,0,0
0,0,1,0
2,0,1,0
0,1,0,0
0,2,0,0
1,0,0,0
1,0,0,0
1,2,0,0
1,0,0,0
1,0,0,0
1,2,0,0
1,0,0,2
1,1,0,0
1,1,0,0
3,0,0,0
0,1,1,0
0,1,2,1
0,3,0,0
0,0,0,0
1,1,0,0
0,0,0,1
3,0,0,1
0,0,0,1
2,0,0,1
0,0,0,0
0,1,0,0
1,1,0,0
0,0,0,0
1,0,0,1
0,0,0,1
0,1,1,0
0,0,0,0
1,1,1,0
0,0,1,0
1,0,0,0
0,0,0,1
0,0,0,1
0,0,1,0
0,0,1,1
1,0,0,1
1,1,0,0
0,0,0,0
0,2,0,1
3,3,0,0
2,0,0,0
0,0,0,0
0,1,1,0
1,0,0,1
2,0,0,1
0,0,0,1
1,0,0,0
0,0,0,1
1,0,0,0
1,2,0,0
1,0,1,0
1,0,0,3
0,0,0,0
0,0,0,0
1,1,0,1
0,0,0,0
0,0,0,0
0,0,0,0
1,1,0,1
0,1,0,0
0,0,0,0
0,0,0,0
2,1,0,0
1,2,0,0
1,0,0,0
0,0,1,0
1,0,1,0
1,0,0,0
0,0,0,0
2,0,1,1
2,1,0,0
5,0,0,0
2,0,0,0
1,1,0,0
0,2,0,1
0,1,0,2
1,0,0,0
0,0,0,0
2,3,1,0
0,2,0,0
1,0,0,0
3,1,0,0
1,0,0,0
0,0,0,0
1,1,0,0
2,0,1,0
0,0,0,0
0,1,0,0
0,2,0,2
0,1,1,0
0,1,1,0
0,1,0,0
1,0,0,1
0,1,0,1
1,0,0,0
0,1,0,0
1,0,0,0
1,1,0,1
1,0,0,0
1,0,0,1
0,2,0,1
1,1,0,1
0,0,0,1
0,1,0,0
2,1,0,0
0,1,0,0
2,0,0,0
0,0,0,1
0,1,0,0
1,2,0,0
1,0,0,1
1,0,0,1
0,1,0,0
1,0,1,2
2,0,0,0
1,0,0,0
0,0,0,0
0,1,0,0
0,0,0,0
1,0,0,0
0,1,0,0
3,0,0,0
0,1,0,0
1,1,1,0
0,0,0,0
0,1,0,0
0,0,0,1
0,1,0,0
0,0,0,0
1,0,0,0
0,0,0,1
1,0,0,0
1,0,0,1
1,0,1,1
1,2,0,1
2,1,0,0
1,0,0,0
1,0,0,0
2,1,0,0
0,1,0,0
0,0,0,0
0,1,0,0
0,1,1,0
0,0,0,0
2,1,0,2
1,0,0,0
0,1,0,0
1,0,1,0
2,2,0,0
2,0,0,0
1,0,0,0
1,0,0,0
1,1,0,0
1,0,1,1
0,0,0,1
0,1,0,0
0,1,0,0
0,1,0,0
2,1,0,1
1,1,0,1
1,0,0,0
0,1,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
2,0,0,0
0,0,0,2
2,0,0,0
0,1,0,0
1,0,0,0
0,1,0,0
1,1,0,1
1,0,0,0
1,1,0,0
0,1,0,1
0,0,0,1
0,2,0,0
1,0,2,1
1,0,1,0
3,1,0,0
2,0,0,1
2,0,0,0
0,0,0,1
1,0,0,1
0,2,1,0
0,0,0,0
1,0,0,0
2,0,1,0
3,0,1,0
1,1,0,0
0,0,0,2
0,1,1,0
1,2,0,0
2,0,1,0
5,1,0,0
3,2,3,1
7,1,3,0
14,8,1,1
12,4,3,3
21,4,7,4
20,14,11,9
45,26,12,8
65,34,20,21
111,72,27,48
141,81,62,43
217,90,94,85
326,142,160,119
370,180,221,140
474,171,301,144
404,161,336,156
477,135,387,136
466,119,373,109
433,125,327,114
435,97,271,134
407,104,226,138
428,89,207,121
386,86,188,118
399,107,158,143
410,107,142,139
421,80,131,122
403,98,133,126
383,94,143,130
418,102,127,144
395,117,115,118
378,92,135,110
397,96,108,121
362,100,136,128
388,91,108,133
373,82,106,126
389,115,111,125
334,105,121,146
347,105,153,134
383,111,101,113
375,117,123,118
352,116,133,124
369,135,129,125
366,154,137,135
392,191,122,115
361,186,123,143
357,224,123,120
354,244,111,118
365,252,147,112
371,249,126,134
339,255,138,118
403,252,132,109
344,276,155,130
391,291,133,132
364,265,125,111
379,256,165,142
377,266,135,114
379,303,135,142
374,262,130,111
421,301,140,118
404,262,146,116
364,273,134,113
367,247,117,130
397,278,137,118
364,301,152,131
356,255,131,136
381,278,133,132
365,268,124,132
388,242,141,148
374,239,133,133
392,286,144,134
368,267,130,154
356,274,141,135
366,299,113,124
369,288,145,125
340,276,134,131
363,245,148,150
333,266,142,111
359,277,130,141
356,285,125,127
363,271,132,128
371,301,127,127
374,283,140,119
345,267,142,142
417,309,141,145
337,260,138,129
341,259,113,111
335,283,133,123
375,278,130,106
312,304,109,135
330,300,138,135
339,278,132,129
343,274,137,143
366,316,117,150
356,272,132,125
370,280,121,131
350,273,121,115
333,275,133,123
372,285,133,141
371,283,135,146
355,296,138,124
367,257,126,136
349,276,124,113
327,274,112,108
338,279,137,121
353,271,127,115
332,264,124,114
361,262,134,129
313,282,141,136
333,265,111,124
344,303,115,130
363,285,132,128
340,257,119,133
348,297,133,113
379,298,143,121
339,279,139,121
373,319,127,133
371,289,102,151
341,275,122,131
295,284,119,135
305,260,125,119
327,309,117,140
315,322,108,137
320,302,114,139
332,292,124,139
338,305,129,117
311,267,122,139
338,303,128,115
307,306,122,124
326,290,146,132
344,289,115,125
355,294,116,150
326,319,110,130
342,270,114,132
339,275,124,144
356,281,119,127
316,278,130,150
280,307,129,113
319,273,124,144
316,301,114,136
321,288,104,141
308,304,149,123
338,289,143,139
335,289,124,109
323,286,127,113
332,262,143,123
348,314,116,133
326,289,124,128
316,307,118,125
329,280,122,153
357,271,116,123
337,280,119,137
337,312,126,126
332,291,125,135
313,315,121,134
328,277,130,141
315,287,108,124
307,331,115,139
349,302,143,163
357,303,139,129
345,344,130,121
333,313,123,135
340,292,150,117
323,306,135,125
317,283,127,117
325,279,119,146
329,304,110,123
358,299,129,128
338,306,120,134
297,297,123,122
321,299,127,136
305,288,124,136
354,276,133,132
328,299,127,118
320,314,141,143
354,296,133,122
301,282,106,146
316,309,134,138
308,292,123,123
342,268,133,127
319,295,124,133
338,305,131,138
323,302,139,120
332,269,124,125
338,288,122,118
340,319,121,132
338,296,123,146
327,317,122,109
317,333,108,133
301,275,126,132
320,309,129,129
307,305,113,144
342,307,144,124
312,298,118,140
329,295,109,114
277,291,132,141
310,325,127,138
354,325,135,147
298,309,129,119
299,304,125,129
335,309,111,144
306,302,114,143
329,317,120,142
328,313,141,133
332,323,121,134
293,323,127,139
333,279,120,151
319,302,125,121
325,295,127,122
302,313,132,139
348,287,135,138
322,320,114,143
322,306,107,135
315,304,121,138
322,303,133,123
305,298,133,116
337,300,121,116
310,280,135,104
310,303,132,124
328,295,122,127
322,311,126,112
304,301,127,111
294,277,138,119
340,271,136,120
324,300,132,138
310,326,132,145
331,317,135,121
320,296,133,136
331,269,121,123
312,329,127,124
287,312,124,118
281,332,124,122
281,302,125,118
323,298,138,105
312,278,110,150
312,305,131,125
329,321,128,95
348,293,108,117
312,282,114,141
324,296,150,115
301,318,112,138
312,321,113,135
321,299,109,124
330,298,113,112
292,341,135,114
315,290,137,110
285,312,128,149
329,312,127,150
304,299,125,111
289,313,111,130
325,311,122,125
299,311,135,145
283,322,113,113
