BEAMS
HeaderRows:8,BinSize:0.3906250000000001,RunNumber:25512,Title:CoTa2O6 ZF T=9.229(0.012)K,Lab:TRIUMF,Area:M20D,Temperature:9.229(0.012)K,Field:-0.007G,BeginTime:1601557325,EndTime:1601559591,ElapsedSecs:2266,Method:TD-,Apparatus:LAMPF,Insert:bfud.391,Sample:CoTa2O6,Orientation:N/A,Das:MIDAS,NumHists:4,NumBins:26368,Experimenters:BYU
Back,Forw,Down,Up
150,150,150,150
600,600,600,600
683,683,683,683
25600,25600,25600,25600
640,640,640,640
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,15,0,0
63,46,4,23
31,0,14,14
4,1,0,0
0,0,0,2
2,0,1,1
2,1,0,0
2,2,1,3
3,3,0,1
1,3,0,1
0,0,0,2
1,1,2,1
1,1,1,0
0,2,1,2
0,0,0,0
0,0,2,0
0,0,2,0
3,0,0,1
4,1,1,2
1,2,1,4
3,2,0,0
1,2,1,0
1,0,0,0
0,0,1,0
1,1,2,1
2,2,0,0
2,0,0,0
2,2,0,0
2,2,0,0
1,0,0,1
2,1,0,0
1,0,0,1
1,2,0,0
2,0,1,1
4,2,2,0
3,2,0,1
2,2,2,0
2,3,3,0
2,0,0,2
3,2,1,0
0,1,0,2
2,0,0,1
0,1,0,1
1,1,2,0
3,2,1,1
2,1,0,1
0,1,2,1
1,0,0,2
1,2,1,0
2,2,1,0
1,2,0,0
4,1,0,0
3,0,0,0
3,2,1,1
1,1,0,0
0,0,1,0
1,1,1,1
0,2,0,1
1,3,1,1
2,1,1,2
2,1,0,0
2,2,0,2
0,1,0,1
1,3,0,0
1,0,1,0
1,0,0,0
2,0,1,2
2,3,2,1
1,0,0,0
4,3,2,1
2,1,0,0
2,2,0,0
5,1,0,0
1,0,0,0
3,1,1,1
2,0,1,0
0,1,1,0
0,3,1,0
0,1,1,0
3,1,0,1
0,1,1,0
1,0,1,1
2,0,2,0
1,0,1,0
2,0,0,0
0,1,0,1
1,0,0,1
2,1,0,0
1,1,1,0
0,4,0,1
0,1,0,1
1,2,0,1
0,0,1,2
1,0,2,0
2,1,0,2
0,1,1,1
3,1,0,0
1,0,0,0
3,2,0,0
1,3,1,1
1,1,1,1
1,0,1,0
2,4,0,1
1,3,0,0
1,1,0,2
1,1,1,1
1,1,0,2
0,1,1,0
1,1,1,0
3,1,0,0
2,2,0,0
1,2,1,1
1,0,1,1
2,0,0,1
3,2,1,1
0,3,0,0
1,1,0,1
2,3,1,0
1,0,0,0
2,2,0,0
2,0,0,0
1,0,0,0
2,1,1,0
1,1,2,1
0,0,0,2
1,0,1,1
0,3,0,2
1,0,3,0
0,0,0,0
0,0,0,0
1,1,1,0
2,2,1,0
6,1,0,2
2,1,2,0
3,2,1,1
2,0,0,0
0,1,0,0
4,2,0,2
2,1,1,1
2,4,0,1
1,1,1,0
1,1,1,0
0,1,1,2
2,0,1,1
1,4,0,1
1,3,0,0
2,4,0,0
3,2,0,0
2,1,1,1
0,0,1,0
3,1,2,1
2,2,0,2
2,1,0,1
0,0,1,1
3,1,0,2
2,2,0,0
1,1,1,0
1,2,2,1
2,1,0,0
0,2,1,1
3,0,0,0
0,1,0,0
0,0,0,1
0,2,0,1
0,0,2,0
0,1,0,1
0,0,1,0
1,2,0,0
1,0,0,0
1,1,0,0
1,1,0,1
0,1,1,0
5,1,0,1
0,4,0,0
1,2,0,2
1,0,0,0
1,1,1,0
1,1,1,0
2,0,1,0
1,1,2,0
4,3,0,1
3,2,0,1
4,1,0,1
3,2,1,2
0,1,1,2
3,0,0,1
1,1,0,1
2,2,0,1
1,2,0,2
4,2,0,0
1,0,2,2
3,2,0,0
2,1,0,2
2,2,0,0
1,2,0,1
3,0,0,0
0,3,1,0
1,3,0,1
2,0,1,1
2,3,0,1
0,1,0,1
1,1,1,1
1,0,1,0
1,0,1,1
1,1,1,0
2,2,0,0
1,1,0,0
2,0,0,1
1,1,0,0
1,1,1,0
1,0,0,0
0,1,0,1
2,0,0,1
3,1,1,0
1,2,0,1
1,1,0,0
1,1,1,2
2,0,2,0
2,1,1,0
2,1,0,0
3,2,0,1
1,0,1,1
1,2,0,0
3,2,0,1
0,0,0,0
1,0,0,1
4,1,0,0
2,1,0,1
4,1,0,0
3,1,0,0
1,2,1,1
1,1,2,1
2,0,0,1
1,1,0,0
0,1,0,1
3,0,0,0
2,2,2,1
2,0,0,2
1,0,0,0
1,1,2,1
2,5,0,3
2,3,0,0
2,1,1,0
1,1,0,0
2,1,1,0
2,3,0,0
1,2,1,0
0,2,0,1
1,0,2,2
1,0,0,1
5,2,0,0
1,3,0,0
1,2,1,1
4,1,0,1
2,2,0,0
4,1,0,0
1,0,1,0
2,2,0,3
0,1,1,1
3,0,1,1
1,0,0,0
2,0,1,0
1,4,0,0
2,1,1,0
0,2,0,2
3,0,0,0
1,2,0,1
0,1,0,0
2,4,1,0
2,2,0,0
1,1,0,0
0,3,0,0
3,2,0,1
2,0,0,0
1,0,1,0
3,2,1,0
1,0,1,1
0,0,1,1
2,2,1,0
0,0,0,1
2,0,0,2
1,0,1,1
0,1,0,0
2,0,0,0
5,2,0,0
5,0,0,0
2,1,0,0
2,2,0,0
3,2,0,1
0,2,0,0
0,2,0,1
1,0,1,0
3,2,0,0
1,2,2,0
3,1,0,1
0,4,1,1
2,2,1,0
1,2,0,0
2,2,0,0
3,0,0,0
1,1,0,0
0,2,1,0
2,1,0,0
2,2,0,0
1,3,1,2
4,0,0,0
1,2,0,0
4,1,1,0
0,3,0,2
1,0,0,0
1,0,0,1
2,2,1,0
0,1,0,0
2,1,1,1
3,2,0,1
1,0,1,2
1,3,1,0
0,1,1,0
2,1,0,1
2,0,0,0
1,0,1,0
3,3,0,0
6,1,0,0
2,1,1,0
2,1,0,0
1,1,0,2
1,4,0,0
0,1,0,0
2,0,1,2
0,1,2,3
2,1,0,1
2,3,0,1
1,0,1,0
1,1,2,0
1,1,1,0
2,2,3,0
0,1,1,1
2,4,1,1
1,1,0,0
2,1,0,1
1,0,0,1
0,0,1,0
2,1,1,1
1,0,0,0
2,2,0,0
0,1,1,1
0,1,0,0
0,0,0,0
0,1,1,0
1,1,0,0
1,1,0,1
3,0,1,0
3,1,1,1
3,1,1,0
1,1,0,0
2,1,0,0
2,2,0,0
1,0,0,2
0,1,0,1
2,1,0,2
0,2,0,0
2,1,0,0
2,2,1,1
0,2,1,0
0,1,0,0
4,0,1,1
2,0,0,0
2,3,0,1
2,2,1,0
2,0,0,2
0,0,2,2
2,0,0,0
1,1,0,0
0,3,0,1
2,3,1,0
1,1,0,0
3,2,0,0
2,1,0,0
2,1,1,0
1,0,0,1
2,0,0,1
1,0,1,0
2,0,0,1
2,2,0,3
2,0,0,0
3,0,0,0
3,1,2,0
3,1,0,1
2,0,0,0
0,1,0,0
1,1,0,0
1,1,0,1
0,1,1,1
1,2,0,3
1,0,1,0
1,0,0,2
3,2,0,0
1,1,0,2
2,0,0,1
2,1,0,0
1,1,0,1
1,0,1,2
3,5,0,1
1,1,0,1
1,1,0,1
2,2,0,1
1,2,1,1
4,0,1,0
4,0,0,2
2,1,0,1
2,3,0,1
2,3,1,1
2,1,0,0
0,1,0,0
0,2,1,1
2,0,0,2
2,2,0,0
0,1,1,0
3,0,0,1
3,0,0,1
1,2,1,0
1,2,2,0
1,1,2,2
0,2,0,0
2,0,1,2
4,2,1,2
1,2,1,1
1,0,0,1
2,1,1,0
0,3,0,1
2,2,0,0
5,0,1,0
2,2,1,1
0,0,0,1
1,0,0,0
0,0,1,2
3,1,0,0
1,1,1,0
0,2,1,0
0,4,0,0
0,3,1,0
1,0,0,0
3,1,1,0
1,2,0,2
0,0,1,0
1,1,0,0
2,0,1,1
0,0,2,0
0,0,0,0
3,2,0,4
1,0,1,3
3,0,0,0
3,1,1,0
3,2,0,1
1,2,0,0
3,2,2,1
1,1,0,0
2,1,0,0
2,2,1,0
4,0,0,0
2,2,0,1
2,0,0,0
2,0,1,2
3,3,0,1
0,1,0,0
0,2,1,1
0,3,2,0
0,2,0,2
1,2,0,1
1,0,0,0
0,1,0,1
0,1,0,0
0,0,0,1
1,0,0,0
1,0,0,0
2,0,1,0
1,2,1,2
0,1,0,0
1,1,0,1
1,0,0,0
2,0,0,1
3,0,1,0
2,1,0,1
1,2,0,2
1,0,3,1
4,0,0,0
5,0,1,0
1,1,0,0
1,0,0,3
1,0,0,3
2,0,0,0
1,1,1,0
0,0,0,0
1,0,0,1
2,1,0,0
0,0,0,0
4,1,0,2
2,0,0,0
2,0,1,0
3,1,0,0
0,1,0,1
2,0,0,0
0,0,2,0
2,0,0,0
0,1,0,0
2,2,1,0
1,0,0,1
0,0,0,0
0,0,0,0
1,1,1,0
0,1,0,0
1,0,0,0
1,1,0,0
0,1,0,1
2,0,1,0
2,2,0,0
2,0,0,0
0,0,0,1
1,0,1,0
2,2,0,0
4,1,0,1
1,1,2,0
2,3,0,0
6,2,2,2
4,3,0,1
8,3,3,4
10,7,5,3
12,7,8,7
34,17,8,8
48,18,14,8
54,27,15,13
81,52,38,28
150,73,56,39
191,118,73,79
341,173,142,90
474,249,205,157
618,318,315,220
766,356,460,265
872,343,644,317
965,325,737,300
957,277,862,298
931,213,804,293
893,211,649,242
803,229,545,279
824,226,450,212
812,205,415,245
774,198,384,266
753,197,311,253
805,197,333,260
777,207,300,252
796,178,298,211
805,199,277,252
807,203,296,238
788,212,254,229
758,192,260,282
784,192,253,216
779,206,272,247
787,181,261,248
745,214,260,244
728,213,247,226
789,201,253,249
758,236,253,252
800,205,283,243
734,226,250,262
782,258,259,237
745,292,272,249
766,312,255,206
787,363,265,283
781,446,246,265
802,473,239,277
764,469,247,265
806,508,279,272
753,492,266,268
727,489,276,253
769,515,281,288
779,518,283,267
791,522,299,246
757,523,263,243
746,498,256,287
794,562,270,254
779,528,264,246
783,553,267,257
705,557,275,256
792,542,247,270
749,523,286,252
747,526,293,272
776,563,285,277
744,527,300,258
768,502,274,267
727,541,280,270
739,546,272,236
711,539,243,250
827,574,290,243
763,578,277,251
768,532,264,258
762,564,285,240
747,552,253,222
665,527,279,210
712,546,264,276
725,491,271,230
732,529,283,238
709,541,250,269
721,538,233,248
753,509,252,253
711,565,250,230
732,552,283,251
697,565,262,242
683,551,281,257
720,508,288,243
695,580,260,257
708,502,247,272
715,506,301,263
713,539,267,271
743,553,279,293
682,533,257,235
705,533,256,232
709,567,236,264
690,561,237,241
762,524,253,260
720,569,252,248
681,504,224,257
744,526,275,265
726,537,278,249
703,545,275,236
679,556,257,251
692,533,274,291
725,573,244,285
694,568,265,253
710,512,298,267
679,567,254,259
710,572,258,278
743,503,266,263
695,517,280,261
672,565,250,226
717,552,277,239
700,555,237,224
734,556,268,256
726,579,271,242
749,539,258,236
703,573,284,243
687,534,278,261
713,550,271,265
709,536,260,258
774,544,273,226
725,560,287,243
743,530,240,256
715,545,260,278
710,533,237,244
715,556,282,268
719,534,296,279
724,546,257,256
751,584,254,234
702,575,270,259
698,568,257,268
745,545,266,231
724,530,262,227
740,532,263,258
726,557,239,247
694,572,250,247
696,531,255,269
694,511,276,267
672,513,280,259
686,562,227,250
688,535,281,248
718,540,294,254
715,610,270,221
687,491,287,246
704,512,257,249
694,548,268,273
677,553,252,269
738,554,273,234
725,552,254,266
704,538,255,257
689,531,268,257
702,572,272,274
723,566,231,228
690,550,285,265
713,568,256,243
707,601,248,237
733,570,273,232
659,564,235,254
717,541,251,274
656,540,272,244
745,565,251,228
693,571,295,227
692,567,274,222
709,545,265,231
713,552,281,262
686,541,249,256
750,502,261,254
708,553,242,264
721,579,290,265
712,551,237,268
672,529,261,273
694,572,264,242
673,554,242,268
689,544,262,249
698,587,271,234
695,591,260,247
722,554,247,267
685,532,242,253
666,575,257,248
670,556,256,242
671,583,258,265
707,604,267,227
715,592,288,252
683,559,255,241
733,549,248,252
631,516,281,250
734,568,240,249
684,583,235,249
695,553,282,242
701,578,251,230
734,543,276,233
672,584,263,242
692,569,304,235
687,482,264,238
708,563,269,226
678,570,216,258
686,538,269,251
704,580,256,257
688,545,258,273
655,530,262,230
674,578,268,225
702,554,294,252
700,549,273,242
657,549,242,269
669,548,246,207
663,595,249,249
697,522,249,222
681,547,250,276
715,574,247,215
659,549,261,261
676,596,261,274
636,559,255,240
682,541,277,267
680,594,297,273
687,560,235,246
694,536,271,253
725,536,245,240
739,529,255,253
711,557,267,254
744,544,282,272
686,498,249,254
709,549,250,245
654,593,233,259
669,555,249,274
711,535,254,282
650,534,288,268
634,571,246,259
679,564,251,248
680,612,251,243
649,534,276,259
668,553,275,238
699,547,247,246
629,632,266,255
651,557,257,240
688,573,250,243
680,545,251,260
694,532,250,241
659,600,285,225
686,545,270,242
725,573,260,271
687,572,262,223
724,567,278,253
707,594,250,246
695,577,239,262
702,601,250,258
660,584,251,254
693,570,253,267
680,552,263,237
642,547,232,221
641,583,270,239
690,563,261,242
675,533,262,231
667,567,284,244
