BEAMS
HeaderRows:8,BinSize:0.3906250000000001,RunNumber:25484,Title:CoTa2O6 ZF T=16.159(0.012)K,Lab:TRIUMF,Area:M20D,Temperature:16.159(0.012)K,Field:0.160G,BeginTime:1601474742,EndTime:1601477878,ElapsedSecs:3136,Method:TD-,Apparatus:LAMPF,Insert:bfud.391,Sample:CoTa2O6,Orientation:N/A,Das:MIDAS,NumHists:4,NumBins:26368,Experimenters:BYU
Back,Forw,Down,Up
150,150,150,150
600,600,600,600
683,683,683,683
25600,25600,25600,25600
640,640,640,640
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,1
0,0,0,0
0,0,0,0
0,22,0,0
94,60,6,32
35,3,15,17
0,0,2,0
2,3,0,0
2,0,1,3
1,3,0,2
1,1,2,0
0,0,0,0
3,0,1,0
2,2,0,0
0,2,0,0
1,2,0,2
2,3,2,0
1,1,0,0
3,1,0,1
3,1,2,0
4,1,1,1
0,4,0,2
2,1,0,4
1,0,1,0
4,4,0,2
3,2,1,1
3,2,1,1
4,2,0,1
5,1,1,0
2,0,1,3
3,2,0,3
1,1,0,3
2,1,2,1
2,1,1,0
2,3,1,1
2,1,0,2
3,0,1,0
3,4,2,1
2,2,0,0
1,0,1,0
1,2,2,0
0,0,0,0
1,1,0,2
4,0,0,0
0,2,0,1
4,5,0,0
1,3,2,3
1,1,3,3
2,2,0,3
3,0,0,1
0,1,1,2
1,1,0,2
3,1,1,0
2,2,1,0
3,2,0,0
4,3,0,0
1,3,0,1
1,2,0,2
3,2,2,0
2,2,1,1
3,5,0,2
1,1,1,1
1,1,1,1
0,3,0,1
1,1,0,0
1,0,1,1
5,1,0,4
1,1,0,1
3,2,2,1
0,0,0,0
1,0,0,1
3,1,0,2
1,1,0,2
2,0,1,0
4,3,0,1
1,1,0,0
0,1,2,1
1,0,0,1
0,1,1,0
2,5,0,1
1,0,0,0
2,2,0,0
3,1,0,1
1,1,0,1
1,2,0,1
3,3,0,0
1,2,1,0
3,0,1,1
4,1,0,1
2,0,0,0
2,2,0,1
1,1,0,3
2,2,1,1
3,1,4,2
0,3,1,0
3,2,1,0
4,0,1,0
1,1,0,1
0,4,0,3
3,0,1,1
1,2,1,0
2,0,3,1
4,2,1,0
4,1,0,2
2,2,0,1
3,2,0,0
5,5,0,1
2,1,1,1
3,2,0,2
2,2,1,0
3,3,0,0
1,1,1,0
3,1,0,1
2,2,0,0
3,2,0,1
3,4,0,1
2,0,1,1
2,0,0,1
3,0,1,1
1,5,1,0
4,0,2,0
1,1,1,2
1,3,0,1
1,0,1,1
3,2,1,0
1,1,0,0
1,1,1,2
2,1,0,0
1,1,0,0
3,0,0,2
5,2,1,0
3,1,0,0
3,2,2,1
3,1,2,1
2,1,2,1
1,2,0,0
3,1,2,1
2,2,1,0
0,1,1,0
4,3,1,0
2,1,0,2
2,1,0,2
1,3,0,1
3,0,1,0
0,2,1,1
3,1,1,0
1,3,2,1
2,1,1,0
0,1,0,1
2,0,0,1
1,0,1,1
3,1,0,1
3,2,0,0
2,3,1,2
0,5,1,2
6,2,0,0
4,3,0,3
3,3,0,0
2,4,0,0
0,2,3,1
6,1,1,2
4,4,2,2
3,1,2,1
1,1,1,0
1,2,0,1
1,1,0,1
5,0,0,0
0,1,1,0
0,1,1,1
1,2,0,1
0,1,0,2
4,2,1,0
0,0,1,1
2,1,1,1
2,1,1,0
2,2,1,2
2,0,0,2
2,1,1,0
3,3,0,2
2,1,0,2
4,3,0,1
2,0,0,1
4,2,2,1
3,1,0,0
0,1,1,2
3,2,0,0
4,2,0,1
1,4,0,0
2,0,0,2
3,2,2,0
0,1,2,0
4,1,2,0
3,1,1,2
3,0,2,2
6,2,2,0
5,1,0,0
4,1,0,1
2,2,2,1
2,3,0,0
1,3,0,0
1,3,0,1
3,0,0,4
2,1,1,0
5,3,1,1
3,3,0,0
0,2,1,1
3,1,0,0
1,1,1,2
1,0,0,0
3,0,0,2
1,3,0,0
2,1,1,1
4,1,0,1
1,1,2,0
4,3,0,3
4,0,0,1
1,1,1,0
4,1,0,1
4,2,1,2
1,2,0,3
3,2,0,1
0,1,2,0
4,1,1,4
1,1,0,0
5,0,0,0
2,0,0,2
1,2,1,1
3,1,2,1
1,2,0,2
2,2,3,1
2,1,0,0
2,2,2,0
4,3,0,1
2,0,0,2
2,0,1,2
4,1,0,2
3,4,0,0
4,1,2,1
2,3,0,0
4,1,2,0
2,5,0,1
0,1,1,0
4,1,1,1
1,4,0,4
1,3,0,2
1,0,0,0
0,4,0,2
1,1,0,0
2,1,0,1
2,5,0,2
3,1,0,1
2,2,1,2
2,1,0,0
2,4,0,1
0,3,0,2
2,1,1,2
3,3,0,2
2,1,0,1
3,1,0,1
2,4,1,0
0,2,0,2
5,2,1,2
3,1,0,0
2,2,0,2
3,2,1,2
1,2,1,2
1,2,1,2
2,2,1,2
2,3,3,0
1,3,2,1
2,0,1,2
2,1,2,4
3,1,1,0
0,2,1,0
2,2,2,0
4,1,1,2
2,0,2,1
3,1,0,0
2,0,1,1
0,1,1,0
3,1,0,1
1,2,2,1
5,3,0,2
0,0,0,0
0,2,0,2
1,3,0,0
2,1,2,1
0,4,2,2
1,2,1,0
2,1,0,1
3,1,0,0
1,0,0,0
2,1,0,1
3,1,0,0
2,0,2,1
1,5,0,1
4,2,1,1
3,1,0,1
2,1,1,1
0,1,0,2
2,3,0,2
3,1,0,1
2,3,0,0
5,1,0,1
4,1,2,2
2,3,1,0
3,1,1,3
3,1,0,3
2,0,1,1
1,2,0,2
4,1,0,1
1,1,1,0
2,2,0,2
3,1,0,4
0,0,0,2
4,0,0,2
2,4,0,1
4,1,0,1
0,0,1,2
3,2,0,1
1,3,0,0
1,2,0,0
4,1,1,1
3,1,1,1
1,1,1,1
2,0,0,1
2,2,1,1
5,1,0,0
2,1,1,0
2,1,1,0
5,1,1,0
1,3,0,0
2,2,0,1
3,3,0,0
1,1,1,4
2,3,3,2
1,2,0,1
3,3,0,0
4,5,0,0
3,1,0,1
5,3,1,0
3,1,3,0
1,5,0,0
1,2,1,1
4,3,1,1
4,0,0,1
4,1,1,1
2,2,1,0
2,0,0,1
2,3,0,1
3,0,0,0
3,2,3,2
1,2,2,0
1,2,2,1
0,3,1,0
5,1,1,0
1,1,0,3
2,2,1,0
1,1,0,1
0,3,0,0
2,1,1,0
1,1,2,1
1,1,1,1
1,0,2,1
2,2,0,0
3,3,0,2
3,1,2,0
1,2,1,0
1,1,2,2
0,2,2,1
2,2,0,0
4,0,2,1
1,1,1,0
4,1,1,2
0,1,2,0
1,1,2,0
2,1,1,0
3,4,4,3
2,2,0,1
1,2,0,0
2,0,0,0
3,2,0,0
2,2,0,0
4,1,0,2
3,2,0,0
2,2,0,4
2,0,0,1
2,1,0,1
2,2,2,2
2,1,1,0
1,0,0,1
2,0,0,1
2,1,1,1
2,1,0,1
1,0,1,1
1,1,0,0
1,1,0,0
0,2,0,1
3,0,0,1
1,1,1,0
3,0,0,2
1,1,1,1
1,2,0,1
2,1,0,1
4,0,0,0
1,0,0,1
1,0,1,2
5,1,2,1
3,1,1,1
3,1,2,2
1,1,0,0
4,4,1,0
0,0,2,0
3,1,0,1
2,1,1,0
4,2,0,0
4,2,0,0
2,0,1,1
1,0,1,0
2,1,1,0
0,3,1,0
0,3,1,1
1,4,1,1
5,1,0,0
1,3,1,3
2,4,1,0
2,1,0,2
3,2,0,0
0,3,0,0
3,2,0,0
3,5,0,2
3,1,2,1
3,1,0,0
3,2,0,1
1,0,0,1
3,1,0,2
3,1,0,0
1,3,0,0
2,1,2,2
6,2,2,1
1,0,0,0
3,3,1,2
5,2,1,2
4,2,0,0
2,1,0,0
0,2,1,1
2,3,2,0
3,5,2,0
1,1,0,0
1,1,1,1
2,1,2,0
2,2,2,0
2,2,1,0
1,1,1,1
2,1,0,0
3,0,0,2
6,2,0,0
4,2,0,2
2,1,0,0
2,0,1,1
0,0,0,2
3,0,0,2
4,2,0,0
4,0,0,0
2,2,1,0
1,1,0,1
1,0,0,2
2,2,0,2
2,3,0,1
2,1,0,0
0,0,0,1
4,4,0,0
0,3,1,1
3,1,1,0
4,1,1,3
3,5,1,0
4,1,1,1
2,0,2,0
3,0,2,1
0,1,2,1
0,3,0,2
3,0,0,1
1,0,1,0
1,0,0,1
0,0,1,0
2,0,0,0
0,1,0,0
1,0,0,0
3,0,0,2
2,1,0,1
1,0,1,0
3,0,1,0
0,0,0,2
2,0,2,0
2,2,1,3
0,0,0,0
2,3,0,0
4,1,0,1
1,0,0,0
1,2,0,0
3,0,1,0
3,3,0,1
1,0,0,0
2,0,0,0
3,1,0,0
1,1,0,0
0,1,0,0
1,1,0,1
1,2,0,0
1,0,0,0
3,0,0,0
4,1,0,0
0,1,0,0
3,1,0,2
2,0,0,0
1,0,0,0
2,0,0,0
0,1,0,0
2,0,0,1
2,1,0,0
4,1,0,0
3,0,2,2
6,0,0,1
2,1,3,0
3,2,1,3
8,4,4,0
8,3,1,2
16,4,3,3
12,8,1,0
24,7,6,5
42,16,11,10
45,28,7,13
56,26,20,18
103,54,21,31
145,67,35,33
207,118,78,52
295,182,123,119
469,266,183,188
652,344,292,236
953,447,483,346
1148,547,624,394
1229,514,861,438
1364,439,1167,418
1364,394,1144,405
1360,354,1110,377
1293,355,867,411
1211,324,766,361
1221,323,702,401
1190,307,627,347
1218,266,549,382
1172,295,504,340
1105,294,432,370
1136,319,415,370
1115,305,389,336
1173,306,411,366
1154,301,376,369
1168,282,361,383
1203,291,385,396
1201,278,390,371
1097,292,401,380
1158,291,375,361
1154,306,409,382
1106,308,393,365
1143,299,370,384
1070,309,346,371
1113,327,387,372
1152,308,380,338
1113,374,371,362
1120,393,383,362
1088,493,374,378
1156,528,399,398
1140,587,400,380
1137,597,346,348
1151,670,390,384
1119,725,402,400
1139,782,395,403
1209,770,373,390
1135,764,398,375
1101,763,377,383
1135,740,410,411
1154,706,368,395
1127,802,402,397
1140,833,375,393
1136,786,413,343
1139,790,387,371
1148,808,422,363
1125,797,411,403
1126,822,391,399
1112,754,420,363
1147,772,407,356
1157,782,420,357
1134,759,429,375
1136,739,439,406
1140,743,401,380
1143,845,400,406
1172,804,355,406
1114,762,383,392
1127,776,402,384
1131,838,349,367
999,787,404,370
1168,751,396,387
1100,783,425,376
1115,848,371,376
1098,755,429,355
1098,789,403,359
1087,766,396,359
1065,796,374,376
1077,797,414,386
1052,785,423,357
1044,779,381,396
1059,780,401,371
1173,803,391,357
1105,799,446,393
1020,774,364,349
1074,790,404,386
1055,809,390,391
1078,761,402,337
1038,774,396,392
1069,762,383,373
1124,729,391,364
1116,725,377,353
1069,802,396,364
1126,771,409,372
1048,820,379,376
1133,758,388,339
1174,754,419,367
1058,739,399,387
1113,800,411,361
1107,787,370,391
1144,772,411,386
1100,805,377,391
1044,806,398,341
1075,749,347,372
1053,755,389,365
1083,758,362,371
1087,778,429,387
1072,744,421,377
1050,772,418,376
1086,778,398,389
1057,792,397,353
1088,801,386,380
1095,774,394,362
1057,766,399,395
1070,777,398,370
1050,761,420,357
1144,708,385,404
1093,769,378,368
1073,729,407,373
1063,829,407,377
1112,750,402,372
1100,788,381,365
1016,761,394,424
1087,762,346,387
1074,774,406,409
1074,766,419,346
1063,775,405,368
1050,813,374,387
1087,793,398,383
1134,776,392,404
1113,774,394,379
1088,798,393,410
1091,763,371,354
1090,760,384,347
1097,827,394,375
1088,734,403,412
1044,826,430,391
1062,774,387,409
1074,793,378,373
1065,732,395,367
1079,790,373,400
1095,785,374,356
1130,783,381,386
1068,780,408,379
1121,752,399,345
1133,731,365,360
1062,763,402,326
1073,758,365,361
1076,754,360,364
1117,785,405,344
1030,791,383,374
1124,825,392,397
1058,755,411,403
1059,801,391,361
1072,765,392,365
1052,750,403,368
1028,672,382,394
1064,765,376,379
1155,753,421,381
1091,828,377,393
1003,789,366,370
1031,772,364,380
1051,759,417,361
1089,794,382,374
1004,766,390,369
1019,794,379,380
1035,784,384,369
1089,764,376,396
1056,756,400,366
1049,850,403,365
1058,763,374,356
981,778,385,359
1070,812,422,353
1056,817,417,359
1071,790,391,396
1100,778,365,405
1065,778,428,380
1043,779,413,370
1050,805,407,334
1120,793,400,361
1067,761,399,364
1052,755,405,365
1025,751,400,380
1086,763,407,379
1084,728,382,373
1012,766,383,388
1010,743,384,375
988,779,387,337
1060,807,407,362
1026,810,395,377
1023,731,409,362
1109,775,406,379
1029,833,402,361
1062,785,405,355
1040,773,407,349
1040,767,382,374
1080,736,373,383
1083,851,372,386
1072,785,383,380
1087,793,363,362
1071,760,388,373
1130,773,413,356
987,749,389,348
1084,728,403,357
1095,792,412,380
1043,792,363,352
1062,739,387,375
1086,788,409,399
1133,723,386,369
1049,776,407,343
1038,821,390,342
1081,769,406,340
1089,811,358,360
1011,795,338,426
1073,804,399,367
1068,760,379,355
1080,775,404,355
1079,747,364,369
1022,745,407,361
1121,769,352,359
1071,732,418,369
1063,832,375,351
1068,785,363,366
1050,789,388,362
