BEAMS
HeaderRows:8,BinSize:0.3906250000000001,RunNumber:25498,Title:CoTa2O6 ZF T=53K,Lab:TRIUMF,Area:M20D,Temperature:52.758(0.023)K,Field:0.111G,BeginTime:1601515782,EndTime:1601518357,ElapsedSecs:2575,Method:TD-,Apparatus:LAMPF,Insert:bfud.391,Sample:CoTa2O6,Orientation:N/A,Das:MIDAS,NumHists:4,NumBins:26368,Experimenters:BYU
Back,Forw,Down,Up
150,150,150,150
600,600,600,600
683,683,683,683
25600,25600,25600,25600
640,640,640,640
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,25,0,0
81,65,5,32
28,1,20,10
0,1,1,1
2,1,0,1
4,0,1,2
0,1,0,1
6,3,0,1
1,0,0,1
1,2,0,2
4,1,1,1
1,2,1,0
5,2,1,1
0,1,1,0
0,0,1,0
5,3,1,3
1,1,2,0
2,1,0,1
2,1,0,0
2,2,1,0
4,1,2,0
0,0,0,0
1,1,0,0
3,0,0,0
2,0,2,0
3,2,0,0
0,0,1,2
2,0,0,1
2,3,0,0
0,2,1,1
4,2,1,1
1,1,0,0
2,3,0,0
1,1,0,2
2,2,1,0
3,1,0,0
1,3,0,2
1,2,0,0
3,1,1,0
1,1,0,0
0,4,0,0
4,0,0,0
0,1,1,1
4,1,1,0
2,1,0,1
0,1,0,0
2,1,0,2
3,0,0,0
2,4,0,1
1,1,1,2
3,2,1,0
2,1,0,3
2,2,0,0
2,2,1,3
2,4,0,0
2,1,1,0
1,1,0,1
0,1,0,0
3,2,0,0
3,1,2,0
1,2,0,2
5,1,1,0
0,3,1,1
1,3,1,0
5,1,0,3
6,3,1,0
1,1,1,0
1,0,0,0
2,2,0,1
5,3,0,0
1,2,0,0
2,0,1,1
3,3,0,0
2,3,0,0
1,0,0,0
2,0,0,0
0,2,0,0
4,3,1,1
4,3,0,1
0,0,0,2
1,1,1,0
2,1,1,0
0,3,0,4
1,1,0,0
1,0,0,1
2,0,0,0
2,1,0,0
1,1,0,1
2,1,2,1
1,1,0,0
5,3,1,0
4,2,1,0
2,0,3,0
2,0,1,1
5,2,0,0
4,1,1,0
4,4,0,0
3,0,2,1
3,3,1,0
1,1,0,0
4,0,0,2
3,1,1,1
0,2,1,1
2,0,0,0
2,1,0,1
3,2,0,0
2,2,1,0
3,1,0,0
0,2,0,0
4,5,1,6
4,1,0,1
0,1,0,1
1,0,1,0
0,2,0,0
3,1,0,2
2,0,0,2
3,2,1,0
2,2,1,0
1,3,1,0
4,1,0,1
3,1,0,2
5,1,1,1
2,1,0,0
2,2,0,2
1,1,0,0
1,0,0,0
5,2,2,0
2,1,0,0
0,2,0,3
7,0,1,2
1,2,0,1
2,1,1,4
3,2,0,0
4,0,0,0
1,1,1,1
2,3,2,0
2,3,1,0
1,2,1,0
1,0,1,1
3,2,0,1
1,1,1,0
2,1,0,0
4,0,0,2
2,2,1,2
1,2,1,1
1,5,2,2
3,2,1,1
2,0,1,0
1,1,1,3
1,1,0,0
1,2,1,2
0,0,1,0
2,1,0,0
1,3,1,1
2,1,0,0
3,2,0,2
2,2,0,0
1,0,0,2
1,5,1,0
0,3,0,0
0,1,2,1
3,1,0,0
2,3,0,0
1,2,0,2
2,1,0,0
4,1,0,3
2,1,1,0
1,3,0,2
3,0,0,2
1,0,2,1
0,1,1,0
0,0,0,2
0,0,1,0
2,3,0,1
0,1,0,3
2,0,0,0
2,1,1,0
0,1,0,0
1,0,0,4
0,0,1,0
0,3,0,0
1,0,1,1
1,2,1,1
2,1,1,1
0,1,1,1
1,2,0,0
1,0,3,2
3,1,0,1
1,0,0,0
3,1,1,1
3,1,0,0
2,0,1,2
2,0,0,1
2,2,0,0
3,2,1,0
1,0,0,0
2,0,0,0
2,2,1,1
2,0,0,0
1,0,0,0
3,1,0,1
3,1,1,0
2,2,0,1
3,4,0,0
1,2,1,2
0,0,1,1
2,1,0,2
2,2,0,0
2,1,0,0
3,3,0,1
2,0,0,2
2,2,0,1
4,2,0,0
0,1,0,2
2,4,0,0
2,1,0,1
3,0,0,1
2,0,1,1
0,1,0,1
3,1,0,2
3,0,1,1
3,2,1,0
3,1,0,2
0,1,1,0
0,1,2,1
0,2,0,1
3,0,1,2
3,0,2,0
1,1,2,0
3,0,0,3
1,0,1,0
1,1,0,0
1,0,0,0
4,0,2,0
3,2,0,1
3,1,0,2
2,0,0,1
0,2,0,0
3,2,3,0
4,2,1,1
1,1,1,0
0,0,0,0
3,3,1,1
2,1,2,0
3,1,0,1
1,3,1,1
2,0,1,2
1,1,0,1
1,3,1,1
2,2,0,1
2,0,1,1
0,1,1,3
0,1,0,2
3,1,0,3
0,0,0,1
1,1,1,0
1,0,0,1
0,1,1,0
2,2,0,1
2,0,1,0
1,0,0,1
2,1,0,1
2,0,1,1
2,0,1,0
4,1,0,3
1,2,2,1
3,1,0,2
4,0,2,0
2,1,1,0
1,3,1,0
0,3,0,2
0,3,0,1
0,0,0,0
5,3,0,0
2,1,0,1
0,3,0,2
1,3,1,1
2,3,0,0
4,0,1,1
3,1,2,1
4,1,0,0
1,1,1,0
2,0,1,1
2,1,0,0
2,1,0,0
1,1,0,0
3,2,0,3
0,0,0,0
1,2,0,1
0,2,0,0
1,3,0,0
1,0,0,0
1,3,0,0
0,5,1,0
0,3,0,1
1,3,1,3
5,1,0,0
2,0,1,3
2,1,0,0
3,1,0,1
5,2,0,0
2,1,0,0
2,1,0,1
2,1,0,0
0,1,0,1
6,0,0,0
1,1,0,1
3,1,0,1
0,1,0,1
3,0,0,0
4,2,2,1
2,1,0,0
2,1,0,0
3,0,0,2
2,0,0,2
3,2,1,1
0,4,0,0
1,4,0,1
1,1,0,0
1,3,1,1
2,2,0,0
3,1,0,0
4,1,0,2
1,4,0,1
2,0,1,1
2,1,0,0
7,0,0,1
0,0,1,1
1,2,2,3
1,3,1,1
0,3,0,1
0,3,1,2
1,1,0,1
4,1,0,0
1,3,2,3
1,1,1,0
2,1,1,0
0,1,1,1
3,1,0,1
2,4,0,0
1,5,0,0
3,2,0,0
1,0,0,3
4,4,0,0
3,3,2,1
4,0,0,1
3,0,0,1
2,2,1,0
0,2,1,0
1,3,0,0
3,2,3,2
0,1,0,0
2,2,5,1
2,2,0,2
2,2,0,0
1,0,0,1
0,1,0,0
1,1,0,0
1,1,0,1
2,1,1,1
1,2,0,2
1,1,2,0
2,3,1,1
1,3,0,1
2,1,0,0
1,1,0,0
4,2,2,2
2,1,1,1
3,1,1,0
2,1,0,0
2,2,2,1
2,2,2,1
1,2,0,0
5,0,0,0
1,0,2,3
0,1,1,0
3,0,0,0
1,4,0,1
3,2,0,0
1,1,0,0
2,3,0,0
3,2,1,2
1,0,1,1
1,2,1,0
3,1,1,0
2,0,0,3
4,0,0,1
2,2,1,0
2,0,0,1
2,1,1,0
0,0,0,3
2,0,0,0
3,3,0,0
2,2,0,0
2,1,0,0
1,2,1,1
5,5,0,0
3,1,0,3
1,1,0,0
1,1,0,2
0,0,1,1
2,0,0,2
0,2,0,1
0,4,0,0
2,2,1,0
1,2,1,2
3,1,1,0
4,0,0,0
0,0,0,0
3,4,1,0
2,1,1,1
5,1,1,1
1,1,1,0
2,1,0,1
2,0,1,0
2,0,1,1
3,2,0,1
1,1,1,1
0,1,0,2
1,1,0,1
2,2,1,1
1,1,1,0
3,0,2,1
2,2,1,0
0,2,0,0
0,3,1,1
2,0,1,0
1,1,1,0
2,1,1,0
0,0,1,1
0,0,1,1
2,3,1,2
0,0,0,2
4,2,0,2
2,1,1,0
1,1,1,1
1,2,0,2
5,1,0,1
2,1,0,0
4,2,0,0
2,3,0,1
1,1,2,1
2,1,1,1
1,3,0,0
1,1,1,1
2,0,1,1
3,0,0,0
1,4,0,1
2,2,0,0
0,3,0,1
1,2,0,1
2,0,1,1
2,2,0,1
3,1,1,1
0,0,0,1
1,2,0,0
2,2,1,2
1,2,0,0
1,1,0,0
1,3,0,2
2,1,0,2
1,1,1,0
1,0,0,0
1,2,0,0
1,2,0,0
2,1,0,1
0,0,0,1
1,2,0,1
2,0,1,0
1,1,1,1
2,0,2,1
6,0,0,0
4,4,1,1
0,1,3,0
2,1,1,1
0,2,1,0
1,0,0,0
3,0,2,1
1,0,0,0
1,2,0,0
2,0,3,1
1,0,0,1
0,1,1,0
4,0,1,1
2,2,0,0
4,0,1,0
2,1,1,0
2,0,0,1
0,1,1,0
4,2,0,1
2,0,0,1
0,0,0,2
1,1,0,0
1,1,0,0
1,3,0,1
2,0,0,0
2,0,0,0
1,0,1,1
2,1,0,1
3,1,0,0
2,1,1,1
1,2,0,0
2,0,0,1
1,0,0,0
0,3,0,1
1,1,0,1
0,2,0,0
2,0,0,0
3,1,0,1
1,0,1,1
0,0,0,0
2,0,0,2
2,1,0,2
1,0,2,0
3,0,0,2
1,2,0,0
3,0,0,0
2,1,1,0
3,2,1,3
4,1,1,0
3,1,1,0
0,0,3,0
4,2,0,3
8,1,4,5
7,1,5,1
12,9,3,5
13,7,3,4
21,7,9,4
20,22,7,8
39,38,22,11
80,31,23,21
100,51,54,22
145,85,62,44
265,136,99,85
396,205,127,115
587,294,242,208
718,376,355,268
900,440,495,358
1028,450,676,344
1077,379,867,326
1115,328,969,337
1101,273,890,333
1046,260,738,331
1030,262,593,279
974,224,529,318
989,233,498,303
1000,241,464,340
998,237,415,302
917,209,360,315
943,241,345,301
920,215,286,330
906,255,323,283
967,230,309,313
971,219,353,297
907,246,341,317
879,262,300,275
863,224,284,268
926,219,272,286
904,205,292,316
908,240,289,290
936,236,306,290
965,254,308,324
927,273,298,322
937,259,324,319
920,296,293,298
978,335,289,305
940,374,316,286
916,413,307,293
940,475,291,316
933,496,286,314
961,581,297,290
975,565,332,309
901,569,308,296
917,580,294,307
884,627,337,303
935,596,334,340
885,646,315,297
867,611,314,308
975,621,325,288
947,645,339,336
941,579,296,312
919,628,360,309
972,632,304,314
905,607,336,306
905,601,339,315
902,630,326,281
956,644,350,289
973,627,329,265
925,639,343,315
917,639,323,334
918,635,335,323
900,654,344,315
913,619,320,309
911,629,318,317
891,647,305,300
934,669,332,318
888,590,345,283
862,580,323,325
851,613,325,290
967,668,319,329
908,627,352,289
887,626,348,318
917,626,322,295
847,610,311,318
853,603,300,319
872,601,364,308
916,612,296,310
876,623,339,316
897,641,382,313
836,639,322,305
920,602,339,294
854,608,327,297
933,658,344,300
826,633,314,335
859,609,323,292
903,634,327,323
920,628,317,323
858,617,312,308
866,587,350,315
965,618,361,305
953,616,326,276
860,655,292,284
906,622,313,314
901,605,322,303
889,603,336,313
871,588,320,319
867,620,341,297
856,642,326,316
912,603,323,289
933,613,331,316
917,627,304,323
890,583,305,307
882,630,331,301
882,629,315,304
854,580,321,293
860,635,323,309
870,642,285,289
856,612,303,287
894,660,308,275
917,603,324,274
914,656,311,335
934,621,297,293
906,642,321,310
928,630,325,299
867,650,339,304
870,586,315,315
887,624,317,279
916,591,356,263
833,615,319,295
934,596,310,290
940,592,309,311
840,669,316,283
936,593,324,309
952,583,287,301
925,681,351,285
913,565,335,269
882,599,338,301
892,638,334,312
829,588,281,303
919,628,295,293
887,628,319,325
862,648,337,319
911,605,333,290
900,632,327,323
882,629,306,333
887,616,343,338
883,655,313,306
904,642,298,294
918,588,308,307
880,611,323,316
871,606,334,304
869,628,331,293
917,588,305,328
941,624,318,278
860,629,334,295
847,616,295,278
878,596,347,323
879,598,341,317
869,641,328,298
847,608,329,297
972,642,328,263
902,607,308,319
879,614,310,273
894,606,321,316
915,622,346,320
923,652,301,292
906,613,320,302
941,619,351,305
879,587,321,285
916,647,287,304
884,623,302,311
867,633,312,306
910,592,290,324
848,623,330,297
877,619,301,260
840,635,325,339
874,614,311,294
903,632,303,296
847,605,303,300
890,633,322,310
838,627,315,296
890,644,324,312
945,653,301,293
891,646,320,293
896,626,332,316
870,633,305,269
879,573,300,311
912,615,319,300
848,643,285,292
871,636,277,313
968,637,318,293
903,596,346,279
879,596,316,289
794,610,324,296
856,575,311,296
868,608,322,316
847,609,336,293
906,571,338,302
873,612,324,278
890,612,313,291
882,580,342,309
859,640,322,304
904,590,289,295
859,616,319,301
901,586,274,271
871,610,341,348
865,619,317,303
873,623,306,296
838,600,324,298
899,616,289,302
957,647,313,284
892,562,293,298
922,652,293,292
900,601,320,274
880,622,335,316
891,610,309,288
871,600,318,331
913,650,314,301
841,639,353,267
935,639,352,290
864,644,315,300
847,594,314,266
890,627,316,292
884,608,300,315
884,604,325,324
829,583,326,313
901,615,285,276
891,614,288,281
893,628,314,299
897,584,315,286
870,543,287,278
871,642,275,310
874,637,310,299
847,662,317,288
892,611,328,296
839,600,335,299
868,593,298,288
854,594,322,257
853,601,307,344
867,612,296,253
895,570,314,289
837,605,309,316
849,615,288,284
830,601,261,307
858,612,300,321
879,595,318,280
887,610,305,317
866,647,293,306
818,601,355,330
907,618,299,284
855,625,329,268
849,623,306,325
823,627,347,277
843,636,313,285
879,632,284,297
879,571,324,267
