BEAMS
HeaderRows:8,BinSize:0.3906250000000001,RunNumber:25475,Title:CoTa2O6 ZF T=3.596(0.030)K,Lab:TRIUMF,Area:M20D,Temperature:3.596(0.030)K,Field:0.107G,BeginTime:1601446823,EndTime:1601449974,ElapsedSecs:3151,Method:TD-,Apparatus:LAMPF,Insert:bfud.391,Sample:CoTa2O6,Orientation:N/A,Das:MIDAS,NumHists:4,NumBins:26368,Experimenters:BYU
Back,Forw,Down,Up
150,150,150,150
600,600,600,600
683,683,683,683
25600,25600,25600,25600
640,640,640,640
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,17,0,0
83,71,4,30
30,3,32,12
2,1,2,3
0,1,0,0
2,3,0,3
2,0,1,1
0,3,1,1
3,1,1,1
2,0,0,1
1,1,1,0
4,1,1,0
5,0,0,1
1,2,0,2
2,1,1,0
2,2,2,1
2,0,1,0
3,2,1,0
5,1,1,1
4,1,2,0
4,1,0,1
2,1,1,1
1,2,3,1
1,2,1,3
4,4,2,2
2,3,0,2
2,1,2,0
4,4,0,1
3,1,0,0
2,1,0,0
2,2,0,0
5,2,1,1
1,1,1,2
1,2,0,1
2,2,1,2
0,3,0,1
2,1,1,0
1,0,1,0
2,4,1,1
4,2,0,0
2,3,1,0
2,4,0,2
5,2,0,2
2,1,0,2
0,1,1,0
2,0,1,2
4,2,2,1
1,4,0,0
3,2,1,2
2,0,0,2
1,2,0,1
2,0,0,1
2,2,0,1
4,2,0,1
4,0,0,1
0,4,0,1
1,0,1,2
2,2,0,1
1,1,0,0
1,1,1,0
2,1,2,0
0,0,0,0
3,0,0,2
1,0,3,2
3,1,0,2
0,1,2,1
2,2,1,3
2,1,1,1
2,2,0,3
1,1,0,1
2,2,0,0
4,3,0,2
0,6,0,1
2,4,1,2
4,1,0,0
2,1,1,0
2,2,0,1
3,0,1,0
3,1,1,0
3,2,0,1
2,4,1,1
1,2,0,0
1,0,1,1
5,1,0,0
4,3,1,4
3,1,2,4
0,0,0,0
2,2,1,1
4,4,1,1
2,2,1,4
1,1,0,1
3,3,0,1
2,5,0,1
5,2,0,0
3,0,2,2
2,1,4,0
0,4,0,0
3,2,0,1
3,4,0,2
7,2,1,0
5,3,0,1
1,0,1,3
2,2,0,1
3,1,0,0
2,3,1,0
0,1,0,2
2,3,0,2
2,1,4,0
1,1,0,0
0,3,0,1
3,1,2,0
1,1,2,0
3,1,2,2
0,0,0,2
2,1,1,1
4,3,3,1
2,1,1,0
4,0,1,0
2,1,0,0
1,7,0,0
1,2,0,0
2,1,1,2
2,1,1,1
2,1,1,0
1,0,0,2
1,2,2,0
3,0,0,0
4,3,0,1
0,4,1,0
2,0,0,3
3,2,0,0
3,1,0,0
3,1,1,2
0,0,2,0
2,1,1,3
2,1,0,0
2,0,1,0
1,0,1,1
1,1,0,1
5,2,1,2
2,0,1,0
2,3,0,0
0,1,0,0
3,3,0,0
2,2,0,1
1,1,0,0
2,1,0,3
0,2,0,1
3,3,1,0
3,0,0,2
4,2,1,0
4,3,0,2
2,3,1,1
3,2,1,2
4,1,1,0
1,1,2,0
4,2,0,0
3,0,0,0
2,2,1,2
2,0,0,0
2,0,0,0
5,1,0,1
2,2,0,1
3,0,0,0
3,1,0,0
5,0,0,2
2,2,1,1
0,1,0,0
3,2,0,0
2,1,0,1
0,2,0,2
0,0,1,0
1,2,0,2
3,1,0,0
4,1,0,0
2,1,1,0
1,0,1,0
3,3,0,1
2,2,0,1
3,1,0,1
1,2,2,0
0,2,0,2
0,2,0,1
2,1,1,1
4,2,0,0
2,1,1,1
4,0,0,1
4,0,1,0
3,2,2,0
4,1,1,2
3,2,0,1
2,2,0,3
3,1,1,1
1,2,1,2
1,1,2,1
5,2,0,0
2,3,0,2
3,1,0,1
3,5,0,1
1,0,0,2
5,0,2,0
2,1,1,1
2,2,2,1
2,0,0,1
1,0,0,1
2,1,0,0
2,0,0,2
3,4,0,2
1,2,0,1
0,1,1,0
1,1,1,0
2,0,1,0
3,2,0,1
2,0,0,1
3,1,0,1
4,1,0,1
4,2,1,0
4,1,0,0
2,2,0,0
3,2,0,2
3,3,0,0
2,0,0,1
1,3,1,0
2,2,0,2
6,0,0,0
0,2,0,1
1,1,2,1
5,1,0,1
3,2,2,0
1,2,0,2
3,2,2,0
0,1,0,1
1,0,0,2
2,2,0,1
1,0,0,0
1,2,4,2
1,0,1,0
1,2,1,0
5,2,1,0
2,1,0,0
4,1,1,0
0,3,1,0
1,2,2,0
3,1,1,0
5,1,0,1
5,2,0,1
4,3,0,0
2,0,0,2
3,1,0,2
1,3,1,1
1,2,1,0
4,2,1,0
4,1,1,1
3,0,1,0
1,1,0,0
3,3,0,0
1,2,1,1
2,1,0,1
1,3,0,1
4,2,0,1
4,5,1,3
1,0,1,0
1,3,0,2
0,2,2,0
1,0,0,1
1,3,0,0
3,1,0,0
1,1,1,0
1,2,1,0
3,2,1,2
2,3,1,1
2,3,1,1
1,0,1,0
2,0,1,1
0,0,1,1
4,1,1,2
1,2,0,2
1,1,2,0
3,2,1,2
3,2,1,1
5,2,0,0
3,2,0,2
0,1,0,1
1,2,1,0
2,3,1,2
6,1,0,1
1,1,1,1
0,1,2,2
3,3,1,1
3,2,0,1
3,0,1,3
1,1,2,2
3,1,0,0
6,0,1,0
6,4,0,1
1,5,0,2
4,4,1,0
4,4,0,1
0,1,2,0
3,4,1,0
0,1,0,0
3,0,1,0
2,2,0,0
0,2,1,0
0,2,0,1
0,4,0,0
0,0,1,2
4,1,1,1
3,1,1,0
4,1,0,1
2,1,1,4
1,1,1,1
3,1,1,1
3,3,0,0
4,1,0,0
3,0,2,2
2,2,1,1
0,0,3,1
4,0,1,1
3,2,2,0
4,0,0,2
4,1,0,0
0,1,0,0
2,2,0,1
3,0,1,1
4,3,0,3
1,2,1,0
0,1,3,0
2,4,0,0
1,2,0,1
2,3,2,0
2,0,1,1
0,5,1,0
1,3,0,0
3,3,1,2
3,2,0,0
4,1,0,0
5,4,1,0
7,2,2,0
3,2,0,3
1,2,0,0
6,1,0,0
2,1,0,0
0,1,0,0
1,2,0,0
2,2,1,1
1,2,1,2
2,3,0,2
2,3,0,3
2,0,1,2
4,1,0,1
2,3,0,1
2,1,1,2
3,2,1,1
4,2,0,2
3,2,1,1
2,2,0,0
2,1,1,0
0,2,2,1
2,1,0,0
7,1,2,0
2,1,0,0
1,0,2,0
0,0,1,0
2,1,3,0
5,3,3,1
0,3,0,3
1,1,1,1
2,1,2,1
2,0,0,2
4,3,0,1
5,1,0,1
3,4,0,1
4,3,1,1
1,2,1,0
2,4,1,2
2,2,1,2
0,5,0,1
2,1,0,1
1,1,1,0
1,0,1,1
2,0,0,0
1,2,0,2
1,0,1,1
6,3,2,2
3,1,0,0
3,3,2,0
3,1,0,0
4,0,2,0
0,2,0,1
5,1,1,2
1,1,1,1
0,3,0,0
2,1,0,1
0,3,0,1
2,2,2,0
1,1,0,0
3,2,3,0
0,4,0,0
3,1,1,0
2,3,0,0
4,1,0,2
4,3,1,0
2,2,0,0
3,1,1,0
1,0,1,0
1,1,0,1
1,2,0,1
4,2,3,1
4,0,2,0
2,0,1,0
1,0,0,0
3,1,0,0
0,4,0,0
3,4,2,2
2,3,1,0
1,1,0,1
4,1,1,0
3,2,0,0
4,1,1,0
4,4,0,1
2,1,0,1
5,1,2,1
1,2,0,1
1,3,0,0
2,0,1,1
3,1,0,1
1,1,0,1
1,4,1,1
4,1,0,1
3,2,1,2
1,3,1,0
5,2,0,0
1,0,1,2
3,2,0,1
1,3,0,0
2,0,2,0
4,0,1,0
1,5,0,1
3,3,1,0
2,1,0,1
2,0,0,0
3,0,0,1
3,3,1,2
2,4,1,3
1,1,2,0
2,0,2,1
1,3,0,0
1,3,0,1
4,1,0,1
6,4,1,1
1,3,0,0
2,2,0,1
3,3,1,3
4,0,0,0
0,1,1,1
1,1,2,3
1,0,0,1
2,1,0,0
6,1,0,0
3,2,0,0
0,0,1,0
3,3,1,1
6,0,0,2
1,1,2,0
0,0,0,1
2,0,1,2
3,1,0,2
3,0,1,3
3,1,1,1
3,0,0,0
1,1,1,1
0,1,1,0
2,4,1,0
3,0,1,0
4,3,1,0
1,0,0,0
3,3,0,0
6,1,1,0
0,1,0,0
1,1,1,2
0,0,0,1
1,1,1,0
3,0,2,0
3,0,0,1
2,3,0,0
1,0,1,0
1,0,0,2
0,0,0,1
2,0,0,1
3,0,1,1
2,0,0,1
1,1,1,0
2,1,0,0
3,1,1,1
3,0,1,3
2,1,1,1
0,1,0,1
0,0,0,2
2,2,1,0
2,1,1,0
1,2,1,1
2,0,0,1
2,2,0,1
1,0,1,0
0,1,0,0
1,0,1,0
0,0,0,0
4,1,0,1
3,1,0,0
2,1,1,1
4,0,1,1
3,0,1,0
3,2,0,1
7,0,0,3
2,1,1,0
1,1,1,0
1,0,1,2
1,0,1,0
3,1,1,2
1,0,1,0
4,4,1,2
5,1,1,0
7,6,1,1
12,3,2,2
15,6,0,9
20,10,5,3
26,16,13,6
30,18,17,11
53,40,19,15
89,47,26,13
133,65,62,44
196,102,80,61
324,177,129,101
489,234,188,183
665,354,331,257
917,447,509,330
1117,509,673,438
1267,510,973,414
1350,483,1144,443
1276,448,1248,406
1449,371,1191,367
1264,335,1002,425
1243,329,784,381
1171,282,637,384
1153,302,629,350
1195,281,566,363
1190,279,516,363
1182,302,428,365
1127,362,416,351
1161,293,404,368
1147,269,384,413
1091,296,380,391
1155,288,363,365
1170,289,395,350
1139,313,394,371
1110,277,367,376
1120,270,393,363
1120,283,398,361
1035,321,407,372
1141,298,357,366
1100,312,371,388
1133,360,380,339
1158,408,371,353
1095,391,345,325
1085,422,361,354
1123,454,411,354
1102,538,369,386
1068,639,380,398
1118,717,378,414
1146,724,380,385
1080,743,404,342
1069,842,411,380
1081,825,383,395
1042,831,424,366
1094,808,352,398
1056,870,409,388
999,807,369,392
1060,830,378,379
1081,864,360,348
1134,862,409,396
1056,837,412,346
1029,859,428,407
1087,842,368,352
1057,868,389,374
1054,898,407,368
1046,847,387,421
1001,833,408,380
1057,879,392,377
1056,899,379,382
1049,853,426,414
1015,873,424,409
1058,932,392,373
966,906,377,376
1045,869,397,383
983,904,391,378
1027,879,415,382
962,918,420,370
992,905,424,381
961,899,395,397
957,942,395,408
939,947,419,380
978,824,365,354
990,924,379,380
971,915,411,357
976,886,376,385
946,919,368,389
968,909,361,375
925,909,377,445
943,979,427,361
908,850,375,342
921,981,401,395
925,926,379,398
883,943,379,402
942,905,396,358
922,931,401,384
963,892,392,373
990,928,339,404
922,905,382,428
938,946,412,360
947,931,384,370
902,950,392,390
963,940,412,424
949,960,390,337
987,900,344,391
957,933,372,395
944,990,394,364
872,925,362,411
942,899,408,389
940,948,354,400
999,928,361,414
931,926,378,379
951,937,386,362
969,984,394,342
929,927,394,397
941,958,378,404
902,969,383,389
973,984,393,379
909,966,412,383
920,983,413,404
961,1006,398,403
913,894,382,399
931,976,383,401
879,949,369,382
917,940,354,390
975,992,388,426
929,958,386,348
876,1002,341,340
932,914,395,369
951,974,390,389
926,974,373,400
909,996,403,402
870,931,386,375
952,1004,382,398
933,944,377,379
916,981,367,370
988,978,395,352
939,925,343,385
900,990,370,360
936,928,335,342
919,961,373,380
968,1019,389,374
881,940,368,364
908,974,383,367
946,936,380,370
935,945,381,409
914,946,401,393
959,935,359,397
924,968,399,372
956,893,345,390
963,947,377,425
915,981,377,349
917,934,366,399
944,961,365,372
909,956,411,386
899,920,399,367
913,958,397,381
901,969,367,372
934,958,366,410
969,942,369,396
887,944,388,384
922,1003,387,399
879,939,389,397
904,972,379,347
882,972,400,395
925,963,375,362
903,976,399,383
968,993,357,382
912,946,398,367
854,919,379,371
940,967,378,369
874,986,360,404
964,980,367,382
939,952,384,407
935,959,379,378
934,986,383,382
920,956,369,341
895,1013,381,395
922,953,388,369
913,982,394,349
916,929,395,403
863,990,392,407
902,956,334,390
914,959,371,383
896,1004,364,363
930,995,385,370
929,992,367,358
854,983,385,336
894,948,388,394
924,967,427,413
915,985,370,362
885,958,394,387
917,952,382,366
908,985,384,366
909,926,395,408
939,980,398,388
893,964,373,408
909,1009,416,428
941,931,388,375
935,929,406,395
945,958,400,358
854,965,409,361
911,944,379,423
930,963,390,367
922,939,388,375
908,981,407,392
917,1012,413,350
885,982,402,408
893,1009,336,399
891,953,359,364
906,1009,397,365
867,951,375,388
979,945,396,400
927,1033,388,361
964,971,404,413
904,1013,369,375
942,1010,360,373
929,960,350,362
852,1000,376,368
846,1013,365,376
913,921,420,393
923,951,388,397
947,974,378,403
952,967,402,349
864,920,396,358
929,946,348,351
901,975,359,355
913,948,339,394
880,970,335,416
904,970,340,409
890,952,402,381
898,983,386,374
892,951,358,371
921,949,395,367
933,957,394,419
904,982,345,399
926,1028,417,404
918,887,368,385
894,920,389,380
964,947,338,372
904,1003,374,369
932,1000,401,383
914,974,361,390
884,911,391,384
896,971,396,364
867,909,393,363
