#BEAMS,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
# Parameter Export,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
# Temperature (K),1.947,3.945,7.321,9.041,10.969,13.073,15.017,17.995,19.856,24.67,30.216,37.739,45.31,52.753,59.269
Uncertainty ,0.012,0.013,0.014,0.01,0.009,0.009,0.009,0.009,0.009,0.06,0.005,0.001,0.025,0.009,0.002
?       ,0,0.00001,0.30868,0.14122,0.35312,0.3744,0.39097,0.39459,0.39934,0.40153,0.40561,0.4046,0.40778,0.40768,0.40901
Uncertainty ,741404.6294,9336.57194,0.96651,0.47628,0.02546,0.01336,0.00931,0.00683,0.00613,0.00515,0.00438,0.00379,0.00336,0.0031,0.00263
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,d,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
# Fitting equation,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,# A(t) = a*cos(2*?*?*t + ?*?/180)*exp(-?*t),,,,,,,,,,,,,,
